Date,Site,ID,TSM SW volume_mL,Chl SW vol_mL,Chl measured ug/L,Dry weight_filter_only,Date dried_60C,Dry weight_mg_filter_and_TSM,Amt Aluminum on filter,Dry weight_mg,TSM_mg/L_all_data,TSM_mg/L,Pre-ash wt_mg_filter_and_ash,Ash weight_mg_Filter_and_ash,ash only mg,AFDW mg,AFDW mg/L,% organic,POM (ug / L),Filter appearance notes - Dry wt,Filter appearance notes - Ash wt,Other notes,More notes
7/26/2021,Barnstable,,500,,,24.795,10/29/21,26.571,M,1.776,3.552,,,25.573,0.778,0.998,2.0,,2.0,Aluminum foil corrosion on filter,,,
11/8/2021,Eel Pond,,340,,,25.486,11/8/21,26.665,,1.179,3.468,3.468,,26.165,0.679,0.5,1.5,0.42,1.5,,,,Weighed on 12/9/21
11/8/2021,Eel Pond,,188,,,24.858,11/8/21,25.527,,0.669,3.559,3.559,,25.104,0.246,0.423,2.3,0.63,2.3,,,,Weighed on 12/9/22
11/8/2021,Eel Pond,,255,,,25.679,11/8/21,26.342,,0.663,2.600,2.600,,25.961,0.282,0.381,1.5,0.57,1.5,,,,Weighed on 12/9/23
12/1/2021,Eel Pond,,200,,,24.653,12/15/21,25.606,,0.953,4.765,4.765,,25.208,0.555,0.398,2.0,0.42,2.0,,,,
12/1/2021,Eel Pond,,300,,,25.231,12/15/21,26.372,,1.141,3.803,3.803,,25.932,0.701,0.44,1.5,0.39,1.5,folded in quarters,,,
12/2/2021,Barnstable,,250,,,24.773,12/15/21,26.43,,1.657,6.628,6.628,,25.841,1.068,0.589,2.4,0.36,2.4,,,,
12/2/2021,Barnstable,,300,,,25.948,12/15/21,27.734,,1.786,5.953,5.953,,27.123,1.175,0.611,2.0,0.34,2.0,,,,
12/2/2021,Cockle cove,,200,,,25.889,12/15/21,32.268,,6.379,31.895,31.895,,30.354,4.465,1.914,9.6,0.30,9.6,,,,
12/2/2021,Cockle cove,,150,,,26.307,12/15/21,32.783,,6.476,43.173,43.173,,30.999,4.692,1.784,11.9,0.28,11.9,,,,
12/2/2021,Nobscussett,,400,,,25.507,12/15/21,27.566,,2.059,5.147,5.147,,26.9,1.393,0.666,1.7,0.32,1.7,,,,
12/2/2021,Nobscussett,,500,,,26.028,12/15/21,30.275,,4.247,8.494,8.494,,29.225,3.197,1.05,2.1,0.25,2.1,,,,
10/6/2021,Eel Pond,,250,,,25.5,12/15/21,27.44,,1.94,7.760,7.760,,26.419,0.919,1.021,4.1,0.53,4.1,,,,
10/6/2021,Nobscussett,,250,,,25.86,12/15/21,32.455,,6.595,26.380,26.380,,28.726,2.866,3.729,14.9,0.57,14.9,,,,
10/6/2021,Sea street,,250,,,25.463,,29.366,,3.903,15.612,15.612,,26.878,1.415,2.488,10.0,0.64,10.0,"Called #31 when weighed later on, either 250 or 500, but no number written down. looks like the others this time were 250 so probably was the same;",,,
11/4/2021,Barnstable,,,,,25.327,,27.495,,2.168,,,,26.7,1.373,0.795,,0.37,,,,,
11/4/2021,Barnstable,,,,,25.293,,27.642,,2.349,,,,26.919,1.626,0.723,,0.31,,,,,
11/5/2021,Chatham,,,,,25.739,,28.157,,2.418,,,,27.321,1.582,0.836,,0.35,,,,,
11/5/2021,Chatham,,,,,25.490,,27.772,,2.282,,,,26.992,1.502,0.780,,0.34,,,,,
11/5/2021,Eden,,,,,26.185,,50.512,,24.327,,,,47.189,21.004,3.323,,0.14,,,,,
11/5/2021,Eden,,,,,25.168,,39.993,,14.825,,,,36.551,11.383,3.442,,0.23,,,,,
11/3/2021,Nobscussett,,,,,25.103,,33.597,,8.494,,,,31.518,6.415,2.079,,0.24,,skip 31 - this was a repeat #,,,
11/3/2021,Nobscussett,,,,,25.579,,33.370,,7.791,,,,32.119,6.54,1.251,,0.16,,,,,
3/2/2022,Eel Pond,,500,,,25.939,3/10/22,27.424,,1.485,2.970,2.970,,26.704,0.765,0.72,1.4,0.48,1.4,,,,
3/2/2022,Eel Pond,,500,,,25.793,3/10/22,27.512,,1.719,3.438,3.438,,26.693,0.9,0.819,1.6,0.48,1.6,,,,
3/1/2022,Barnstable,,500,,,25.988,3/10/22,28.752,,2.764,5.528,5.528,,27.879,1.891,0.873,1.7,0.32,1.7,,,,
3/1/2022,Barnstable,,500,,,25.396,3/10/22,28.399,,3.003,6.006,6.006,,27.511,2.115,0.888,1.8,0.30,1.8,,,,
3/3/2022,South st Dennis,,500,,,26.362,3/10/22,28.671,,2.309,4.618,4.618,,27.98,1.618,0.691,1.4,0.30,1.4,,,,
3/3/2022,South st Dennis,,300,,,26.084,3/10/22,28.77,,2.686,8.953,8.953,,28.003,1.919,0.767,2.6,0.29,2.6,,,,
3/4/2022,Chatham,,400,,,25.961,3/10/22,28.613,,2.652,6.630,6.630,,27.458,1.497,1.155,2.9,0.44,2.9,,,,
3/4/2022,Chatham,,400,,,25.990,3/10/22,29.599,,3.609,9.023,9.023,,28.152,2.162,1.447,3.6,0.40,3.6,,,,
4/18/2022,Eel Pond,,300,,,26.509,,27.394,,0.885,2.950,2.950,,27.019,0.51,0.375,1.3,0.42,1.3,,,,
4/18/2022,Eel Pond,,300,,,26.649,,27.44,,0.791,2.637,2.637,,26.988,0.339,0.452,1.5,0.57,1.5,,,,
4/20/2022,Barnstable,,300,,,25.601,,27.863,,2.262,7.540,7.540,,27.056,1.455,0.807,2.7,0.36,2.7,,,,
4/20/2022,Barnstable,,300,,,27.133,,30.175,,3.042,10.140,10.140,,29.075,1.942,1.1,3.7,0.36,3.7,,,,
4/20/2022,Ptown,,500,,,26.235,,27.858,,1.623,3.246,3.246,,27.066,0.831,0.792,1.6,0.49,1.6,,,,
4/20/2022,Chatham,,250,,,26.608,,28.605,,1.997,7.988,7.988,,27.827,1.219,0.778,3.1,0.39,3.1,,,,
4/21/2022,Ptown,,500,,,26.524,,28.482,,1.958,3.916,3.916,,27.617,1.093,0.865,1.7,0.44,1.7,,,,
4/21/2022,East Dennis,,300,,,26.928,,28.433,,1.505,5.017,5.017,,27.187,0.259,1.246,4.2,0.83,4.2,,,,
4/22/2022,Chatham,,250,,,26.937,,29.062,,2.125,8.500,8.500,,28.234,1.297,0.828,3.3,0.39,3.3,,,,
4/22/2022,East Dennis,,350,,,26.053,,28.705,,2.652,7.577,7.577,,27.33,1.277,1.375,3.9,0.52,3.9,,,,
5/17/2022,East Dennis,,300,,,26.616,7/18/22,29.271,,2.655,8.850,8.850,,28.226,1.61,1.045,3.5,0.39,3.5,,,,
5/17/2022,East Dennis,,250,,,25.297,7/18/22,27.56,,2.263,9.052,9.052,,26.684,1.387,0.876,3.5,0.39,3.5,,,,
5/18/2022,Provincetown,,300,,,26.4,7/18/22,27.575,,1.175,3.917,3.917,,26.592,0.192,0.983,3.3,0.84,3.3,,,,
5/18/2022,Provincetown,,300,,,25.866,7/18/22,,,,,,,,,,,,,Bad measurement. Filter is mangled and final weight (25.376) is less than initial weight. Ash weight is 24.478,,,
5/18/2022,Provincetown collection site,,300,,,26.419,7/18/22,27.424,,1.005,3.350,3.350,,26.979,0.56,0.445,1.5,0.44,1.5,,,,
5/18/2022,Provincetown collection site,,300,,,26.07,7/18/22,26.993,,0.923,3.077,3.077,,27.138,1.068,,,0.00,-0.5,,,"bad, negative number for ash weight",
5/20/2022,Eel Pond,,300,,,26.183,7/18/22,28.033,,1.85,6.167,6.167,,27.279,1.096,0.754,2.5,0.41,2.5,,,"Field note that filter was dropped. But looks like similar value as replicate, so not excluding sample. ",
5/20/2022,Eel Pond,,300,,,25.764,7/18/22,27.459,,1.695,5.650,5.650,,26.774,1.01,0.685,2.3,0.40,2.3,,,,
6/14/2022,Chatham,,302,,,24.367,11/3/22,29.658,,5.291,17.520,17.520,,26.757,2.39,2.901,9.6,0.55,9.6,,,,
6/14/2022,Chatham,,250,,,25.067,11/3/22,31.328,,6.261,25.044,25.044,,28.673,3.606,2.655,10.6,0.42,10.6,,,,
6/15/2022,Provincetown,,250,,,24.588,11/3/22,28.576,,3.988,15.952,15.952,,26.607,2.019,1.969,7.9,0.49,7.9,,,,
6/15/2022,Provincetown,,300,,,25.355,11/3/22,28.835,,3.48,11.600,11.600,,27.214,1.859,1.621,5.4,0.47,5.4,,,,
6/16/2022,Barnstable Harbor,,250,,,25.529,11/3/22,27.315,,1.786,7.144,7.144,,26.478,0.949,0.837,3.3,0.47,3.3,,,,
6/16/2022,Barnstable Harbor,,250,,,24.604,11/3/22,26.179,,1.575,6.300,6.300,,25.253,0.649,0.926,3.7,0.59,3.7,,,,
6/17/2022,Eel Pond,,250,,,24.967,11/3/22,33.973,,9.006,36.024,36.024,,29.982,5.015,3.991,16.0,0.44,16.0,,,,
6/17/2022,Eel Pond,,250,,,24.457,11/3/22,35.077,,10.62,42.480,42.480,,30.98,6.523,4.097,16.4,0.39,16.4,,,,
6/17/2022,East Dennis,,205,,,25.715,11/3/22,27.079,,1.364,6.654,6.654,,26.577,0.862,0.502,2.4,0.37,2.4,,,,
6/17/2022,East Dennis,,205,,,25.018,11/3/22,30.58,,5.562,27.132,27.132,,27.886,2.868,2.694,13.1,0.48,13.1,,,,
6/28/2022,East Dennis,,300,,,24.988,11/3/22,36.037,,11.049,36.830,36.830,,31.632,6.644,4.405,14.7,0.40,14.7,,,,
6/28/2022,East Dennis,,300,,,26.690,11/3/22,30.533,,3.843,12.810,12.810,,28.671,1.981,1.862,6.2,0.48,6.2,,,,
6/30/2022,Eel Pond,,300,,,24.759,11/3/22,28.196,,3.437,11.457,11.457,,26.53,1.771,1.666,5.6,0.48,5.6,,,,
6/30/2022,Eel Pond,,300,,,25.114,11/3/22,26.736,,1.622,5.407,5.407,,25.952,0.838,0.784,2.6,0.48,2.6,,,,
7/1/2022,Ptown,,210,,,24.833,12/1/11,28.404,M,3.571,17.005,,28.231,26.529,1.696,1.875,8.9,,8.9,,,,
7/1/2022,Ptown,,270,,,26.583,12/1/22,31.966,M,5.383,19.937,,31.723,28.922,2.801,2.582,9.6,,11.3,,,,
7/13/2022,Barnstable Harbor,,310,,,24.814,11/4/22,28.284,M,3.47,11.194,,,27.613,2.799,0.671,2.2,,2.2,,,,
7/13/2022,Barnstable Harbor,,305,,,23.879,11/4/22,26.062,M,2.183,7.157,,,26.268,2.389,,,,-0.7,,,"bad, negative number for ash weight",
7/14/2022,Ptown,,250,,,24.34,11/4/22,28.833,M,4.493,17.972,,,24.926,0.586,3.907,15.6,,15.6,,,,
7/14/2022,Ptown,,205,,,24.537,11/4/22,,H,,,,,,,,,,0.0,,,"bad, threw out filter",
7/15/2022,Eel Pond,,250,,,25.843,11/4/22,29.02,M,3.177,12.708,,,26.675,0.832,2.345,9.4,,9.4,,,,
7/15/2022,Eel Pond,,248,,,25.011,11/4/22,26.951,,1.94,7.823,7.823,,26.074,1.063,0.877,3.5,0.45,3.5,,,,
7/15/2022,Chatham,,200,,,24.851,11/4/22,29.786,H,4.935,24.675,,,27.347,2.496,2.439,12.2,,12.2,,,,
7/15/2022,Chatham,,200,,,24.689,11/4/22,28.438,,3.749,18.745,18.745,,26.564,1.875,1.874,9.4,0.50,9.4,,,,
7/18/2022,East Dennis,1,300,,,25.055,11/4/22,26.915,H,1.86,6.200,,,25.956,0.901,0.959,3.2,,3.2,,,,
7/18/2022,East Dennis,2,250,,,25.441,11/4/22,29.074,,3.633,14.532,14.532,,27.259,1.818,1.815,7.3,0.50,7.3,,,,
7/27/2022,East Dennis,1,300,,,24.613,11/4/22,26.864,M,2.251,7.503,,,25.671,1.058,1.193,4.0,,4.0,,,,
7/27/2022,East Dennis,2,300,,,25.035,11/4/22,28.45,M,3.415,11.383,,,26.751,1.716,1.699,5.7,,5.7,,,,
7/27/2022,Ptown,1,300,,,26.798,11/4/22,28.868,,2.07,6.900,6.900,,27.789,0.991,1.079,3.6,0.52,3.6,,,,
7/27/2022,Ptown,2,250,,,26.225,11/4/22,28.16,,1.935,7.740,7.740,,27.27,1.045,0.89,3.6,0.46,3.6,,,,
7/27/2022,Eel Pond,1,250,,,26.449,11/4/22,31.124,,4.675,18.700,18.700,,28.92,2.471,2.204,8.8,0.47,8.8,,,,
7/27/2022,Eel Pond,2,250,,,26.21,11/4/22,28.88,,2.67,10.680,10.680,,27.875,1.665,1.005,4.0,0.38,4.0,,,,
8/1/2022,Eel Pond,1,300,220,,26.296,11/4/22,39.308,,13.012,43.373,43.373,,36.43,10.134,2.878,9.6,0.22,9.6,,,,
8/1/2022,Eel Pond,2,300,188,,26.869,11/4/22,29.718,,2.849,9.497,9.497,,28.8,1.931,0.918,3.1,0.32,3.1,,,,
8/2/2022,Eel Pond,1,300,211,,24.94,11/4/22,32.37,,7.43,24.767,24.767,,30.722,5.782,1.648,5.5,0.22,5.5,,,,
8/2/2022,Eel Pond,2,300,200,,24.82,11/4/22,28.745,,3.925,13.083,13.083,,27.316,2.496,1.429,4.8,0.36,4.8,,,,
8/3/2022,Ptown,1,500,NA,,25.733,11/4/22,31.252,H,5.519,11.038,,,28.549,2.816,2.703,5.4,,5.4,No number written for chl filter vol. Likely ~200,,,
8/3/2022,Ptown,2,450,NA,,25.286,11/4/22,32.501,,7.215,16.033,16.033,,30.777,5.491,1.724,3.8,0.24,3.8,No number written for chl filter vol. Likely ~200,,,
8/5/2022,Ptown,1,303,,,24.978,between 7/11-10/15,31.905,,6.927,22.861,22.861,,30.049,5.071,1.856,6.1,0.27,6.1,Samples processed within 48 hours,,,
8/5/2022,East Dennis,2,321,,,24.961,between 7/11-10/15,32.836,,7.875,24.533,24.533,,30.593,5.632,2.243,7.0,0.28,7.0,Sample processed within 24 hours,,,
8/5/2022,East Dennis,1,316.5,,,25.557,between 7/11-10/15,30.787,,5.23,16.524,16.524,,29.364,3.807,1.423,4.5,0.27,4.5,Sample processed within 24 hours,,,
8/5/2022,Ptown,2,318,,,25.665,between 7/11-10/15,31.836,,6.171,19.406,19.406,,30.186,4.521,1.65,5.2,0.27,5.2,"Sample processed within 48 hours, pump failure so had to pour out water for this sample",,,
"Unknown, between 7/11-10/19",Unknown,,,,,26.184,between 7/11-10/15,27.83,,1.646,,,,27.193,1.009,0.637,,0.39,,,,,
8/14/2022,Ptown,2,250,155,9.451,25.176,11/3/22,28.514,,3.338,13.352,13.352,,27.001,1.825,1.513,6.1,0.45,6.1,,,,
8/14/2022,Ptown,1,252,150,9.401,25.358,11/3/22,29.884,,4.526,17.960,17.960,,27.59,2.232,2.294,9.1,0.51,9.1,,,,
8/13/2022,Chatham,1,255,155,4.584,25.038,11/3/22,28.497,,3.459,13.565,13.565,,27.164,2.126,1.333,5.2,0.39,5.2,filtered seawater 12 hours after sampling - next morning,,,
8/13/2022,Chatham,2,245,155,4.231,25.217,11/3/22,28.998,,3.781,15.433,15.433,,27.48,2.263,1.518,6.2,0.40,6.2,filtered 12 hours after sampling - next morning,,,
8/15/2022,Eel Pond,1,250,200,2.703,25.637,11/3/22,27.24,,1.603,6.412,6.412,,26.548,0.911,0.692,2.8,0.43,2.8,,,,
8/15/2022,Eel Pond,2,251,200,2.746,25.404,11/3/22,26.708,,1.304,5.195,5.195,,26.11,0.706,0.598,2.4,0.46,2.4,,,,
8/14/2022,East Dennis,1,251,200,2.516,25.675,11/3/22,27.476,,1.801,7.175,7.175,,26.564,0.889,0.912,3.6,0.51,3.6,filtered 12 hours after sampling - next morning,,,
8/14/2022,East Dennis,2,250,200,2.862,25.51,11/3/22,26.852,,1.342,5.368,5.368,,26.162,0.652,0.69,2.8,0.51,2.8,filtered 12 hours after sampling - next morning,,,
8/16/2022,Barnstable,1,250,,,25.345,11/3/22,26.56,,1.215,4.860,4.860,,26.029,0.684,0.531,2.1,0.44,2.1,,,,
8/16/2022,Barnstable,2,250,,,25.024,11/3/22,26.156,,1.132,4.528,4.528,,25.606,0.582,0.55,2.2,0.49,2.2,,,,
8/28/2022,East Dennis,1,400,126,,25.595,11/3/22,27.805,,2.21,5.525,5.525,,26.583,0.988,1.222,3.1,0.55,3.1,"Chl was 32.082. Seems that 1. there is no replicate because the other replicate bottle of seawater had an unusual amount of sediment in it, and 2. this was 3-10fold higher than expected based on other readings. So excluding this sample",,,
8/28/2022,East Dennis,2,126,NA,,25.551,11/3/22,34.791,,,,,,31.33,,,,,,"Smaller TSM SW volume used for rep 2 bc hard to filter these samples. No chl SW vol written down for second sample. I don't trust this TSM and POM because this sample bottle seemed to have 5-10X more sediment in it than others, and it doesn't match the other replicate sample. This is the issue with collecting seawater where sediment can get kicked up into it.",,,
8/29/2022,Ptown,1,202,150,5.063,25.522,11/3/22,27.043,,1.521,7.530,7.530,,26.16,0.638,0.883,4.4,0.58,4.4,,,,
8/29/2022,Ptown,2,200,150,12.838,25.094,11/3/22,27.335,,2.241,11.205,11.205,,26.014,0.92,1.321,6.6,0.59,6.6,,,,
8/30/2022,Eel Pond,1,200,150,4.775,25.515,11/3/22,28.52,,3.005,15.025,15.025,,27.239,1.724,1.281,6.4,0.43,6.4,,,,
8/30/2022,Eel Pond,2,201,150,3.719,25.539,11/3/22,27.674,,2.135,10.622,10.622,,26.817,1.278,0.857,4.3,0.40,4.3,,,,
9/26/2022,Eel Pond,1,110,NA,,25.622,12/1/22,27.529,Spots,1.907,17.336,,27.393,26.784,1.162,0.745,6.8,,6.8,No chl SW vol written down,,,
9/26/2022,Eel Pond,2,110,NA,,24.92,,26.349,,,,,,27.854,,,,,,Gabby; Negative Ash weight. Excluding sample. ,,AFDW negative number. Is there a typo in the ash weight? ,
10/11/2022,Ptown,2,249,100,,25.292,11/4/22,27.517,none,2.225,8.936,8.936,,27.341,2.049,0.176,0.7,0.08,0.7,,,,
10/11/2022,Ptown,1,250,82,,25.634,11/4/22,27.988,none,2.354,9.416,9.416,,26.916,1.282,1.072,4.3,0.46,4.3,,,,
10/12/2022,Eel Pond,,250,NA,,24.899,11/4/22,26.36,None,1.461,5.844,5.844,,25.841,0.942,0.519,2.1,0.36,2.1,No volume written down for second TSM sample in notebook. ,,,
10/24/2022,Eel Pond,1,300,150,2.624,25.17,12/1/22,28.08,M,2.91,9.700,,27.948,27.162,0.786,2.124,7.1,,3.1,,,,
10/24/2022,Eel Pond,2,250,150,2.813,25.597,12/1/22,33.463,None,7.866,31.464,,33.161,31.753,,,,,,Note Eel 2 is much darker than Eel 1. More material on filter. I don't trust this sample. I think sediment got kicked up into it and so we have more POM and TSM in this sample than is in the seawater. ,,,
10/25/2022,Ptown,1,320,90,6.447,24.996,12/1/22,27.921,M,2.925,9.141,,27.751,26.61,1.141,1.784,5.6,,4.1,,,,
10/25/2022,Ptown,2,320,150,8.702,25.443,12/1/22,29.136,None,3.693,11.541,11.541,28.926,27.65,1.276,2.417,7.6,0.65,4.6,,,,
10/26/2022,East Dennis,1,340,150,4.151,25.448,Gabby,27.233,,1.785,5.250,5.250,,26.493,1.045,0.74,2.2,0.41,2.2,,,,
10/26/2022,East Dennis,2,340,110,5.661,25.014,Gabby,27.961,,2.947,8.668,8.668,,26.822,1.808,1.139,3.4,0.39,3.4,,,,
10/27/2022,Barnstable,1,250,101,,25.131,11/4/22,27.603,None,2.472,9.888,9.888,,27.226,2.095,0.377,1.5,0.15,1.5,,,,
10/27/2022,Barnstable,2,250,100,,25.272,11/4/22,28.048,None,2.776,11.104,11.104,,26.662,1.39,1.386,5.5,0.50,5.5,,,,
10/28/2022,Cockle cove,1,250,150,2.266,25.338,11/4/22,28.367,None,3.029,12.116,12.116,,26.899,1.561,1.468,5.9,0.48,5.9,,,,
10/28/2022,Cockle cove,2,250,150,3.341,25.342,11/4/22,27.75,None,2.408,9.632,9.632,,27.45,2.108,0.3,1.2,0.12,1.2,,,,
11/4/2022,Ptown,1,210,100,8.178,25.484,11/8/22,27.759,,2.275,10.833,10.833,,26.195,0.711,1.564,7.4,0.69,7.4,,,,
11/4/2022,Ptown,2,210,100,13.632,25.872,11/8/22,28.974,,3.102,14.771,14.771,,26.701,0.829,2.273,10.8,0.73,10.8,,,,
11/5/2022,Barnstable,1,200,,,24.728,11/8/22,25.533,,0.805,4.025,4.025,,25.036,0.308,0.497,2.5,0.62,2.5,,,,
11/5/2022,Barnstable,2,200,,,25.115,11/8/22,25.95,,0.835,4.175,4.175,,25.388,0.273,0.562,2.8,0.67,2.8,,,,
11/6/2022,Eel Pond,1,300,200,2.251,24.693,11/8/22,25.97,,1.277,4.257,4.257,,25.444,0.751,0.526,1.8,0.41,1.8,,,,
11/6/2022,Eel Pond,2,300,200,2.661,25.290,11/8/22,28.644,,3.354,11.180,11.180,,25.8,0.510,2.844,9.5,0.85,9.5,This seems wrong. ,,,
11/7/2022,Dennis,1,200,,,25.954,11/8/22,26.867,,0.913,4.565,4.565,,26.325,0.371,0.542,2.7,0.59,2.7,,,,
11/7/2022,Dennis,2,200,,,25.374,11/8/22,26.283,,0.909,4.545,4.545,,25.71,0.336,0.573,2.9,0.63,2.9,,,,
11/8/2022,Cockle cove,1,200,,,25.703,11/8/22,29.659,,3.956,19.780,19.780,,27.462,1.759,2.197,11.0,0.56,11.0,,,,
11/8/2022,Cockle cove,2,200,,,25.608,11/8/22,27.701,,2.093,10.465,10.465,,26.649,1.041,1.052,5.3,0.50,5.3,,,,
11/28/2022,Eel Pond,1,250,150,,23.758,12/1/22,25.757,,1.999,7.996,7.996,25.050,24.532,0.518,1.481,5.9,0.74,4.9,vol originally recorded as 400 but is 250 in field notebook. Chl is correct.,,,
11/28/2022,Eel Pond,2,250,150,,25.44,12/1/22,28.234,,2.794,11.176,11.176,28.061,27.332,0.729,2.065,8.3,0.74,3.6,vol originally recorded as 400 but is 250 in field notebook. Chl is correct.,,,
11/29/2022,Provincetown,2,250,150,3.152,25.172,12/1/22,27.105,,1.933,7.732,7.732,27.000,26.391,0.609,1.324,5.3,0.68,2.9,,,,
11/29/2022,Provincetown,1,250,150,4.076,24.656,12/1/22,27.57,,2.914,11.656,11.656,27.330,26.383,0.947,1.967,7.9,0.68,4.7,,,,
12/4/2022,Provincetown,1,400,,,25.651,,26.393,FOF,0.742,1.855,,26.397,25.884,0.513,0.229,0.6,,1.3,filter on foil,,,
12/4/2022,Provincetown,2,400,,,24.996,,26.01,AL,1.014,2.535,,25.924,25.368,0.556,0.458,1.1,,1.6,foil degraded,,,
12/7/2022,Cockle cove,1,250,,,25.244,,27.675,(AL),2.431,9.724,,27.702,26.637,1.065,1.366,5.5,,4.2,foil stained,,,
12/7/2022,Cockle cove,2,250,,,24.047,,25.783,,1.736,6.944,6.944,25.716,24.862,0.854,0.882,3.5,0.51,3.7,"typo of initial filter weight. From notebook is 24.047, not 27...",,,
12/3/2022,Dennis,1,500,,,25.796,,29.542,AL,3.746,7.492,,29.491,28.373,1.118,2.628,5.3,,2.3,"filter wide open, not folded",,,
12/3/2022,Dennis,2,400,,,25.218,,36.239,AL!,11.021,27.553,,36.239,32.671,3.568,7.453,18.6,,8.9,gabby - aluminum too bad to weigh,,,
12/5/2022,Eel Pond,1,400,,,24.127,,26.682,(AL),2.555,,,26.682,25.423,1.259,1.296,,,,too bad to weigh,,,
12/5/2022,Eel Pond,2,400,,,24.052,,28.511,(AL),4.459,,,25.442,24.758,0.684,3.775,,,,filter staticy and also stuck to foil,,,
12/6/2022,Barnstable,1,400,,,24.989,,26.158,,,,,26.155,25.583,,,,,,"field note - dropped filter after filtering; POM is low, so excluding this one because it may have lost material.",,,
12/6/2022,Barnstable,2,400,,,25.436,,27.979,,2.543,6.358,6.358,27.881,27.062,0.819,1.724,4.3,0.68,2.3,,,,
1/18/2023,Cockle cove,,350,,,24.477,,29.521,(AL),5.044,14.411,,29.686,27.866,1.820,3.224,9.2,,4.7,filter stuck to foil and foil stuck to filter,,,
1/18/2023,Cockle cove,,350,,,25.875,,28.777,good,2.902,8.291,,28.740,27.651,1.089,1.813,5.2,,3.2,,,,
1/19/2023,Barnstable,,450,84,11.688,24.738,,29.96,ok,5.222,11.604,,29.659,28.534,1.125,4.097,9.1,,3.2,,,,
1/19/2023,Barnstable,,450,81,12.156,25.279,,30.465,ok/FOF,5.186,11.524,,30.319,29.034,1.285,3.901,8.7,,3.2,,,,
1/20/2023,Eel Pond,,400,135,,25.440,,28.555,,3.115,7.788,7.788,28.180,27.34,0.840,2.275,5.7,0.73,3.0,,,,
1/20/2023,Eel Pond,,400,132,,25.024,,27.347,goof,2.323,5.808,,27.28,26.492,0.788,1.535,3.8,,2.1,,,,
1/21/2023,Provincetown,,400,150,,25.098,,26.899,,1.801,4.503,4.503,26.77,25.98,0.790,1.011,2.5,0.56,2.3,,,,
1/21/2023,Provincetown,,400,145,,25.490,,29.034,,3.544,8.860,8.860,28.958,27.475,1.483,2.061,5.2,0.58,3.9,filter very stuck to foil,,,
1/22/2023,East Dennis,,450,100,,24.899,,28.074,,3.175,7.056,7.056,27.803,26.922,0.881,2.294,5.1,0.72,2.6,,,,
1/22/2023,East Dennis,,450,80,,25.299,,27.301,,2.002,4.449,4.449,27.268,26.538,0.730,1.272,2.8,0.64,1.7,,,,
2/16/2023,East Dennis,,400,120,7.193,26.093,,29.393,ok,3.300,8.250,,29.278,28.217,1.061,2.239,5.6,,2.9,,,,
