#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Host Connected,Button Down,Button Up,End of File
193,06/18/2022 07:45:00,20.34,-57.24,7.89,,,,
194,06/18/2022 08:00:00,20.41,-57.14,7.89,,,,
195,06/18/2022 08:15:00,20.53,-56.92,7.88,,,,
196,06/18/2022 08:30:00,20.63,-56.74,7.88,,,,
197,06/18/2022 08:45:00,20.77,-56.30,7.87,,,,
198,06/18/2022 09:00:00,20.91,-56.10,7.87,,,,
199,06/18/2022 09:15:00,21.03,-55.69,7.86,,,,
200,06/18/2022 09:30:00,21.20,-55.27,7.85,,,,
201,06/18/2022 09:45:00,21.34,-55.36,7.85,,,,
202,06/18/2022 10:00:00,21.51,-55.36,7.85,,,,
203,06/18/2022 10:15:00,21.58,-55.83,7.86,,,,
204,06/18/2022 10:30:00,21.56,-56.61,7.87,,,,
205,06/18/2022 10:45:00,21.06,-59.70,7.93,,,,
206,06/18/2022 11:00:00,20.98,-60.67,7.95,,,,
207,06/18/2022 11:15:00,20.91,-61.03,7.95,,,,
208,06/18/2022 11:30:00,20.89,-61.31,7.96,,,,
209,06/18/2022 11:45:00,20.79,-61.41,7.96,,,,
210,06/18/2022 12:00:00,20.82,-61.55,7.96,,,,
211,06/18/2022 12:15:00,20.84,-61.92,7.97,,,,
212,06/18/2022 12:30:00,20.84,-62.03,7.97,,,,
213,06/18/2022 12:45:00,20.84,-62.21,7.98,,,,
214,06/18/2022 13:00:00,20.96,-62.47,7.98,,,,
215,06/18/2022 13:15:00,20.96,-62.67,7.98,,,,
216,06/18/2022 13:30:00,20.98,-62.75,7.98,,,,
217,06/18/2022 13:45:00,20.94,-62.88,7.99,,,,
218,06/18/2022 14:00:00,20.96,-63.02,7.99,,,,
219,06/18/2022 14:15:00,21.01,-63.22,7.99,,,,
220,06/18/2022 14:30:00,21.03,-63.67,8.00,,,,
221,06/18/2022 14:45:00,21.01,-63.80,8.00,,,,
222,06/18/2022 15:00:00,21.06,-63.72,8.00,,,,
223,06/18/2022 15:15:00,20.94,-64.30,8.01,,,,
224,06/18/2022 15:30:00,20.94,-64.42,8.01,,,,
225,06/18/2022 15:45:00,20.86,-64.60,8.02,,,,
226,06/18/2022 16:00:00,20.84,-64.85,8.02,,,,
227,06/18/2022 16:15:00,20.79,-64.67,8.02,,,,
228,06/18/2022 16:30:00,20.79,-64.36,8.01,,,,
229,06/18/2022 16:45:00,20.79,-64.39,8.01,,,,
230,06/18/2022 17:00:00,20.86,-64.27,8.01,,,,
231,06/18/2022 17:15:00,20.98,-64.64,8.02,,,,
232,06/18/2022 17:30:00,20.94,-64.46,8.02,,,,
233,06/18/2022 17:45:00,21.37,-65.22,8.03,,,,
234,06/18/2022 18:00:00,21.41,-65.35,8.03,,,,
235,06/18/2022 18:15:00,20.98,-63.69,8.00,,,,
236,06/18/2022 18:30:00,20.98,-63.96,8.01,,,,
237,06/18/2022 18:45:00,21.01,-63.52,8.00,,,,
238,06/18/2022 19:00:00,21.03,-63.66,8.00,,,,
239,06/18/2022 19:15:00,21.06,-63.60,8.00,,,,
240,06/18/2022 19:30:00,21.10,-63.66,8.00,,,,
241,06/18/2022 19:45:00,21.10,-63.58,8.00,,,,
242,06/18/2022 20:00:00,21.10,-63.30,7.99,,,,
243,06/18/2022 20:15:00,21.10,-62.53,7.98,,,,
244,06/18/2022 20:30:00,21.08,-61.89,7.97,,,,
245,06/18/2022 20:45:00,21.10,-61.58,7.96,,,,
246,06/18/2022 21:00:00,21.13,-61.06,7.95,,,,
247,06/18/2022 21:15:00,21.13,-60.70,7.95,,,,
248,06/18/2022 21:30:00,21.13,-59.99,7.94,,,,
249,06/18/2022 21:45:00,21.08,-59.69,7.93,,,,
250,06/18/2022 22:00:00,21.06,-59.00,7.92,,,,
251,06/18/2022 22:15:00,20.89,-59.64,7.93,,,,
252,06/18/2022 22:30:00,20.86,-61.22,7.96,,,,
253,06/18/2022 22:45:00,20.44,-60.13,7.94,,,,
254,06/18/2022 23:00:00,20.13,-60.17,7.94,,,,
255,06/18/2022 23:15:00,20.15,-61.08,7.96,,,,
256,06/18/2022 23:30:00,20.10,-61.02,7.96,,,,
257,06/18/2022 23:45:00,20.06,-60.86,7.95,,,,
258,06/19/2022 00:00:00,19.98,-60.83,7.95,,,,
259,06/19/2022 00:15:00,19.96,-60.55,7.95,,,,
260,06/19/2022 00:30:00,19.96,-60.50,7.95,,,,
261,06/19/2022 00:45:00,19.94,-61.08,7.96,,,,
262,06/19/2022 01:00:00,19.86,-61.03,7.96,,,,
263,06/19/2022 01:15:00,19.79,-60.88,7.96,,,,
264,06/19/2022 01:30:00,19.75,-60.61,7.95,,,,
265,06/19/2022 01:45:00,19.70,-60.35,7.95,,,,
266,06/19/2022 02:00:00,19.65,-60.22,7.94,,,,
267,06/19/2022 02:15:00,19.65,-60.36,7.95,,,,
268,06/19/2022 02:30:00,19.65,-60.42,7.95,,,,
269,06/19/2022 02:45:00,19.65,-60.47,7.95,,,,
270,06/19/2022 03:00:00,19.60,-60.33,7.95,,,,
271,06/19/2022 03:15:00,19.60,-60.61,7.95,,,,
272,06/19/2022 03:30:00,19.58,-60.30,7.95,,,,
273,06/19/2022 03:45:00,19.56,-60.52,7.95,,,,
274,06/19/2022 04:00:00,19.53,-59.58,7.93,,,,
275,06/19/2022 04:15:00,19.51,-59.83,7.94,,,,
276,06/19/2022 04:30:00,19.48,-59.74,7.94,,,,
277,06/19/2022 04:45:00,19.46,-59.30,7.93,,,,
278,06/19/2022 05:00:00,19.44,-59.44,7.93,,,,
279,06/19/2022 05:15:00,19.37,-58.97,7.92,,,,
280,06/19/2022 05:30:00,19.27,-58.69,7.92,,,,
281,06/19/2022 05:45:00,19.25,-58.44,7.91,,,,
282,06/19/2022 06:00:00,19.22,-58.61,7.92,,,,
283,06/19/2022 06:15:00,19.25,-58.50,7.91,,,,
284,06/19/2022 06:30:00,19.27,-58.55,7.92,,,,
285,06/19/2022 06:45:00,19.20,-58.47,7.91,,,,
286,06/19/2022 07:00:00,19.22,-58.30,7.91,,,,
287,06/19/2022 07:15:00,19.20,-58.24,7.91,,,,
288,06/19/2022 07:30:00,19.17,-58.14,7.91,,,,
289,06/19/2022 07:45:00,19.17,-58.10,7.91,,,,
290,06/19/2022 08:00:00,19.17,-57.61,7.90,,,,
291,06/19/2022 08:15:00,19.15,-57.22,7.89,,,,
292,06/19/2022 08:30:00,19.15,-57.06,7.89,,,,
293,06/19/2022 08:45:00,19.22,-56.36,7.88,,,,
294,06/19/2022 09:00:00,19.29,-55.77,7.87,,,,
295,06/19/2022 09:15:00,19.39,-55.16,7.85,,,,
296,06/19/2022 09:30:00,19.48,-54.52,7.84,,,,
297,06/19/2022 09:45:00,19.58,-54.02,7.83,,,,
298,06/19/2022 10:00:00,19.65,-53.69,7.83,,,,
299,06/19/2022 10:15:00,19.79,-53.41,7.82,,,,
300,06/19/2022 10:30:00,19.94,-53.30,7.82,,,,
301,06/19/2022 10:45:00,20.10,-54.17,7.84,,,,
302,06/19/2022 11:00:00,20.10,-54.72,7.85,,,,
303,06/19/2022 11:15:00,19.84,-55.55,7.86,,,,
304,06/19/2022 11:30:00,19.51,-59.55,7.93,,,,
305,06/19/2022 11:45:00,19.41,-59.89,7.94,,,,
306,06/19/2022 12:00:00,19.37,-60.28,7.95,,,,
307,06/19/2022 12:15:00,19.37,-60.39,7.95,,,,
308,06/19/2022 12:30:00,19.29,-60.60,7.95,,,,
309,06/19/2022 12:45:00,19.34,-60.66,7.95,,,,
310,06/19/2022 13:00:00,19.37,-60.77,7.95,,,,
311,06/19/2022 13:15:00,19.27,-61.10,7.96,,,,
312,06/19/2022 13:30:00,19.25,-61.16,7.96,,,,
313,06/19/2022 13:45:00,19.25,-61.28,7.96,,,,
314,06/19/2022 14:00:00,19.27,-61.20,7.96,,,,
315,06/19/2022 14:15:00,19.27,-61.33,7.97,,,,
316,06/19/2022 14:30:00,19.27,-61.25,7.96,,,,
317,06/19/2022 14:45:00,19.17,-61.38,7.97,,,,
318,06/19/2022 15:00:00,19.15,-61.47,7.97,,,,
319,06/19/2022 15:15:00,19.17,-61.66,7.97,,,,
320,06/19/2022 15:30:00,19.20,-61.85,7.97,,,,
321,06/19/2022 15:45:00,19.17,-61.88,7.98,,,,
322,06/19/2022 16:00:00,19.20,-62.31,7.98,,,,
323,06/19/2022 16:15:00,19.20,-62.66,7.99,,,,
324,06/19/2022 16:30:00,19.17,-62.64,7.99,,,,
325,06/19/2022 16:45:00,19.20,-62.96,7.99,,,,
326,06/19/2022 17:00:00,19.20,-62.80,7.99,,,,
327,06/19/2022 17:15:00,19.20,-62.80,7.99,,,,
328,06/19/2022 17:30:00,19.20,-62.80,7.99,,,,
329,06/19/2022 17:45:00,19.20,-62.81,7.99,,,,
330,06/19/2022 18:00:00,19.17,-62.78,7.99,,,,
331,06/19/2022 18:15:00,19.17,-62.74,7.99,,,,
332,06/19/2022 18:30:00,19.15,-62.47,7.99,,,,
333,06/19/2022 18:45:00,19.10,-62.85,7.99,,,,
334,06/19/2022 19:00:00,19.13,-62.44,7.99,,,,
335,06/19/2022 19:15:00,19.06,-62.67,7.99,,,,
336,06/19/2022 19:30:00,19.06,-62.47,7.99,,,,
337,06/19/2022 19:45:00,19.06,-61.56,7.97,,,,
338,06/19/2022 20:00:00,19.06,-61.38,7.97,,,,
339,06/19/2022 20:15:00,19.08,-61.08,7.96,,,,
340,06/19/2022 20:30:00,19.08,-60.83,7.96,,,,
341,06/19/2022 20:45:00,19.03,-60.70,7.95,,,,
342,06/19/2022 21:00:00,19.03,-60.56,7.95,,,,
343,06/19/2022 21:15:00,19.06,-60.31,7.95,,,,
344,06/19/2022 21:30:00,19.06,-60.16,7.94,,,,
345,06/19/2022 21:45:00,19.06,-59.44,7.93,,,,
346,06/19/2022 22:00:00,19.08,-58.99,7.92,,,,
347,06/19/2022 22:15:00,19.08,-58.81,7.92,,,,
348,06/19/2022 22:30:00,19.08,-58.50,7.92,,,,
349,06/19/2022 22:45:00,19.13,-57.75,7.90,,,,
350,06/19/2022 23:00:00,19.15,-57.38,7.90,,,,
351,06/19/2022 23:15:00,19.13,-56.74,7.88,,,,
352,06/19/2022 23:30:00,19.01,-57.85,7.90,,,,
353,06/19/2022 23:45:00,19.01,-58.55,7.92,,,,
354,06/20/2022 00:00:00,19.01,-59.60,7.94,,,,
355,06/20/2022 00:15:00,19.01,-60.24,7.95,,,,
356,06/20/2022 00:30:00,18.98,-60.61,7.95,,,,
357,06/20/2022 00:45:00,18.98,-60.24,7.95,,,,
358,06/20/2022 01:00:00,18.96,-59.91,7.94,,,,
359,06/20/2022 01:15:00,18.91,-60.00,7.94,,,,
360,06/20/2022 01:30:00,18.91,-59.80,7.94,,,,
361,06/20/2022 01:45:00,18.89,-59.69,7.94,,,,
362,06/20/2022 02:00:00,18.82,-60.24,7.95,,,,
363,06/20/2022 02:15:00,18.79,-59.95,7.94,,,,
364,06/20/2022 02:30:00,18.77,-59.56,7.94,,,,
365,06/20/2022 02:45:00,18.75,-59.35,7.93,,,,
366,06/20/2022 03:00:00,18.75,-59.11,7.93,,,,
367,06/20/2022 03:15:00,18.72,-58.92,7.92,,,,
368,06/20/2022 03:30:00,18.68,-58.91,7.92,,,,
369,06/20/2022 03:45:00,18.65,-58.81,7.92,,,,
370,06/20/2022 04:00:00,18.63,-58.85,7.92,,,,
371,06/20/2022 04:15:00,18.60,-58.92,7.92,,,,
372,06/20/2022 04:30:00,18.56,-58.02,7.91,,,,
373,06/20/2022 04:45:00,18.53,-59.30,7.93,,,,
374,06/20/2022 05:00:00,18.49,-59.38,7.93,,,,
375,06/20/2022 05:15:00,18.49,-58.86,7.92,,,,
376,06/20/2022 05:30:00,18.49,-58.94,7.93,,,,
377,06/20/2022 05:45:00,18.49,-58.60,7.92,,,,
378,06/20/2022 06:00:00,18.49,-58.60,7.92,,,,
379,06/20/2022 06:15:00,18.49,-58.58,7.92,,,,
380,06/20/2022 06:30:00,18.46,-58.53,7.92,,,,
381,06/20/2022 06:45:00,18.39,-58.03,7.91,,,,
382,06/20/2022 07:00:00,18.39,-58.77,7.92,,,,
383,06/20/2022 07:15:00,18.41,-58.56,7.92,,,,
384,06/20/2022 07:30:00,18.41,-58.41,7.92,,,,
385,06/20/2022 07:45:00,18.44,-58.49,7.92,,,,
386,06/20/2022 08:00:00,18.51,-58.19,7.91,,,,
387,06/20/2022 08:15:00,18.56,-58.08,7.91,,,,
388,06/20/2022 08:30:00,18.60,-58.13,7.91,,,,
389,06/20/2022 08:45:00,18.68,-58.14,7.91,,,,
390,06/20/2022 09:00:00,18.72,-58.17,7.91,,,,
391,06/20/2022 09:15:00,18.79,-58.20,7.91,,,,
392,06/20/2022 09:30:00,18.91,-58.24,7.91,,,,
393,06/20/2022 09:45:00,18.96,-58.22,7.91,,,,
394,06/20/2022 10:00:00,19.03,-58.00,7.91,,,,
395,06/20/2022 10:15:00,19.13,-57.64,7.90,,,,
396,06/20/2022 10:30:00,19.22,-57.06,7.89,,,,
397,06/20/2022 10:45:00,19.29,-56.52,7.88,,,,
398,06/20/2022 11:00:00,19.44,-56.00,7.87,,,,
399,06/20/2022 11:15:00,19.58,-56.05,7.87,,,,
400,06/20/2022 11:30:00,19.72,-55.92,7.87,,,,
401,06/20/2022 11:45:00,19.91,-56.27,7.87,,,,
402,06/20/2022 12:00:00,20.17,-56.49,7.88,,,,
403,06/20/2022 12:15:00,20.36,-57.22,7.89,,,,
404,06/20/2022 12:30:00,20.10,-58.75,7.92,,,,
405,06/20/2022 12:45:00,19.86,-61.46,7.97,,,,
406,06/20/2022 13:00:00,19.79,-62.56,7.99,,,,
407,06/20/2022 13:15:00,19.84,-62.72,7.99,,,,
408,06/20/2022 13:30:00,19.86,-62.56,7.99,,,,
409,06/20/2022 13:45:00,19.84,-62.77,7.99,,,,
410,06/20/2022 14:00:00,19.91,-63.11,7.99,,,,
411,06/20/2022 14:15:00,19.82,-62.71,7.99,,,,
412,06/20/2022 14:30:00,19.84,-63.00,7.99,,,,
413,06/20/2022 14:45:00,19.94,-63.47,8.00,,,,
414,06/20/2022 15:00:00,19.94,-63.63,8.00,,,,
415,06/20/2022 15:15:00,19.98,-63.72,8.01,,,,
416,06/20/2022 15:30:00,20.03,-63.83,8.01,,,,
417,06/20/2022 15:45:00,20.03,-63.94,8.01,,,,
418,06/20/2022 16:00:00,19.98,-64.21,8.01,,,,
419,06/20/2022 16:15:00,20.03,-64.41,8.02,,,,
420,06/20/2022 16:30:00,20.03,-64.60,8.02,,,,
421,06/20/2022 16:45:00,20.06,-64.72,8.02,,,,
422,06/20/2022 17:00:00,20.03,-64.88,8.03,,,,
423,06/20/2022 17:15:00,20.03,-65.16,8.03,,,,
424,06/20/2022 17:30:00,20.10,-65.53,8.04,,,,
425,06/20/2022 17:45:00,20.17,-65.44,8.04,,,,
426,06/20/2022 18:00:00,20.20,-65.50,8.04,,,,
427,06/20/2022 18:15:00,20.20,-65.41,8.03,,,,
428,06/20/2022 18:30:00,20.22,-65.38,8.03,,,,
429,06/20/2022 18:45:00,20.22,-65.44,8.04,,,,
430,06/20/2022 19:00:00,20.32,-65.74,8.04,,,,
431,06/20/2022 19:15:00,20.22,-65.39,8.03,,,,
432,06/20/2022 19:30:00,20.22,-65.42,8.03,,,,
