Start_date,Site,Treatment,Mesocosm (1-24),Location_code,ID (1-9),Color,,Start_len_mm,Start_height_mm,Start_thickness_mm,Start_note,Collection month,Collection_date,Elapsed_days,Transcriptomics sampling,depth_cm,AliveOrDead,Dead_lengths_mm,L_mm_extra,H_mm_extra,T_mm,Transcript_indiv,Collection_Notes,Additional notes,Dissection ID label,Color 1,Color 2,Len,Height,Start_height from marking,Growth increment from mark_height,Tin only,Tin + gonad + somatic tissue,Reweight total weight on different scale,Ash weight + tin,DW_g,Ash_wt_g,AFDW_g,Org_inorg_ratio,Incomplete ashing,notes,,
6/17/2022,Eel_Pond,N,2,A2,2,Y,,18.18,14.01,7.85,,July,6/30/2022,13,,4-6,L,,22.51,17.35,9.59,,,,E202,Y,,22.6,17.4,14.2,4.5,1.111,1.209,,1.1311,0.098,0.0201,0.0779,79.49%,,,,
6/17/2022,Eel_Pond,N,2,A2,3,B,,20.84,16.93,9.34,,July,6/30/2022,13,,2-4,L,,24.79,19.75,10.78,,,,E203,B,,24.7,19.7,16.9,4.6,1.11,1.232,,1.1331,0.122,0.0231,0.0989,81.07%,,,,
6/17/2022,Eel_Pond,N,2,A2,4,L,,19.29,14.72,8.08,,July,6/30/2022,13,,4-6,L,,22.73,17.77,10.13,,,,E204,L,,22.8,17.7,15.2,4.7,1.097,1.188,,1.1138,0.091,0.0168,0.0742,81.54%,,,,
6/17/2022,Eel_Pond,N,2,A2,5,R,Y,21.06,16.5,9.42,,July,6/30/2022,13,,4-6,L,,23.46,18.94,11.09,,,,E205,R,Y,24.4,18.9,16.6,3.4,1.105,1.234,,1.1293,0.129,0.0243,0.1047,81.16%,,,,
6/17/2022,Eel_Pond,N,2,A2,6,R,B,20.65,16.18,9.24,,July,6/30/2022,13,,2-4,L,,24.41,18.77,10.93,,,,E206,R,B,24.5,19.2,16.4,4.4,1.097,1.215,,1.1185,0.118,0.0215,0.0965,81.78%,,,,
6/17/2022,Eel_Pond,N,2,A2,7,R,L,15.06,12.52,6.87,,July,6/30/2022,13,,2-4,L,,19.55,15.75,9.02,,,,E207,R,L,19.7,15.9,12.8,4.3,1.105,1.173,,1.1176,0.068,0.0126,0.0554,81.47%,,,,
6/17/2022,Eel_Pond,N,2,A2,8,Y,B,17.79,13.42,7.42,,July,6/30/2022,13,,0-2,L,,21.16,16.28,9.21,,,,E208,Y,B,21.6,16.3,13.4,4.3,1.089,1.157,,1.1024,0.068,0.0134,0.0546,80.29%,,,,
6/17/2022,Eel_Pond,N,2,A2,9,B,L,17.23,12.77,7.06,,July,6/30/2022,13,,0-2,L,,20.11,15.25,8.91,,,,E209,B,L,20.2,15.2,12.7,3.7,1.095,1.164,,1.1104,0.069,0.0154,0.0536,77.68%,,,,
6/17/2022,Eel_Pond,N,3,A3,1,R,,18.5,14.34,8.09,,August,8/1/2022,45,,,D,21,21,15,9,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,,R,,22.79,17.67,14.23,4.44,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,3,A3,2,Y,,18.85,15.15,8.08,,August,8/1/2022,45,,,D,21,21,12,9,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,,Y,,23.55,18.87,15.38,5.04,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,3,A3,3,B,,17.49,13.57,7.94,,August,8/1/2022,45,,,L,,20,16,9,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,E704,B,,22.57,17.83,13.78,5.83,0.3918,0.4455,,0.4047,0.0537,0.0129,0.0408,75.98%,,no label,,
6/17/2022,Eel_Pond,N,3,A3,4,L,,21.55,17.39,9.3,,August,8/1/2022,45,,,D,23,23,19,10,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,,L,,25.35,20.52,16.99,4.26,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,3,A3,5,R,Y,16.89,13.61,7.46,,August,8/1/2022,45,,,L,19,19,14,7,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,,R,Y,20.25,16.51,13.54,4.31,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,3,A3,6,R,B,18.2,14.01,7.84,,August,8/1/2022,45,,,D,11,11,15,9,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,,R,B,22.97,17.98,13.85,5.11,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,3,A3,7,R,L,19.5,15.45,8.92,,August,8/1/2022,45,,,D,20,20,15,9,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,,R,L,22.51,17.61,11.47,3.06,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,3,A3,8,Y,B,17.2,13.49,7.74,,August,8/1/2022,45,,,L,,24,13,10,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,E701,Y,B,25.7,19.45,13.08,8.66,0.3903,0.5067,,0.4152,0.1164,0.0249,0.0915,78.61%,,E701 is A3NYB.,,
6/17/2022,Eel_Pond,N,3,A3,9,B,L,15.75,12.69,7.01,,August,8/1/2022,45,,,D,19,19,15,8,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,,B,L,21.05,16.78,12.47,5.81,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,4,E1,1,R,,16.23,12.36,7.04,,July,6/30/2022,13,,4-6,L,,19.88,15.05,8.71,,,,E301,R,,19.8,15,12.3,4,0.394,0.462,0.4616,0.408,0.068,0.014,0.054,79.41%,,,,
6/17/2022,Eel_Pond,N,4,E1,2,Y,,17,13.36,7.45,,July,6/30/2022,13,,4-6,L,,20.23,16.2,9.29,,,,E302,Y,,20.2,15.9,13.4,3.7,0.39,0.462,0.4625,0.4059,0.072,0.0159,0.0561,77.92%,,,,
6/17/2022,Eel_Pond,N,4,E1,3,B,,17.59,13.99,7.81,,July,6/30/2022,13,,6+,L,,21.32,17.05,9.81,,,,E303,B,,21.5,17,13.8,4,0.393,0.477,0.4778,0.4086,0.084,0.0156,0.0684,81.43%,,,,
6/17/2022,Eel_Pond,N,4,E1,4,L,,16.62,13.01,7.38,,July,6/30/2022,13,,6+,L,,20.13,15.54,9.05,,,,E304,L,,20.1,15.7,12.9,3.7,0.402,0.466,0.467,0.4145,0.064,0.0125,0.0515,80.47%,,,,
6/17/2022,Eel_Pond,N,4,E1,5,R,Y,17.16,13.16,7.15,,July,6/30/2022,13,,4-6,L,,19.94,15.71,8.72,,,,E305,R,Y,19.8,15.7,13.2,3.3,0.41,0.46,0.4603,0.4136,0.05,0.0036,0.0464,92.80%,,,,
6/17/2022,Eel_Pond,N,4,E1,6,R,B,18.35,13.25,7.38,,July,6/30/2022,13,,4-6,L,,22.16,16.05,9.49,,,,E306,R,B,22.2,16,13.2,3.9,0.398,0.484,0.4838,0.4151,0.086,0.0171,0.0689,80.12%,,,,
6/17/2022,Eel_Pond,N,4,E1,7,R,L,20.35,16.18,8.94,,July,6/30/2022,13,,4-6,L,,23,18.17,10.4,,,,E307,R,L,23,18.2,16.2,3.4,0.399,0.492,0.4928,0.4183,0.093,0.0193,0.0737,79.25%,,,,
6/17/2022,Eel_Pond,N,4,E1,8,Y,B,16.31,12.51,6.87,,July,6/30/2022,13,,4-6,L,,19.75,15.31,8.62,,,,E306,Y,B,19.7,15.3,12.6,4.1,0.387,0.462,0.4627,0.403,0.075,0.016,0.059,78.67%,,,,
6/17/2022,Eel_Pond,N,4,E1,9,B,L,16.51,12.6,6.98,,July,6/30/2022,13,,4-6,L,,19.07,14.59,8.59,,,,E309,B,L,18.9,14.6,12.6,3,0.395,0.453,0.4522,0.4076,0.058,0.0126,0.0454,78.28%,,,,
6/17/2022,Eel_Pond,S,5,F1,1,R,,17.15,13.12,7.04,,August,8/2/2022,46,,0-2,D,24,,,,,,,,R,,23.96,17.88,12.19,5.88,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,5,F1,2,Y,,22.07,17.34,9.89,,August,8/2/2022,46,,0-2,D,28.4,,,,,,,,Y,,27.88,21.58,17.2,5.02,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,5,F1,3,B,,13.29,10.64,5.82,,August,8/2/2022,46,,0-2,D,17.8,,,,,,,,B,,17.76,14.35,10.9,4.65,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,5,F1,4,L,,21.68,16.91,9.48,,August,8/2/2022,46,,0-2,D,29.4,,,,,,,,L,,29.36,22.63,16.84,6.94,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,5,F1,5,R,Y,14.28,10.81,6.33,,August,8/2/2022,46,,0-2,D,19,,,,,,,,R,Y,18.51,14.45,10.66,4.94,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,5,F1,6,R,B,17.82,13.9,7.21,,August,8/2/2022,46,,0-2,D,23,,,,,,,,R,B,22.69,17.92,13.98,5.01,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,5,F1,7,R,L,22.89,17.94,9.94,,August,8/2/2022,46,,0-2,D,28.2,,,,,,,,R,L,27.92,22.1,17.54,6.75,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,5,F1,8,Y,B,19.11,14.8,8,,August,8/2/2022,46,,0-2,D,26.5,,,,,,,,Y,B,26.25,20.24,14.89,6.83,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,5,F1,9,B,L,21.63,17.66,10.16,,August,8/2/2022,46,,0-2,D,29.2,,,,,,,,B,L,28.68,23.53,17.47,7.04,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,6,B2,1,R,,17.29,13.69,7.51,,August,8/1/2022,45,,,L,29,29,22,13,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,E710,R,,31.5,23.87,13.59,13.66,0.3955,0.6266,,0.443,0.2311,0.0475,0.1836,79.45%,,,,
6/17/2022,Eel_Pond,S,6,B2,2,Y,,13.52,11.09,6.23,,August,8/1/2022,45,,,D,17,17,13,7,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,,Y,,19.04,16.3,10.56,6,,,,,,,,,,dead not alive,,
6/17/2022,Eel_Pond,S,6,B2,3,B,,17.26,13.05,7.33,,August,8/1/2022,45,,,,,,,,,not present,,E712,B,,30.56,24.25,13.3,14.36,0.39,0.6032,,0.4355,0.2132,0.0455,0.1677,78.66%,,,,
6/17/2022,Eel_Pond,S,6,B2,4,L,,16.71,13.18,7.2,,August,8/1/2022,45,,,L,29,29,22,11,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,,L,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,6,B2,5,R,Y,16.78,13.69,7.52,,August,8/1/2022,45,,,L,20,20,16,19,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,E713,R,Y,22.81,18.11,13.52,7.14,0.387,0.428,,0.437,0.041,0.05,,-21.95%,,negative afdw,,
6/17/2022,Eel_Pond,S,6,B2,6,R,B,17.16,13.28,7.34,,August,8/1/2022,45,,,L,25,25,19,11,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,E714,R,B,27.05,20.81,13.23,11.3,0.3907,0.5342,,0.4213,0.1435,0.0306,0.1129,78.68%,,,,
6/17/2022,Eel_Pond,S,6,B2,7,R,L,21.99,16.95,10.03,,August,8/1/2022,45,,,L,34,34,25,15,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,E715,R,L,35.11,27.11,16.36,13.34,0.3893,0.7617,,0.4693,0.3724,0.08,0.2924,78.52%,,,,
6/17/2022,Eel_Pond,S,6,B2,8,Y,B,17.58,12.99,7.47,,August,8/1/2022,45,,,L,28,28,20,12,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,E716,Y,B,30.28,22.53,13.05,13.95,0.389,0.5858,,0.4339,0.1968,0.0449,0.1519,77.18%,,,,
6/17/2022,Eel_Pond,S,6,B2,9,B,L,17.62,13.59,7.63,,August,8/1/2022,45,,,L,30,30,22,12,,"Only measured to 1mm resolution. When doing dissections, remeasure lengths.",,E717,B,L,32.02,23.88,13.65,13.86,0.3903,0.6378,,0.4381,0.2475,0.0478,0.1997,80.69%,,,,
6/17/2022,Eel_Pond,S,7,B3,1,R,,15.47,12.14,6.4,,July,6/30/2022,13,,6+,L,,18.98,15.09,8.25,,,,210,R,,18.8,15,12.3,3.8,1.098,1.156,,1.1078,0.058,0.0098,0.0482,83.10%,,,,
6/17/2022,Eel_Pond,S,7,B3,2,Y,,22.54,17.17,9.57,,July,6/30/2022,13,,0-2,L,,26.06,19.96,11.31,,,,211,Y,,26,19.9,17.1,4.3,1.098,1.239,,1.1248,0.141,0.0268,0.1142,80.99%,,,,
6/17/2022,Eel_Pond,S,7,B3,3,B,,15.5,11.91,6.44,,July,6/30/2022,13,,2-4,L,,19.07,14.85,8.2,,,,212,B,,19.1,15,12.1,4.5,1.1,1.158,,1.111,0.058,0.011,0.047,81.03%,,,,
6/17/2022,Eel_Pond,S,7,B3,4,L,,20.7,16.47,9.67,,July,6/30/2022,13,,4-6,L,,23.79,18.9,11.5,,,,213,L,,23.8,18.7,15.8,4.6,1.109,1.232,,1.1295,0.123,0.0205,0.1025,83.33%,,,,
6/17/2022,Eel_Pond,S,7,B3,5,R,Y,15.36,12.21,7,,July,6/30/2022,13,,0-2,L,,19.44,15.43,8.94,,,,214,R,Y,19.2,15.4,13.6,4.3,1.093,1.166,,1.1076,0.073,0.0146,0.0584,80.00%,,,,
6/17/2022,Eel_Pond,S,7,B3,6,R,B,15.65,11.88,6.86,,July,6/30/2022,13,,0-2,L,,19.8,14.97,9.08,,,,215,R,B,19.8,15,12.2,4.2,1.102,1.16,,1.1142,0.058,0.0122,0.0458,78.97%,,,,
6/17/2022,Eel_Pond,S,7,B3,7,R,L,19.27,15.26,8.14,,July,6/30/2022,13,,0-2,L,,23.1,18.29,9.97,,,,216,R,L,23.1,18.2,14.9,4.7,1.106,1.21,,1.1275,0.104,0.0215,0.0825,79.33%,,,,
6/17/2022,Eel_Pond,S,7,B3,8,Y,B,20.94,16.98,8.67,,July,6/30/2022,13,,4-6,L,,23.77,19.25,10.24,,,,217,Y,B,23.8,19.2,17,3.2,1.09,1.202,,1.1106,0.112,0.0206,0.0914,81.61%,,,,
6/17/2022,Eel_Pond,S,7,B3,9,B,L,17.41,13.38,7.36,,July,6/30/2022,13,,0-2,L,,21.77,16.87,9.52,,,,218,B,L,21.8,16.8,13.5,4.4,1.099,1.185,,1.1149,0.086,0.0159,0.0701,81.51%,,,,
6/17/2022,Eel_Pond,S,8,B4,1,R,,21.77,17.13,9.27,,August_transcriptomics,9/11/2022,86,,0-2,L,,21.1,16.6,12.4,T,Length and height measurements were swapped -9.28.22,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,8,B4,2,Y,,14.78,11.53,6.4,,September,9/11/2022,86,,,,,,,,,One additional set of dead shells found but no marking,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,8,B4,3,B,,20.8,16.49,9.02,,September,9/11/2022,86,,0-2,D,24.94,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,8,B4,4,L,,22.63,18.07,10.04,,September,9/11/2022,86,,2-4,D,29.15,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,8,B4,5,R,Y,16.51,13.22,7.08,,September,9/11/2022,86,,2-4,D,24.61,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,8,B4,6,R,B,17.61,14.39,8.06,,September,9/11/2022,86,,0-2,D,22.2,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,8,B4,7,R,L,16.1,12.51,6.56,,September,9/11/2022,86,,6+,D,19.73,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,8,B4,8,Y,B,17.81,14.68,8.15,,September,9/11/2022,86,,0-2,D,24.37,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,8,B4,9,B,L,17.78,14.06,7.76,,September,9/11/2022,86,,2-4,D,23.86,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,9,G4,1,R,,16.3,12.8,6.77,,July,6/30/2022,13,,6+,L,,19.72,15.52,8.86,,,,E310,R,,19.8,15.6,12.7,3.6,0.391,0.457,0.4565,0.4047,0.066,0.0137,0.0523,79.24%,,,,
6/17/2022,Eel_Pond,N,9,G4,2,Y,,17.09,13.81,7.46,,July,6/30/2022,13,,6+,L,,20.2,16.42,9.27,,,,E311,Y,,20.1,16.5,13.9,4.1,0.394,0.468,0.4682,0.4089,0.074,0.0149,0.0591,79.86%,,,,
6/17/2022,Eel_Pond,N,9,G4,3,B,,22.48,17.87,9.9,,July,6/30/2022,13,,2-4,L,,26.28,20.84,11.77,,,,E312,B,,26.3,20.9,17.7,4.2,0.396,0.552,0.5529,0.4316,0.156,0.0356,0.1204,77.18%,,,,
6/17/2022,Eel_Pond,N,9,G4,4,L,,22.27,17,9.35,,July,6/30/2022,13,,4-6,L,,25.54,19.69,11.18,,,,E313,L,,25.6,19.6,17.2,3.7,0.393,0.516,0.5185,0.4195,0.123,0.0265,0.0965,78.46%,,,,
6/17/2022,Eel_Pond,N,9,G4,5,R,Y,20.56,16.07,9.06,,July,6/30/2022,13,,4-6,L,,24.09,18.77,10.82,,,,E314,R,Y,24.1,18.8,16,3.5,0.402,0.51,0.5113,0.4259,0.108,0.0239,0.0841,77.87%,,,,
6/17/2022,Eel_Pond,N,9,G4,6,R,B,19.64,14.95,8.38,,July,6/30/2022,13,,0-2,L,,23.8,18.42,10.64,,,,E315,R,B,23.8,18.4,14.7,4.5,0.396,0.509,0.5089,0.4212,0.113,0.0252,0.0878,77.70%,,,,
6/17/2022,Eel_Pond,N,9,G4,7,R,L,16.42,12.69,7.2,,July,6/30/2022,13,,0-2,L,,20.49,15.93,9.34,,,,E316,R,L,20.3,15.9,12.4,4.3,0.403,0.467,0.4688,0.4162,0.064,0.0132,0.0508,79.38%,,,,
6/17/2022,Eel_Pond,N,9,G4,8,Y,B,19.05,15.77,8.98,,July,6/30/2022,13,,0-2,L,,22.79,18.47,10.74,,,,E317,Y,B,22.8,18.5,15.9,3.5,0.397,0.499,0.4996,0.4172,0.102,0.0202,0.0818,80.20%,,,,
6/17/2022,Eel_Pond,N,9,G4,9,B,L,22.87,17.85,9.64,,July,6/30/2022,13,,2-4,L,,26.4,20.61,11.5,,,,E318,B,L,26.5,20.6,18.3,3.5,0.393,0.534,0.5341,0.4231,0.141,0.0301,0.1109,78.65%,,,,
6/17/2022,Eel_Pond,N,10,C2,1,R,,18.88,14.47,7.65,,July,6/30/2022,13,,2-4,L,,22.68,17.48,10.13,,,,219,R,,22.8,17.4,14.5,3.9,1.109,1.194,,1.1265,0.085,0.0175,0.0675,79.41%,,,,
6/17/2022,Eel_Pond,N,10,C2,2,Y,,16.5,12.89,7.15,,July,6/30/2022,13,,6+,L,,20.37,16.11,9.46,,,,219,Y,,20.3,16.2,12.9,4.3,1.101,1.178,,1.1146,0.077,0.0136,0.0634,82.34%,,,,
6/17/2022,Eel_Pond,N,10,C2,3,B,,16.13,13.01,7.19,,July,6/30/2022,13,,2-4,L,,20.09,16.28,9.46,,,,219,B,,20,16.5,13.2,4.7,1.1,1.179,,1.1154,0.079,0.0154,0.0636,80.51%,,,,
6/17/2022,Eel_Pond,N,10,C2,4,L,,19.24,14.57,8.03,,July,6/30/2022,13,,2-4,L,,22.94,17.44,10.2,,,,219,L,,23,17.4,15,3.8,1.091,1.184,,1.1096,0.093,0.0186,0.0744,80.00%,,,,
6/17/2022,Eel_Pond,N,10,C2,5,R,Y,18.73,14.68,7.88,,July,6/30/2022,13,,4-6,L,,22.55,17.53,10.16,,,,219,R,Y,22.6,17.5,14.5,3.8,1.099,1.198,,1.1211,0.099,0.0221,0.0769,77.68%,,,,
6/17/2022,Eel_Pond,N,10,C2,6,R,B,22.8,18.16,9.82,,July,6/30/2022,13,,4-6,D,26.93,26.93,21.02,12.39,,,,219,R,B,26.5,20.8,18.6,4,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,10,C2,7,R,L,16.3,13.41,6.91,,July,6/30/2022,13,,4-6,L,,20.72,16.78,9.12,,,,219,R,L,20.9,17,13.5,4.4,1.112,1.192,,1.125,0.08,0.013,0.067,83.75%,,,,
6/17/2022,Eel_Pond,N,10,C2,8,Y,B,23.28,17.78,9.7,,July,6/30/2022,13,,2-4,L,,27.71,21.41,11.77,,,,219,Y,B,27.8,21.4,17.9,4.7,1.1,1.277,,1.1363,0.177,0.0363,0.1407,79.49%,,,,
6/17/2022,Eel_Pond,N,10,C2,9,B,L,21.4,17,9.35,,July,6/30/2022,13,,2-4,L,,23.9,19.2,11.15,,,,219,B,L,23.8,19.2,17,3.7,1.101,1.228,,1.1292,0.127,0.0282,0.0988,77.80%,,,,
6/17/2022,Eel_Pond,N,11,C3,1,R,,18.89,14.35,8.22,,August,8/2/2022,46,,0-2,D,26.04,,,,,,,,R,,26.18,20.26,14.37,7.82,,,,,,,,,,moved down from A3. Check if shells are labelled C3 or A3,,
6/17/2022,Eel_Pond,N,11,C3,2,Y,,20.32,15.56,8.93,,August,8/2/2022,46,,2-4,D,24.83,,,,,,,,Y,,24.75,18.94,12.18,4.9,,,,,,,,,,moved down from A3. Check if shells are labelled C3 or A3,,
6/17/2022,Eel_Pond,N,11,C3,3,B,,18.27,14.42,6.87,,August,8/2/2022,46,,2-4,D,23.07,,,,,,,,B,,22.79,17.73,13.37,4.5,,,,,,,,,,moved down from A3. Check if shells are labelled C3 or A3,,
6/17/2022,Eel_Pond,N,11,C3,4,L,,16.95,13.27,7.27,,August,8/2/2022,46,,2-4,L,,25,19.2,11.1,,,,,L,,,,,,,,,,,,,,,moved down from A3. Check if shells are labelled C3 or A3,,
6/17/2022,Eel_Pond,N,11,C3,5,R,Y,17.55,13.25,7.34,,August,8/2/2022,46,,2-4,D,22.56,,,,,,,,R,Y,22.5,17.14,13.25,4.76,,,,,,,,,,moved down from A3. Check if shells are labelled C3 or A3,,
6/17/2022,Eel_Pond,N,11,C3,6,R,B,17.78,13.09,7.74,,August,8/2/2022,46,,,,,,,,,,,,R,B,,,,,,,,,,,,,,moved down from A3. Check if shells are labelled C3 or A3,,
6/17/2022,Eel_Pond,N,11,C3,7,R,L,16.94,13.16,7.32,,August,8/2/2022,46,,2-4,D,21.8,,,,,,,,R,L,21.45,16.81,13.17,4.83,,,,,,,,,,moved down from A3. Check if shells are labelled C3 or A3,,
6/17/2022,Eel_Pond,N,11,C3,8,Y,B,18.07,13.82,7.65,,August,8/2/2022,46,,0-2,D,24.5,,,,,,,,Y,B,24.4,18.31,14.09,6.21,,,,,,,,,,moved down from A3. Check if shells are labelled C3 or A3,,
6/17/2022,Eel_Pond,N,11,C3,9,B,L,16.14,12.71,6.94,,August,8/2/2022,46,,4-6,D,19.9,,,,,,,,B,L,19.75,15.51,12.67,3.95,,,,,,,,,,moved down from A3. Check if shells are labelled C3 or A3,,
6/17/2022,Eel_Pond,N,12,C4,1,R,,16.55,12.64,6.99,,September,9/11/2022,86,,6+,D,21.47,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,12,C4,2,Y,,18.05,14.56,8.38,,September,9/11/2022,86,,4-6,D,23.93,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,12,C4,3,B,,16.78,13.35,7.65,,September,9/11/2022,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,12,C4,4,L,,19.27,15.35,7.66,,September,9/11/2022,86,,,,,,,,,,There is 1 additional set of dead clam shells with no label,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,12,C4,5,R,Y,16.43,13.12,7.18,,September,9/11/2022,86,,0-2,L,,32.2,24.5,,,,,2,RY,,32.1,24.5,,,1.093,1.345,,1.15,0.252,0.057,0.195,77.38%,,,,
6/17/2022,Eel_Pond,N,12,C4,6,R,B,21.92,16.92,9.88,,September,9/11/2022,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,12,C4,7,R,L,20.62,16.54,9.22,,September,9/11/2022,86,,6+,D,24.44,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,12,C4,8,Y,B,21.84,17.04,9.44,,September,9/11/2022,86,,2-4,D,25.95,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,N,12,C4,9,B,L,15.6,12.31,6.48,,August_transcriptomics,8/2/2022,46,,0-2,L,,29.9,24.2,14.1,,,,,B,L,,,,,,,,,,,,,,,,
6/17/2022,Eel_Pond,S,13,D1,1,R,,17.08,13.01,7.37,,July,6/30/2022,13,,0-2,L,,21.24,16.3,9.66,,,,E351,R,,21.4,16.2,13,4.7,0.4,0.477,0.4773,0.4132,0.077,0.0132,0.0638,82.86%,,,,
6/17/2022,Eel_Pond,S,13,D1,2,Y,,15.9,12.4,6.63,,July,6/30/2022,13,,0-2,L,,20.26,15.76,8.79,,,,E352,Y,,20.3,15.6,12.4,4,0.396,0.459,0.4598,0.4089,0.063,0.0129,0.0501,79.52%,,,,
