#,Date-Time (EST/EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Button Up,Host Connected,End of File
76,11/05/2022 09:45:00,17.56,169.47,3.75,,,,
77,11/05/2022 10:00:00,18.32,169.57,3.76,,,,
78,11/05/2022 10:15:00,18.94,169.65,3.76,,,,
79,11/05/2022 10:30:00,19.51,169.83,3.77,,,,
80,11/05/2022 10:45:00,20.20,170.08,3.77,,,,
81,11/05/2022 11:00:00,21.15,170.35,3.77,,,,
82,11/05/2022 11:15:00,22.30,170.74,3.78,,,,
83,11/05/2022 11:30:00,23.50,171.38,3.78,,,,
84,11/05/2022 11:45:00,24.70,172.16,3.78,,,,
85,11/05/2022 12:00:00,25.89,172.97,3.78,,,,
86,11/05/2022 12:15:00,26.82,173.69,3.78,,,,
87,11/05/2022 12:30:00,27.51,174.26,3.77,,,,
88,11/05/2022 12:45:00,28.02,174.69,3.77,,,,
89,11/05/2022 13:00:00,28.42,175.01,3.77,,,,
90,11/05/2022 13:15:00,28.77,175.24,3.77,,,,
91,11/05/2022 13:30:00,29.11,175.40,3.77,,,,
92,11/05/2022 13:45:00,29.54,175.63,3.77,,,,
93,11/05/2022 14:00:00,29.94,175.82,3.77,,,,
94,11/05/2022 14:15:00,30.32,176.02,3.77,,,,
95,11/05/2022 14:30:00,30.14,176.22,3.77,,,,
96,11/05/2022 14:45:00,28.82,175.77,3.76,,,,
97,11/05/2022 15:00:00,27.48,175.11,3.76,,,,
98,11/05/2022 15:15:00,26.87,174.82,3.76,,,,
99,11/05/2022 15:30:00,26.57,174.63,3.76,,,,
100,11/05/2022 15:45:00,26.45,174.49,3.76,,,,
101,11/05/2022 16:00:00,26.40,174.41,3.76,,,,
102,11/05/2022 16:15:00,26.35,174.35,3.76,,,,
103,11/05/2022 16:30:00,26.28,174.32,3.76,,,,
104,11/05/2022 16:45:00,26.16,174.19,3.76,,,,
105,11/05/2022 17:00:00,25.82,173.97,3.76,,,,
106,11/05/2022 17:15:00,24.60,173.46,3.76,,,,
107,11/05/2022 17:30:00,23.38,172.94,3.75,,,,
108,11/05/2022 17:45:00,22.27,172.47,3.75,,,,
109,11/05/2022 18:00:00,21.39,171.94,3.75,,,,
110,11/05/2022 18:15:00,20.10,171.43,3.74,,,,
111,11/05/2022 18:30:00,19.63,171.15,3.74,,,,
112,11/05/2022 18:45:00,19.44,170.88,3.75,,,,
113,11/05/2022 19:00:00,19.27,170.72,3.75,,,,
114,11/05/2022 19:15:00,19.17,170.58,3.75,,,,
115,11/05/2022 19:30:00,19.10,170.41,3.75,,,,
116,11/05/2022 19:45:00,19.01,170.30,3.75,,,,
117,11/05/2022 20:00:00,18.94,170.16,3.75,,,,
118,11/05/2022 20:15:00,18.89,170.05,3.75,,,,
119,11/05/2022 20:30:00,18.84,169.96,3.76,,,,
120,11/05/2022 20:45:00,18.77,169.86,3.76,,,,
121,11/05/2022 21:00:00,18.72,169.79,3.76,,,,
122,11/05/2022 21:15:00,18.68,169.71,3.76,,,,
123,11/05/2022 21:30:00,18.60,169.63,3.76,,,,
124,11/05/2022 21:45:00,18.56,169.55,3.76,,,,
125,11/05/2022 22:00:00,18.49,169.49,3.76,,,,
126,11/05/2022 22:15:00,18.41,169.43,3.76,,,,
127,11/05/2022 22:30:00,18.34,169.35,3.76,,,,
128,11/05/2022 22:45:00,18.30,169.29,3.76,,,,
129,11/05/2022 23:00:00,18.22,169.22,3.76,,,,
130,11/05/2022 23:15:00,18.15,169.16,3.76,,,,
131,11/05/2022 23:30:00,18.08,169.10,3.76,,,,
132,11/05/2022 23:45:00,18.01,169.05,3.76,,,,
133,11/06/2022 00:00:00,17.94,168.99,3.76,,,,
134,11/06/2022 00:15:00,17.87,168.94,3.76,,,,
135,11/06/2022 00:30:00,17.80,168.88,3.76,,,,
136,11/06/2022 00:45:00,17.72,168.83,3.76,,,,
137,11/06/2022 01:00:00,17.65,168.77,3.76,,,,
138,11/06/2022 01:15:00,17.58,168.72,3.76,,,,
139,11/06/2022 01:30:00,17.51,168.68,3.76,,,,
140,11/06/2022 01:45:00,17.46,168.63,3.76,,,,
141,11/06/2022 01:00:00,17.39,168.58,3.76,,,,
142,11/06/2022 01:15:00,17.32,168.54,3.76,,,,
143,11/06/2022 01:30:00,17.27,168.49,3.77,,,,
144,11/06/2022 01:45:00,17.22,168.44,3.77,,,,
145,11/06/2022 02:00:00,17.18,168.40,3.77,,,,
146,11/06/2022 02:15:00,17.11,168.35,3.77,,,,
147,11/06/2022 02:30:00,17.06,168.30,3.77,,,,
148,11/06/2022 02:45:00,17.01,168.27,3.77,,,,
149,11/06/2022 03:00:00,16.96,168.22,3.77,,,,
150,11/06/2022 03:15:00,16.92,168.18,3.77,,,,
151,11/06/2022 03:30:00,16.84,168.15,3.77,,,,
152,11/06/2022 03:45:00,16.80,168.10,3.77,,,,
153,11/06/2022 04:00:00,16.75,168.07,3.77,,,,
154,11/06/2022 04:15:00,16.70,168.02,3.77,,,,
155,11/06/2022 04:30:00,16.65,167.99,3.77,,,,
156,11/06/2022 04:45:00,16.61,167.94,3.77,,,,
157,11/06/2022 05:00:00,16.58,167.91,3.77,,,,
158,11/06/2022 05:15:00,16.56,167.88,3.77,,,,
159,11/06/2022 05:30:00,16.53,167.83,3.77,,,,
160,11/06/2022 05:45:00,16.51,167.82,3.77,,,,
161,11/06/2022 06:00:00,16.51,167.79,3.77,,,,
162,11/06/2022 06:15:00,16.49,167.76,3.77,,,,
163,11/06/2022 06:30:00,16.49,167.72,3.77,,,,
164,11/06/2022 06:45:00,16.46,167.69,3.77,,,,
165,11/06/2022 07:00:00,16.44,167.66,3.77,,,,
166,11/06/2022 07:15:00,16.44,167.63,3.77,,,,
167,11/06/2022 07:30:00,16.44,167.61,3.77,,,,
168,11/06/2022 07:45:00,16.46,167.60,3.77,,,,
169,11/06/2022 08:00:00,16.49,167.58,3.77,,,,
170,11/06/2022 08:15:00,16.56,167.57,3.77,,,,
171,11/06/2022 08:30:00,16.65,167.54,3.78,,,,
172,11/06/2022 08:45:00,16.84,167.46,3.78,,,,
173,11/06/2022 09:00:00,17.18,167.41,3.78,,,,
174,11/06/2022 09:15:00,17.84,167.36,3.79,,,,
175,11/06/2022 09:30:00,18.49,167.44,3.80,,,,
176,11/06/2022 09:45:00,19.20,167.58,3.80,,,,
177,11/06/2022 10:00:00,19.98,167.80,3.81,,,,
178,11/06/2022 10:15:00,20.79,168.11,3.81,,,,
179,11/06/2022 10:30:00,21.53,168.54,3.81,,,,
180,11/06/2022 10:45:00,22.23,169.01,3.81,,,,
181,11/06/2022 11:00:00,22.82,169.51,3.81,,,,
182,11/06/2022 11:15:00,23.54,169.97,3.81,,,,
183,11/06/2022 11:30:00,24.12,170.43,3.81,,,,
184,11/06/2022 11:45:00,24.75,170.83,3.80,,,,
185,11/06/2022 12:00:00,25.38,171.26,3.80,,,,
186,11/06/2022 12:15:00,25.99,171.66,3.80,,,,
187,11/06/2022 12:30:00,26.60,172.07,3.80,,,,
188,11/06/2022 12:45:00,27.21,172.44,3.80,,,,
189,11/06/2022 13:00:00,27.28,172.71,3.80,,,,
190,11/06/2022 13:15:00,27.04,172.79,3.79,,,,
191,11/06/2022 13:30:00,26.55,172.66,3.79,,,,
192,11/06/2022 13:45:00,25.94,172.43,3.79,,,,
193,11/06/2022 14:00:00,25.62,172.21,3.79,,,,
194,11/06/2022 14:15:00,25.48,172.04,3.79,,,,
195,11/06/2022 14:30:00,25.11,171.88,3.79,,,,
196,11/06/2022 14:45:00,24.58,171.63,3.79,,,,
197,11/06/2022 15:00:00,23.26,171.01,3.79,,,,
198,11/06/2022 15:15:00,22.30,170.52,3.78,,,,
199,11/06/2022 15:30:00,21.63,170.13,3.78,,,,
200,11/06/2022 15:45:00,19.72,167.66,3.81,,,,
201,11/06/2022 16:00:00,17.44,-58.94,7.90,,,,
202,11/06/2022 16:15:00,17.30,-61.64,7.95,,,,
203,11/06/2022 16:30:00,17.25,-63.50,7.98,,,,
204,11/06/2022 16:45:00,17.20,-64.61,8.00,,,,
205,11/06/2022 17:00:00,17.32,-65.55,8.02,,,,
206,11/06/2022 17:15:00,17.03,-67.89,8.07,,,,
207,11/06/2022 17:30:00,16.94,-68.22,8.07,,,,
208,11/06/2022 17:45:00,16.89,-68.85,8.08,,,,
209,11/06/2022 18:00:00,16.84,-69.13,8.09,,,,
210,11/06/2022 18:15:00,16.80,-69.88,8.10,,,,
211,11/06/2022 18:30:00,16.75,-70.17,8.11,,,,
212,11/06/2022 18:45:00,16.72,-70.28,8.11,,,,
213,11/06/2022 19:00:00,16.72,-70.46,8.11,,,,
214,11/06/2022 19:15:00,16.75,-70.72,8.12,,,,
215,11/06/2022 19:30:00,16.77,-70.99,8.12,,,,
216,11/06/2022 19:45:00,16.77,-71.13,8.12,,,,
217,11/06/2022 20:00:00,16.75,-71.19,8.13,,,,
218,11/06/2022 20:15:00,16.72,-71.22,8.13,,,,
219,11/06/2022 20:30:00,16.70,-71.22,8.13,,,,
220,11/06/2022 20:45:00,16.68,-71.30,8.13,,,,
221,11/06/2022 21:00:00,16.65,-71.24,8.13,,,,
222,11/06/2022 21:15:00,16.65,-71.47,8.13,,,,
223,11/06/2022 21:30:00,16.65,-71.52,8.13,,,,
224,11/06/2022 21:45:00,16.65,-71.55,8.13,,,,
225,11/06/2022 22:00:00,16.63,-71.63,8.13,,,,
226,11/06/2022 22:15:00,16.63,-71.97,8.14,,,,
227,11/06/2022 22:30:00,16.61,-71.83,8.14,,,,
228,11/06/2022 22:45:00,16.63,-71.81,8.14,,,,
229,11/06/2022 23:00:00,16.61,-71.91,8.14,,,,
230,11/06/2022 23:15:00,16.61,-71.78,8.14,,,,
231,11/06/2022 23:30:00,16.61,-71.49,8.13,,,,
232,11/06/2022 23:45:00,16.61,-71.28,8.13,,,,
233,11/07/2022 00:00:00,16.63,-71.53,8.13,,,,
234,11/07/2022 00:15:00,16.65,-71.55,8.13,,,,
235,11/07/2022 00:30:00,16.65,-71.67,8.14,,,,
236,11/07/2022 00:45:00,16.65,-71.71,8.14,,,,
237,11/07/2022 01:00:00,16.68,-71.63,8.13,,,,
238,11/07/2022 01:15:00,16.65,-71.31,8.13,,,,
239,11/07/2022 01:30:00,16.68,-71.38,8.13,,,,
240,11/07/2022 01:45:00,16.68,-71.42,8.13,,,,
241,11/07/2022 02:00:00,16.68,-71.60,8.13,,,,
242,11/07/2022 02:15:00,16.72,-71.55,8.13,,,,
243,11/07/2022 02:30:00,16.72,-71.28,8.13,,,,
244,11/07/2022 02:45:00,16.75,-71.25,8.13,,,,
245,11/07/2022 03:00:00,16.77,-71.14,8.13,,,,
246,11/07/2022 03:15:00,16.80,-71.06,8.12,,,,
247,11/07/2022 03:30:00,16.82,-71.03,8.12,,,,
248,11/07/2022 03:45:00,16.82,-70.47,8.11,,,,
249,11/07/2022 04:00:00,16.82,-70.52,8.11,,,,
250,11/07/2022 04:15:00,16.82,-70.19,8.11,,,,
251,11/07/2022 04:30:00,16.84,-70.17,8.11,,,,
252,11/07/2022 04:45:00,16.84,-70.56,8.11,,,,
253,11/07/2022 05:00:00,16.80,-69.80,8.10,,,,
254,11/07/2022 05:15:00,16.70,-70.16,8.11,,,,
255,11/07/2022 05:30:00,16.58,-70.83,8.12,,,,
256,11/07/2022 05:45:00,16.56,-70.85,8.12,,,,
257,11/07/2022 06:00:00,16.51,-71.13,8.13,,,,
258,11/07/2022 06:15:00,16.51,-71.22,8.13,,,,
259,11/07/2022 06:30:00,16.53,-71.47,8.13,,,,
260,11/07/2022 06:45:00,16.53,-71.52,8.13,,,,
261,11/07/2022 07:00:00,16.53,-71.52,8.13,,,,
262,11/07/2022 07:15:00,16.56,-71.69,8.14,,,,
263,11/07/2022 07:30:00,16.63,-71.96,8.14,,,,
264,11/07/2022 07:45:00,16.65,-72.16,8.14,,,,
265,11/07/2022 08:00:00,16.68,-72.25,8.15,,,,
266,11/07/2022 08:15:00,16.68,-72.47,8.15,,,,
267,11/07/2022 08:30:00,16.68,-72.53,8.15,,,,
268,11/07/2022 08:45:00,16.68,-72.47,8.15,,,,
269,11/07/2022 09:00:00,16.68,-72.33,8.15,,,,
270,11/07/2022 09:15:00,16.70,-72.74,8.15,,,,
271,11/07/2022 09:30:00,16.75,-72.00,8.14,,,,
272,11/07/2022 09:45:00,16.80,-70.83,8.12,,,,
273,11/07/2022 10:00:00,16.84,-70.56,8.11,,,,
274,11/07/2022 10:15:00,16.92,-70.89,8.12,,,,
275,11/07/2022 10:30:00,16.94,-70.81,8.12,,,,
276,11/07/2022 10:45:00,16.99,-70.56,8.11,,,,
277,11/07/2022 11:00:00,16.99,-71.14,8.12,,,,
278,11/07/2022 11:15:00,17.01,-71.53,8.13,,,,
279,11/07/2022 11:30:00,17.06,-72.03,8.14,,,,
280,11/07/2022 11:45:00,17.18,-72.35,8.15,,,,
281,11/07/2022 12:00:00,17.32,-72.81,8.15,,,,
282,11/07/2022 12:15:00,17.25,-72.78,8.15,,,,
283,11/07/2022 12:30:00,17.34,-72.72,8.15,,,,
284,11/07/2022 12:45:00,17.44,-74.66,8.19,,,,
285,11/07/2022 13:00:00,17.42,-74.80,8.19,,,,
286,11/07/2022 13:15:00,17.30,-74.21,8.18,,,,
287,11/07/2022 13:30:00,17.27,-73.91,8.17,,,,
288,11/07/2022 13:45:00,17.32,-73.99,8.17,,,,
289,11/07/2022 14:00:00,17.37,-73.92,8.17,,,,
290,11/07/2022 14:15:00,17.37,-73.77,8.17,,,,
291,11/07/2022 14:30:00,17.42,-73.92,8.17,,,,
292,11/07/2022 14:45:00,17.46,-73.96,8.17,,,,
293,11/07/2022 15:00:00,17.51,-74.05,8.18,,,,
294,11/07/2022 15:15:00,17.61,-74.13,8.18,,,,
295,11/07/2022 15:30:00,17.63,-73.67,8.17,,,,
296,11/07/2022 15:45:00,17.68,-73.27,8.16,,,,
297,11/07/2022 16:00:00,17.68,-72.99,8.16,,,,
298,11/07/2022 16:15:00,17.68,-72.74,8.15,,,,
299,11/07/2022 16:30:00,17.68,-72.50,8.15,,,,
300,11/07/2022 16:45:00,17.63,-72.28,8.14,,,,
301,11/07/2022 17:00:00,17.58,-71.77,8.13,,,,
302,11/07/2022 17:15:00,17.53,-70.86,8.12,,,,
303,11/07/2022 17:30:00,17.51,-72.10,8.14,,,,
304,11/07/2022 17:45:00,17.72,-73.31,8.16,,,,
305,11/07/2022 18:00:00,17.49,-73.64,8.17,,,,
306,11/07/2022 18:15:00,17.32,-74.25,8.18,,,,
307,11/07/2022 18:30:00,17.22,-74.21,8.18,,,,
308,11/07/2022 18:45:00,17.20,-74.41,8.18,,,,
309,11/07/2022 19:00:00,17.18,-74.41,8.18,,,,
310,11/07/2022 19:15:00,17.15,-74.60,8.19,,,,
311,11/07/2022 19:30:00,17.13,-74.50,8.18,,,,
312,11/07/2022 19:45:00,17.08,-74.52,8.19,,,,
313,11/07/2022 20:00:00,17.01,-74.44,8.18,,,,
314,11/07/2022 20:15:00,16.99,-74.46,8.18,,,,
315,11/07/2022 20:30:00,16.96,-74.36,8.18,,,,
316,11/07/2022 20:45:00,16.94,-74.33,8.18,,,,
317,11/07/2022 21:00:00,16.89,-74.19,8.18,,,,
318,11/07/2022 21:15:00,16.87,-74.22,8.18,,,,
319,11/07/2022 21:30:00,16.82,-73.89,8.18,,,,
320,11/07/2022 21:45:00,16.70,-73.83,8.17,,,,
321,11/07/2022 22:00:00,16.61,-72.99,8.16,,,,
322,11/07/2022 22:15:00,16.51,-73.00,8.16,,,,
323,11/07/2022 22:30:00,16.46,-72.78,8.16,,,,
324,11/07/2022 22:45:00,16.51,-72.92,8.16,,,,
325,11/07/2022 23:00:00,16.53,-73.35,8.17,,,,
326,11/07/2022 23:15:00,16.46,-73.24,8.16,,,,
327,11/07/2022 23:30:00,16.30,-73.28,8.17,,,,
328,11/07/2022 23:45:00,16.30,-73.25,8.17,,,,
329,11/08/2022 00:00:00,16.25,-73.33,8.17,,,,
330,11/08/2022 00:15:00,16.15,-73.28,8.17,,,,
331,11/08/2022 00:30:00,15.99,-72.66,8.16,,,,
332,11/08/2022 00:45:00,15.94,-72.63,8.16,,,,
333,11/08/2022 01:00:00,15.84,-72.55,8.15,,,,
334,11/08/2022 01:15:00,15.84,-72.00,8.14,,,,
335,11/08/2022 01:30:00,15.72,-71.69,8.14,,,,
336,11/08/2022 01:45:00,15.70,-71.46,8.14,,,,
337,11/08/2022 02:00:00,15.63,-71.31,8.13,,,,
338,11/08/2022 02:15:00,15.58,-71.21,8.13,,,,
339,11/08/2022 02:30:00,15.58,-70.77,8.12,,,,
340,11/08/2022 02:45:00,15.63,-70.14,8.11,,,,
341,11/08/2022 03:00:00,15.65,-70.42,8.12,,,,
342,11/08/2022 03:15:00,15.46,-70.41,8.12,,,,
343,11/08/2022 03:30:00,15.37,-70.02,8.11,,,,
344,11/08/2022 03:45:00,15.25,-69.58,8.10,,,,
345,11/08/2022 04:00:00,15.08,-69.24,8.10,,,,
346,11/08/2022 04:15:00,15.22,-69.42,8.10,,,,
347,11/08/2022 04:30:00,15.15,-69.56,8.10,,,,
348,11/08/2022 04:45:00,15.01,-69.42,8.10,,,,
349,11/08/2022 05:00:00,14.96,-69.24,8.10,,,,
350,11/08/2022 05:15:00,14.77,-68.77,8.09,,,,
351,11/08/2022 05:30:00,14.94,-68.53,8.08,,,,
352,11/08/2022 05:45:00,15.25,-71.28,8.13,,,,
353,11/08/2022 06:00:00,15.34,-71.56,8.14,,,,
354,11/08/2022 06:15:00,15.34,-71.66,8.14,,,,
355,11/08/2022 06:30:00,15.34,-71.96,8.15,,,,
356,11/08/2022 06:45:00,15.39,-72.10,8.15,,,,
357,11/08/2022 07:00:00,15.37,-72.17,8.15,,,,
358,11/08/2022 07:15:00,15.37,-72.28,8.15,,,,
359,11/08/2022 07:30:00,15.37,-72.41,8.15,,,,
360,11/08/2022 07:45:00,15.37,-72.78,8.16,,,,
361,11/08/2022 08:00:00,15.37,-73.05,8.17,,,,
362,11/08/2022 08:15:00,15.37,-73.06,8.17,,,,
363,11/08/2022 08:30:00,15.41,-73.27,8.17,,,,
364,11/08/2022 08:45:00,15.41,-73.61,8.18,,,,
365,11/08/2022 09:00:00,15.44,-73.78,8.18,,,,
366,11/08/2022 09:15:00,15.44,-74.03,8.18,,,,
367,11/08/2022 09:30:00,15.44,-74.06,8.18,,,,
368,11/08/2022 09:45:00,15.44,-74.33,8.19,,,,
369,11/08/2022 10:00:00,15.41,-74.44,8.19,,,,
370,11/08/2022 10:15:00,15.41,-74.72,8.20,,,,
371,11/08/2022 10:30:00,15.44,-75.30,8.21,,,,
372,11/08/2022 10:45:00,15.44,-75.85,8.22,,,,
373,11/08/2022 11:00:00,15.39,-76.06,8.22,,,,
374,11/08/2022 11:15:00,15.39,-75.86,8.22,,,,
375,11/08/2022 11:30:00,15.41,-76.03,8.22,,,,
376,11/08/2022 11:45:00,15.41,-76.02,8.22,,,,
377,11/08/2022 12:00:00,15.44,-76.10,8.22,,,,
378,11/08/2022 12:15:00,15.46,-75.72,8.21,,,,
379,11/08/2022 12:30:00,15.51,-75.77,8.21,,,,
380,11/08/2022 12:45:00,15.46,-75.47,8.21,,,,
381,11/08/2022 13:00:00,15.53,-76.60,8.23,,,,
382,11/08/2022 13:15:00,15.51,-76.88,8.24,,,,
383,11/08/2022 13:30:00,15.56,-77.25,8.24,,,,
384,11/08/2022 13:45:00,15.49,-77.24,8.24,,,,
385,11/08/2022 14:00:00,15.46,-77.14,8.24,,,,
386,11/08/2022 14:15:00,15.46,-77.02,8.24,,,,
387,11/08/2022 14:30:00,15.41,-77.06,8.24,,,,
388,11/08/2022 14:45:00,15.37,-76.52,8.23,,,,
389,11/08/2022 15:00:00,15.27,-76.19,8.22,,,,
390,11/08/2022 15:15:00,15.22,-76.08,8.22,,,,
391,11/08/2022 15:30:00,15.10,-75.08,8.20,,,,
392,11/08/2022 15:45:00,15.08,-74.49,8.19,,,,
393,11/08/2022 16:00:00,15.01,-74.46,8.19,,,,
394,11/08/2022 16:15:00,14.94,-74.13,8.19,,,,
395,11/08/2022 16:30:00,14.91,-73.77,8.18,,,,
396,11/08/2022 16:45:00,14.84,-73.46,8.18,,,,
397,11/08/2022 17:00:00,14.43,-73.02,8.17,,,,
398,11/08/2022 17:15:00,12.85,-72.50,8.17,,,,
399,11/08/2022 17:30:00,11.25,-72.91,8.18,,,,
400,11/08/2022 17:45:00,10.44,-73.03,8.19,,,,
401,11/08/2022 18:00:00,13.11,-73.35,8.18,,,,
402,11/08/2022 18:15:00,13.79,-72.85,8.17,,,,
403,11/08/2022 18:30:00,14.34,-73.06,8.17,,,,
404,11/08/2022 18:45:00,14.55,-74.69,8.20,,,,
405,11/08/2022 19:00:00,14.60,-75.02,8.20,,,,
406,11/08/2022 19:15:00,14.62,-75.14,8.21,,,,
407,11/08/2022 19:30:00,14.65,-75.39,8.21,,,,
408,11/08/2022 19:45:00,14.65,-75.53,8.21,,,,
409,11/08/2022 20:00:00,14.67,-75.56,8.21,,,,
410,11/08/2022 20:15:00,14.67,-75.36,8.21,,,,
411,11/08/2022 20:30:00,14.70,-75.44,8.21,,,,
412,11/08/2022 20:45:00,14.67,-75.42,8.21,,,,
413,11/08/2022 21:00:00,14.67,-75.41,8.21,,,,
414,11/08/2022 21:15:00,14.65,-75.35,8.21,,,,
415,11/08/2022 21:30:00,14.60,-75.14,8.21,,,,
416,11/08/2022 21:45:00,14.60,-74.94,8.20,,,,
417,11/08/2022 22:00:00,14.58,-74.66,8.20,,,,
418,11/08/2022 22:15:00,14.58,-74.55,8.20,,,,
419,11/08/2022 22:30:00,14.53,-74.28,8.19,,,,
420,11/08/2022 22:45:00,14.36,-73.55,8.18,,,,
421,11/08/2022 23:00:00,14.15,-73.85,8.19,,,,
422,11/08/2022 23:15:00,14.22,-74.30,8.19,,,,
423,11/08/2022 23:30:00,14.31,-74.17,8.19,,,,
424,11/08/2022 23:45:00,14.19,-74.25,8.19,,,,
425,11/09/2022 00:00:00,14.19,-74.74,8.20,,,,
426,11/09/2022 00:15:00,14.19,-74.85,8.20,,,,
427,11/09/2022 00:30:00,14.19,-74.83,8.20,,,,
428,11/09/2022 00:45:00,14.15,-74.46,8.20,,,,
429,11/09/2022 01:00:00,14.12,-74.44,8.20,,,,
430,11/09/2022 01:15:00,14.12,-74.33,8.19,,,,
431,11/09/2022 01:30:00,13.91,-73.36,8.18,,,,
432,11/09/2022 01:45:00,13.74,-73.06,8.17,,,,
433,11/09/2022 02:00:00,13.62,-73.31,8.18,,,,
434,11/09/2022 02:15:00,13.69,-73.69,8.18,,,,
435,11/09/2022 02:30:00,13.67,-73.74,8.19,,,,
436,11/09/2022 02:45:00,13.62,-73.49,8.18,,,,
437,11/09/2022 03:00:00,13.52,-72.86,8.17,,,,
438,11/09/2022 03:15:00,13.47,-72.86,8.17,,,,
