#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Button Up,Host Connected,End of File
143,08/05/2022 20:30:00,22.63,-70.60,8.06,,,,
144,08/05/2022 20:45:00,22.73,-70.69,8.07,,,,
145,08/05/2022 21:00:00,22.78,-70.36,8.06,,,,
146,08/05/2022 21:15:00,22.78,-70.22,8.06,,,,
147,08/05/2022 21:30:00,22.87,-69.81,8.05,,,,
148,08/05/2022 21:45:00,22.90,-69.55,8.05,,,,
149,08/05/2022 22:00:00,22.85,-68.49,8.03,,,,
150,08/05/2022 22:15:00,22.75,-66.78,8.00,,,,
151,08/05/2022 22:30:00,22.70,-65.30,7.97,,,,
152,08/05/2022 22:45:00,22.68,-62.28,7.92,,,,
153,08/05/2022 23:00:00,22.63,-55.83,7.80,,,,
154,08/05/2022 23:15:00,22.61,-56.25,7.81,,,,
155,08/05/2022 23:30:00,22.61,-55.77,7.80,,,,
156,08/05/2022 23:45:00,22.58,-54.89,7.78,,,,
157,08/06/2022 00:00:00,22.56,-53.88,7.77,,,,
158,08/06/2022 00:15:00,22.56,-52.58,7.74,,,,
159,08/06/2022 00:30:00,22.54,-51.08,7.72,,,,
160,08/06/2022 00:45:00,22.51,-47.78,7.66,,,,
161,08/06/2022 01:00:00,22.44,-41.94,7.55,,,,
162,08/06/2022 01:15:00,22.49,-43.91,7.59,,,,
163,08/06/2022 01:30:00,22.75,-44.38,7.60,,,,
164,08/06/2022 01:45:00,23.04,-47.33,7.65,,,,
165,08/06/2022 02:00:00,22.61,-60.58,7.89,,,,
166,08/06/2022 02:15:00,22.13,-64.69,7.96,,,,
167,08/06/2022 02:30:00,22.03,-64.00,7.95,,,,
168,08/06/2022 02:45:00,22.01,-63.50,7.94,,,,
169,08/06/2022 03:00:00,22.01,-63.69,7.94,,,,
170,08/06/2022 03:15:00,22.01,-63.10,7.93,,,,
171,08/06/2022 03:30:00,22.01,-62.94,7.93,,,,
172,08/06/2022 03:45:00,21.87,-64.41,7.96,,,,
173,08/06/2022 04:00:00,21.84,-64.25,7.95,,,,
174,08/06/2022 04:15:00,21.84,-63.94,7.95,,,,
175,08/06/2022 04:30:00,21.82,-65.83,7.98,,,,
176,08/06/2022 04:45:00,21.82,-66.02,7.99,,,,
177,08/06/2022 05:00:00,21.82,-65.66,7.98,,,,
178,08/06/2022 05:15:00,21.84,-65.56,7.98,,,,
179,08/06/2022 05:30:00,21.91,-66.06,7.99,,,,
180,08/06/2022 05:45:00,21.94,-65.67,7.98,,,,
181,08/06/2022 06:00:00,21.94,-65.14,7.97,,,,
182,08/06/2022 06:15:00,21.87,-65.02,7.97,,,,
183,08/06/2022 06:30:00,21.87,-65.36,7.97,,,,
184,08/06/2022 06:45:00,21.87,-65.21,7.97,,,,
185,08/06/2022 07:00:00,21.91,-66.17,7.99,,,,
186,08/06/2022 07:15:00,21.99,-67.30,8.01,,,,
187,08/06/2022 07:30:00,21.99,-67.22,8.01,,,,
188,08/06/2022 07:45:00,21.99,-66.52,7.99,,,,
189,08/06/2022 08:00:00,22.01,-66.21,7.99,,,,
190,08/06/2022 08:15:00,22.06,-65.92,7.98,,,,
191,08/06/2022 08:30:00,22.11,-66.14,7.99,,,,
192,08/06/2022 08:45:00,22.15,-66.24,7.99,,,,
193,08/06/2022 09:00:00,22.25,-66.27,7.99,,,,
194,08/06/2022 09:15:00,22.35,-67.10,8.00,,,,
195,08/06/2022 09:30:00,22.44,-67.22,8.01,,,,
196,08/06/2022 09:45:00,22.61,-66.56,7.99,,,,
197,08/06/2022 10:00:00,22.92,-66.77,8.00,,,,
198,08/06/2022 10:15:00,23.21,-67.24,8.00,,,,
199,08/06/2022 10:30:00,23.64,-67.69,8.01,,,,
200,08/06/2022 10:45:00,24.12,-69.08,8.03,,,,
201,08/06/2022 11:00:00,24.97,-71.88,8.08,,,,
202,08/06/2022 11:15:00,26.62,-80.55,8.23,,,,
203,08/06/2022 11:30:00,27.26,-80.83,8.23,,,,
204,08/06/2022 11:45:00,27.73,-81.85,8.24,,,,
205,08/06/2022 12:00:00,28.17,-81.88,8.24,,,,
206,08/06/2022 12:15:00,28.62,-81.91,8.24,,,,
207,08/06/2022 12:30:00,29.16,-81.78,8.24,,,,
208,08/06/2022 12:45:00,29.71,-82.24,8.24,,,,
209,08/06/2022 13:00:00,30.39,-81.60,8.23,,,,
210,08/06/2022 13:15:00,30.62,-80.58,8.21,,,,
211,08/06/2022 13:30:00,30.60,-77.39,8.16,,,,
212,08/06/2022 13:45:00,30.60,-75.61,8.12,,,,
213,08/06/2022 14:00:00,28.02,-72.52,8.08,,,,
214,08/06/2022 14:15:00,27.73,-70.97,8.05,,,,
215,08/06/2022 14:30:00,28.49,-74.71,8.12,,,,
216,08/06/2022 14:45:00,27.65,-71.67,8.07,,,,
217,08/06/2022 15:00:00,26.79,-70.47,8.05,,,,
218,08/06/2022 15:15:00,26.11,-69.89,8.04,,,,
219,08/06/2022 15:30:00,25.65,-69.75,8.04,,,,
220,08/06/2022 15:45:00,26.40,-69.67,8.04,,,,
221,08/06/2022 16:00:00,26.18,-69.89,8.04,,,,
222,08/06/2022 16:15:00,25.89,-70.63,8.05,,,,
223,08/06/2022 16:30:00,25.23,-69.83,8.04,,,,
224,08/06/2022 16:45:00,23.95,-67.92,8.01,,,,
225,08/06/2022 17:00:00,23.40,-69.11,8.04,,,,
226,08/06/2022 17:15:00,23.04,-69.50,8.04,,,,
227,08/06/2022 17:30:00,22.82,-69.31,8.04,,,,
228,08/06/2022 17:45:00,22.66,-69.19,8.04,,,,
229,08/06/2022 18:00:00,22.61,-68.92,8.04,,,,
230,08/06/2022 18:15:00,22.56,-68.85,8.03,,,,
231,08/06/2022 18:30:00,22.51,-69.11,8.04,,,,
232,08/06/2022 18:45:00,22.51,-69.24,8.04,,,,
233,08/06/2022 19:00:00,22.49,-69.24,8.04,,,,
234,08/06/2022 19:15:00,22.56,-69.24,8.04,,,,
235,08/06/2022 19:30:00,22.47,-69.25,8.04,,,,
236,08/06/2022 19:45:00,22.47,-68.92,8.04,,,,
237,08/06/2022 20:00:00,22.37,-68.99,8.04,,,,
238,08/06/2022 20:15:00,22.32,-68.72,8.03,,,,
239,08/06/2022 20:30:00,22.30,-68.56,8.03,,,,
240,08/06/2022 20:45:00,22.25,-68.39,8.03,,,,
241,08/06/2022 21:00:00,22.27,-68.11,8.02,,,,
242,08/06/2022 21:15:00,22.27,-68.10,8.02,,,,
243,08/06/2022 21:30:00,22.30,-67.19,8.01,,,,
244,08/06/2022 21:45:00,23.26,-69.00,8.03,,,,
245,08/06/2022 22:00:00,23.59,-69.31,8.04,,,,
246,08/06/2022 22:15:00,23.76,-68.67,8.03,,,,
247,08/06/2022 22:30:00,23.91,-68.42,8.02,,,,
248,08/06/2022 22:45:00,23.91,-67.88,8.01,,,,
249,08/06/2022 23:00:00,23.95,-66.28,7.98,,,,
250,08/06/2022 23:15:00,23.86,-64.61,7.95,,,,
251,08/06/2022 23:30:00,23.74,-62.25,7.91,,,,
252,08/06/2022 23:45:00,23.69,-58.19,7.84,,,,
253,08/07/2022 00:00:00,23.64,-53.66,7.76,,,,
254,08/07/2022 00:15:00,23.59,-53.06,7.75,,,,
255,08/07/2022 00:30:00,23.57,-53.47,7.76,,,,
256,08/07/2022 00:45:00,23.54,-53.02,7.75,,,,
257,08/07/2022 01:00:00,23.52,-52.39,7.74,,,,
258,08/07/2022 01:15:00,23.50,-50.81,7.71,,,,
259,08/07/2022 01:30:00,23.45,-49.95,7.69,,,,
260,08/07/2022 01:45:00,23.40,-48.64,7.67,,,,
261,08/07/2022 02:00:00,23.30,-44.30,7.59,,,,
262,08/07/2022 02:15:00,23.23,-42.85,7.57,,,,
263,08/07/2022 02:30:00,23.30,-46.02,7.62,,,,
264,08/07/2022 02:45:00,23.40,-45.14,7.61,,,,
265,08/07/2022 03:00:00,23.42,-56.17,7.81,,,,
266,08/07/2022 03:15:00,22.92,-60.91,7.89,,,,
267,08/07/2022 03:30:00,22.80,-60.06,7.88,,,,
268,08/07/2022 03:45:00,22.80,-58.63,7.85,,,,
269,08/07/2022 04:00:00,22.35,-61.91,7.91,,,,
270,08/07/2022 04:15:00,22.25,-62.02,7.91,,,,
271,08/07/2022 04:30:00,22.11,-63.25,7.94,,,,
272,08/07/2022 04:45:00,22.11,-62.49,7.92,,,,
273,08/07/2022 05:00:00,22.11,-62.71,7.93,,,,
274,08/07/2022 05:15:00,22.01,-64.64,7.96,,,,
275,08/07/2022 05:30:00,21.99,-64.85,7.96,,,,
276,08/07/2022 05:45:00,22.01,-64.31,7.95,,,,
277,08/07/2022 06:00:00,22.01,-64.75,7.96,,,,
278,08/07/2022 06:15:00,21.99,-65.02,7.97,,,,
279,08/07/2022 06:30:00,21.99,-64.85,7.96,,,,
280,08/07/2022 06:45:00,22.01,-64.91,7.97,,,,
281,08/07/2022 07:00:00,21.89,-65.42,7.97,,,,
282,08/07/2022 07:15:00,21.89,-65.33,7.97,,,,
283,08/07/2022 07:30:00,21.99,-65.21,7.97,,,,
284,08/07/2022 07:45:00,21.89,-66.11,7.99,,,,
285,08/07/2022 08:00:00,21.75,-66.55,8.00,,,,
286,08/07/2022 08:15:00,21.75,-66.75,8.00,,,,
287,08/07/2022 08:30:00,21.87,-66.24,7.99,,,,
288,08/07/2022 08:45:00,21.77,-66.99,8.00,,,,
289,08/07/2022 09:00:00,21.80,-67.16,8.01,,,,
290,08/07/2022 09:15:00,21.99,-66.72,8.00,,,,
291,08/07/2022 09:30:00,22.42,-63.30,7.94,,,,
292,08/07/2022 09:45:00,22.56,-62.97,7.93,,,,
293,08/07/2022 10:00:00,22.66,-63.56,7.94,,,,
294,08/07/2022 10:15:00,22.73,-64.46,7.95,,,,
295,08/07/2022 10:30:00,22.80,-64.27,7.95,,,,
296,08/07/2022 10:45:00,22.94,-64.86,7.96,,,,
297,08/07/2022 11:00:00,23.11,-65.41,7.97,,,,
298,08/07/2022 11:15:00,23.40,-65.94,7.98,,,,
299,08/07/2022 11:30:00,23.91,-66.94,8.00,,,,
300,08/07/2022 11:45:00,24.63,-69.99,8.05,,,,
301,08/07/2022 12:00:00,25.50,-73.55,8.11,,,,
302,08/07/2022 12:15:00,26.33,-76.69,8.16,,,,
303,08/07/2022 12:30:00,26.87,-79.44,8.21,,,,
304,08/07/2022 12:45:00,27.14,-78.86,8.19,,,,
305,08/07/2022 13:00:00,27.68,-79.50,8.20,,,,
306,08/07/2022 13:15:00,28.30,-79.28,8.20,,,,
307,08/07/2022 13:30:00,28.94,-80.24,8.21,,,,
308,08/07/2022 13:45:00,29.34,-80.66,8.22,,,,
309,08/07/2022 14:00:00,29.36,-81.69,8.24,,,,
310,08/07/2022 14:15:00,29.56,-81.49,8.23,,,,
311,08/07/2022 14:30:00,29.66,-78.92,8.19,,,,
312,08/07/2022 14:45:00,29.74,-78.64,8.18,,,,
313,08/07/2022 15:00:00,28.64,-75.28,8.13,,,,
314,08/07/2022 15:15:00,27.87,-72.94,8.09,,,,
315,08/07/2022 15:30:00,28.67,-77.94,8.17,,,,
316,08/07/2022 15:45:00,27.51,-71.71,8.07,,,,
317,08/07/2022 16:00:00,25.70,-68.14,8.01,,,,
318,08/07/2022 16:15:00,25.99,-68.42,8.01,,,,
319,08/07/2022 16:30:00,27.83,-74.71,8.12,,,,
320,08/07/2022 16:45:00,24.17,-67.99,8.01,,,,
321,08/07/2022 17:00:00,23.91,-68.00,8.01,,,,
322,08/07/2022 17:15:00,23.42,-68.72,8.03,,,,
323,08/07/2022 17:30:00,22.99,-69.13,8.04,,,,
324,08/07/2022 17:45:00,22.68,-68.96,8.04,,,,
325,08/07/2022 18:00:00,22.39,-68.52,8.03,,,,
326,08/07/2022 18:15:00,22.15,-68.21,8.02,,,,
327,08/07/2022 18:30:00,21.99,-68.14,8.02,,,,
328,08/07/2022 18:45:00,21.89,-68.10,8.02,,,,
329,08/07/2022 19:00:00,21.87,-67.97,8.02,,,,
330,08/07/2022 19:15:00,21.84,-67.88,8.02,,,,
331,08/07/2022 19:30:00,21.91,-67.94,8.02,,,,
332,08/07/2022 19:45:00,21.91,-67.75,8.02,,,,
333,08/07/2022 20:00:00,21.91,-67.88,8.02,,,,
334,08/07/2022 20:15:00,21.99,-67.77,8.02,,,,
335,08/07/2022 20:30:00,21.99,-67.71,8.02,,,,
336,08/07/2022 20:45:00,21.99,-67.69,8.02,,,,
337,08/07/2022 21:00:00,22.15,-67.75,8.02,,,,
338,08/07/2022 21:15:00,22.44,-67.94,8.02,,,,
339,08/07/2022 21:30:00,22.87,-68.67,8.03,,,,
340,08/07/2022 21:45:00,23.02,-68.69,8.03,,,,
341,08/07/2022 22:00:00,23.23,-68.78,8.03,,,,
342,08/07/2022 22:15:00,23.40,-68.67,8.03,,,,
343,08/07/2022 22:30:00,23.50,-68.31,8.02,,,,
344,08/07/2022 22:45:00,23.52,-68.47,8.02,,,,
345,08/07/2022 23:00:00,23.52,-68.08,8.02,,,,
346,08/07/2022 23:15:00,23.35,-67.69,8.01,,,,
347,08/07/2022 23:30:00,23.26,-66.97,8.00,,,,
348,08/07/2022 23:45:00,23.21,-65.83,7.98,,,,
349,08/08/2022 00:00:00,23.23,-63.50,7.94,,,,
350,08/08/2022 00:15:00,23.23,-61.16,7.89,,,,
351,08/08/2022 00:30:00,23.21,-57.86,7.84,,,,
352,08/08/2022 00:45:00,23.18,-53.44,7.76,,,,
353,08/08/2022 01:00:00,23.16,-51.69,7.73,,,,
354,08/08/2022 01:15:00,23.14,-52.86,7.75,,,,
355,08/08/2022 01:30:00,23.09,-51.47,7.72,,,,
356,08/08/2022 01:45:00,23.06,-51.97,7.73,,,,
357,08/08/2022 02:00:00,23.04,-51.22,7.72,,,,
358,08/08/2022 02:15:00,23.02,-50.91,7.71,,,,
359,08/08/2022 02:30:00,22.97,-49.30,7.68,,,,
360,08/08/2022 02:45:00,22.92,-48.25,7.66,,,,
361,08/08/2022 03:00:00,22.90,-46.10,7.63,,,,
362,08/08/2022 03:15:00,22.82,-41.31,7.54,,,,
363,08/08/2022 03:30:00,22.85,-41.60,7.55,,,,
364,08/08/2022 03:45:00,22.99,-42.33,7.56,,,,
365,08/08/2022 04:00:00,22.97,-41.92,7.55,,,,
366,08/08/2022 04:15:00,22.80,-53.53,7.76,,,,
367,08/08/2022 04:30:00,22.18,-59.85,7.87,,,,
368,08/08/2022 04:45:00,21.91,-61.31,7.90,,,,
369,08/08/2022 05:00:00,22.01,-59.36,7.87,,,,
370,08/08/2022 05:15:00,21.72,-62.27,7.92,,,,
371,08/08/2022 05:30:00,21.63,-62.91,7.93,,,,
372,08/08/2022 05:45:00,21.63,-62.47,7.92,,,,
373,08/08/2022 06:00:00,21.53,-62.97,7.93,,,,
374,08/08/2022 06:15:00,21.34,-64.22,7.96,,,,
375,08/08/2022 06:30:00,21.22,-64.55,7.96,,,,
376,08/08/2022 06:45:00,21.27,-64.31,7.96,,,,
377,08/08/2022 07:00:00,21.32,-64.19,7.95,,,,
378,08/08/2022 07:15:00,21.41,-63.60,7.94,,,,
379,08/08/2022 07:30:00,21.29,-64.36,7.96,,,,
380,08/08/2022 07:45:00,21.25,-65.06,7.97,,,,
381,08/08/2022 08:00:00,21.29,-64.91,7.97,,,,
382,08/08/2022 08:15:00,21.37,-64.69,7.96,,,,
383,08/08/2022 08:30:00,21.46,-64.94,7.97,,,,
384,08/08/2022 08:45:00,21.53,-65.36,7.98,,,,
385,08/08/2022 09:00:00,21.58,-65.27,7.97,,,,
386,08/08/2022 09:15:00,21.82,-65.16,7.97,,,,
387,08/08/2022 09:30:00,21.94,-66.44,7.99,,,,
388,08/08/2022 09:45:00,22.11,-65.11,7.97,,,,
389,08/08/2022 10:00:00,22.20,-64.99,7.97,,,,
390,08/08/2022 10:15:00,22.32,-64.97,7.97,,,,
391,08/08/2022 10:30:00,22.44,-64.99,7.97,,,,
392,08/08/2022 10:45:00,22.56,-64.71,7.96,,,,
393,08/08/2022 11:00:00,22.68,-64.49,7.96,,,,
394,08/08/2022 11:15:00,22.82,-64.66,7.96,,,,
395,08/08/2022 11:30:00,22.90,-65.72,7.98,,,,
396,08/08/2022 11:45:00,22.97,-66.28,7.99,,,,
397,08/08/2022 12:00:00,23.28,-66.47,7.99,,,,
398,08/08/2022 12:15:00,23.64,-66.92,8.00,,,,
399,08/08/2022 12:30:00,24.48,-67.72,8.01,,,,
400,08/08/2022 12:45:00,25.33,-69.78,8.04,,,,
401,08/08/2022 13:00:00,26.38,-74.08,8.11,,,,
402,08/08/2022 13:15:00,27.97,-81.00,8.23,,,,
403,08/08/2022 13:30:00,28.42,-80.85,8.22,,,,
404,08/08/2022 13:45:00,28.69,-79.99,8.21,,,,
405,08/08/2022 14:00:00,29.02,-80.21,8.21,,,,
406,08/08/2022 14:15:00,29.29,-80.58,8.22,,,,
407,08/08/2022 14:30:00,29.56,-81.53,8.23,,,,
408,08/08/2022 14:45:00,29.56,-82.36,8.25,,,,
409,08/08/2022 15:00:00,29.79,-83.64,8.27,,,,
410,08/08/2022 15:15:00,29.92,-83.10,8.26,,,,
411,08/08/2022 15:30:00,29.84,-81.42,8.23,,,,
412,08/08/2022 15:45:00,29.84,-80.81,8.22,,,,
413,08/08/2022 16:00:00,26.84,-71.14,8.06,,,,
414,08/08/2022 16:15:00,27.70,-73.39,8.10,,,,
415,08/08/2022 16:30:00,28.17,-73.55,8.10,,,,
416,08/08/2022 16:45:00,26.01,-68.69,8.02,,,,
417,08/08/2022 17:00:00,24.92,-67.35,8.00,,,,
418,08/08/2022 17:15:00,26.67,-70.78,8.05,,,,
419,08/08/2022 17:30:00,24.73,-67.47,8.00,,,,
420,08/08/2022 17:45:00,24.65,-67.56,8.00,,,,
421,08/08/2022 18:00:00,23.23,-66.94,8.00,,,,
422,08/08/2022 18:15:00,22.58,-68.14,8.02,,,,
423,08/08/2022 18:30:00,22.32,-68.08,8.02,,,,
424,08/08/2022 18:45:00,21.72,-67.72,8.02,,,,
425,08/08/2022 19:00:00,21.15,-67.19,8.01,,,,
426,08/08/2022 19:15:00,20.84,-67.06,8.01,,,,
427,08/08/2022 19:30:00,20.48,-66.69,8.00,,,,
428,08/08/2022 19:45:00,20.13,-66.69,8.00,,,,
429,08/08/2022 20:00:00,19.94,-66.77,8.01,,,,
430,08/08/2022 20:15:00,19.89,-66.83,8.01,,,,
431,08/08/2022 20:30:00,19.89,-66.81,8.01,,,,
432,08/08/2022 20:45:00,19.89,-66.83,8.01,,,,
