"","df.1$Date","df.1$Sample.ID","df.1$Site","df.1$Stratum","df.1$Shell.treatment","flag","S","T","Patm","P","pH","CO2","fCO2","pCO2","fCO2pot","pCO2pot","fCO2insitu","pCO2insitu","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite"
"11","7/15/22",117,"Eel Pond","2cm","No Shell",15,31.42,25.5,1,0,7.29072888192482,0.000109267344825284,3825.60195308993,3837.82232893631,3825.60195308993,3837.82232893631,3825.60195308993,3837.82250020513,0.0023298199571982,3.61426979765144e-05,0.00247523,0.00241740958428945,0.58712714587064,0.896562240363512
"12","7/15/22",118,"Eel Pond","2cm","Shell",15,31.42,25.5,1,0,7.22907845535772,0.00016860026336649,5902.93008270362,5921.83108294052,5902.93008270362,5921.83108294052,5902.93008270362,5921.83149082918,0.00311917537306237,4.19843635711355e-05,0.00332976,0.00321657588134336,0.682023228336019,1.04147164354009
"13","7/15/22",119,"Eel Pond","Bottom water","No Shell",15,31.42,25.5,1,0,7.89117974343542,2.00492916325251e-05,701.953628964813,704.187880976216,701.953628964813,704.187880976216,701.953628964813,704.187886739783,0.00170365583764669,0.000105324870720784,0.00182903,0.00196756751000592,1.7109705195686,2.61270761028366
"14","7/15/22",120,"Eel Pond","Bottom water","Shell",15,31.42,25.5,1,0,7.892954683813,1.98896997884317e-05,696.366096189699,698.582549313587,696.366096189699,698.582549313587,696.366096189699,698.58255498576,0.00169701625034107,0.000105344049870498,0.00182225,0.00196115473527573,1.71128207902771,2.61318337170711
"15","7/15/22",121,"Eel Pond","2cm",NA,15,31.42,24.2,1,0,7.18872957865213,0.000155736834445369,5274.94964022317,5292.09726493112,5274.94964022317,5292.09726493112,5274.94964022317,5292.09759955586,0.00258492111785188,3.0522047702755e-05,0.00277118,0.00265796971905635,0.492529160624799,0.754987488292896
"16","7/15/22",122,"Eel Pond","5cm",NA,15,31.42,24.2,1,0,7.2800604432603,9.62038705556212e-05,3258.51346717507,3269.08179835921,3258.51346717507,3269.08179835921,3258.51346717507,3269.08192601466,0.00197051325985519,2.87128695891902e-05,0.00209543,0.00204250118209338,0.46333475707846,0.710236007227898
"17","7/15/22",123,"Eel Pond","10cm",NA,15,31.42,24.2,1,0,7.18608263495675,0.000151303249188609,5124.78003495068,5141.43664620019,5124.78003495068,5141.43664620019,5124.78003495068,5141.43696203723,0.00249607288478622,2.92938660251672e-05,0.00267667,0.00256659812912874,0.472710199045021,0.724607423070547
"18","7/15/22",124,"Eel Pond","15cm",NA,15,31.42,24.2,1,0,7.20250323896954,0.000152591349797136,5168.4091857917,5185.2084352559,5168.4091857917,5185.2084352559,5168.4091857917,5185.2087564954,0.00261432470406397,3.1863946138893e-05,0.00279878,0.0026904118473829,0.514183150449837,0.788180429333761
"19","7/15/22",125,"Eel Pond","20cm",NA,15,31.42,24.2,1,0,7.27772619465978,0.000111089758551657,3762.7121675579,3774.92279639803,3762.7121675579,3774.92279639803,3762.7121675579,3774.92296662688,0.00226321905303816,3.28011884101809e-05,0.00240711,0.00234331189638122,0.529307271664609,0.811363873485763
"20","7/15/22",126,"Eel Pond","Bottom water",NA,15,31.42,25.5,1,0,7.87726487083441,2.0691629341902e-05,724.442766954435,726.748659637014,724.442766954435,726.748659637014,724.442766954435,726.748665775825,0.00170279611317891,0.000101952257479188,0.00182544,0.00195850532707939,1.65618344230198,2.52904596206555
