#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Button Up,Host Connected,Start pH Calibration,pH Calibration Values,pH Calibration Buffers,End pH Calibration,End of File
53,05/18/2022 19:00:00,28.54,-0.55,6.75,,,,,,,,
54,05/18/2022 19:15:00,28.22,-0.58,6.75,,,,,,,,
55,05/18/2022 19:30:00,27.73,-0.58,6.75,,,,,,,,
56,05/18/2022 19:45:00,27.16,-0.59,6.75,,,,,,,,
57,05/18/2022 20:00:00,26.57,-0.61,6.75,,,,,,,,
58,05/18/2022 20:15:00,25.91,-0.63,6.75,,,,,,,,
59,05/18/2022 20:30:00,25.16,-0.64,6.75,,,,,,,,
60,05/18/2022 20:45:00,24.39,-0.66,6.75,,,,,,,,
61,05/18/2022 21:00:00,23.66,-0.73,6.75,,,,,,,,
62,05/18/2022 21:15:00,23.02,-0.80,6.75,,,,,,,,
63,05/18/2022 21:30:00,22.49,-0.89,6.75,,,,,,,,
64,05/18/2022 21:45:00,22.01,-0.92,6.75,,,,,,,,
65,05/18/2022 22:00:00,21.65,-1.06,6.75,,,,,,,,
66,05/18/2022 22:15:00,21.32,-1.14,6.75,,,,,,,,
67,05/18/2022 22:30:00,21.01,-1.20,6.75,,,,,,,,
68,05/18/2022 22:45:00,20.72,-1.28,6.76,,,,,,,,
69,05/18/2022 23:00:00,20.46,-1.34,6.76,,,,,,,,
70,05/18/2022 23:15:00,20.20,-1.39,6.76,,,,,,,,
71,05/18/2022 23:30:00,19.96,-1.47,6.76,,,,,,,,
72,05/18/2022 23:45:00,19.72,-1.53,6.76,,,,,,,,
73,05/19/2022 00:00:00,19.51,-1.58,6.76,,,,,,,,
74,05/19/2022 00:15:00,19.27,-1.63,6.76,,,,,,,,
75,05/19/2022 00:30:00,19.06,-1.69,6.76,,,,,,,,
76,05/19/2022 00:45:00,18.84,-1.73,6.76,,,,,,,,
77,05/19/2022 01:00:00,18.63,-1.80,6.76,,,,,,,,
78,05/19/2022 01:15:00,18.41,-1.84,6.76,,,,,,,,
79,05/19/2022 01:30:00,18.22,-1.88,6.76,,,,,,,,
80,05/19/2022 01:45:00,18.03,-1.92,6.76,,,,,,,,
81,05/19/2022 02:00:00,17.84,-1.95,6.77,,,,,,,,
82,05/19/2022 02:15:00,17.65,-2.00,6.77,,,,,,,,
83,05/19/2022 02:30:00,17.49,-2.03,6.77,,,,,,,,
84,05/19/2022 02:45:00,17.32,-2.06,6.77,,,,,,,,
85,05/19/2022 03:00:00,17.15,-2.09,6.77,,,,,,,,
86,05/19/2022 03:15:00,16.99,-2.13,6.77,,,,,,,,
87,05/19/2022 03:30:00,16.84,-2.17,6.77,,,,,,,,
88,05/19/2022 03:45:00,16.70,-2.19,6.77,,,,,,,,
89,05/19/2022 04:00:00,16.56,-2.23,6.77,,,,,,,,
90,05/19/2022 04:15:00,16.44,-2.27,6.77,,,,,,,,
91,05/19/2022 04:30:00,16.30,-2.30,6.77,,,,,,,,
92,05/19/2022 04:45:00,16.18,-2.33,6.77,,,,,,,,
93,05/19/2022 05:00:00,16.08,-2.36,6.77,,,,,,,,
94,05/19/2022 05:15:00,15.96,-2.39,6.77,,,,,,,,
95,05/19/2022 05:30:00,15.87,-2.42,6.77,,,,,,,,
96,05/19/2022 05:45:00,15.75,-2.44,6.77,,,,,,,,
97,05/19/2022 06:00:00,15.68,-2.48,6.77,,,,,,,,
98,05/19/2022 06:15:00,15.60,-2.50,6.77,,,,,,,,
99,05/19/2022 06:30:00,15.53,-2.53,6.77,,,,,,,,
100,05/19/2022 06:45:00,15.51,-2.56,6.77,,,,,,,,
101,05/19/2022 07:00:00,15.49,-2.59,6.77,,,,,,,,
102,05/19/2022 07:15:00,15.49,-2.64,6.78,,,,,,,,
103,05/19/2022 07:30:00,15.51,-2.67,6.78,,,,,,,,
104,05/19/2022 07:45:00,15.53,-2.69,6.78,,,,,,,,
105,05/19/2022 08:00:00,15.58,-2.72,6.78,,,,,,,,
106,05/19/2022 08:15:00,15.63,-2.75,6.78,,,,,,,,
107,05/19/2022 08:30:00,15.68,-2.78,6.78,,,,,,,,
108,05/19/2022 08:45:00,15.75,-2.80,6.78,,,,,,,,
109,05/19/2022 09:00:00,15.82,-2.81,6.78,,,,,,,,
110,05/19/2022 09:15:00,15.89,-2.84,6.78,,,,,,,,
111,05/19/2022 09:30:00,15.96,-2.86,6.78,,,,,,,,
112,05/19/2022 09:45:00,16.03,-2.88,6.78,,,,,,,,
113,05/19/2022 10:00:00,16.08,-2.89,6.78,,,,,,,,
114,05/19/2022 10:15:00,16.13,-2.91,6.78,,,,,,,,
115,05/19/2022 10:30:00,16.18,-2.91,6.78,,,,,,,,
116,05/19/2022 10:45:00,16.30,-2.92,6.78,,,,,,,,
117,05/19/2022 11:00:00,16.39,-2.94,6.78,,,,,,,,
118,05/19/2022 11:15:00,16.53,-2.94,6.78,,,,,,,,
119,05/19/2022 11:30:00,16.65,-2.95,6.78,,,,,,,,
120,05/19/2022 11:45:00,16.75,-2.95,6.78,,,,,,,,
121,05/19/2022 12:00:00,16.84,-2.97,6.78,,,,,,,,
122,05/19/2022 12:15:00,16.89,-2.95,6.78,,,,,,,,
123,05/19/2022 12:30:00,16.92,-2.97,6.78,,,,,,,,
124,05/19/2022 12:45:00,16.96,-2.97,6.78,,,,,,,,
125,05/19/2022 13:00:00,16.99,-2.97,6.78,,,,,,,,
126,05/19/2022 13:15:00,17.01,-2.97,6.78,,,,,,,,
127,05/19/2022 13:30:00,17.01,-2.98,6.78,,,,,,,,
128,05/19/2022 13:45:00,16.99,-2.97,6.78,,,,,,,,
129,05/19/2022 14:00:00,16.94,-2.97,6.78,,,,,,,,
130,05/19/2022 14:15:00,16.87,-2.98,6.78,,,,,,,,
131,05/19/2022 14:30:00,16.82,-2.97,6.78,,,,,,,,
132,05/19/2022 14:45:00,16.82,-2.97,6.78,,,,,,,,
133,05/19/2022 15:00:00,16.75,-2.98,6.78,,,,,,,,
134,05/19/2022 15:15:00,16.70,-2.97,6.78,,,,,,,,
135,05/19/2022 15:30:00,16.68,-3.00,6.78,,,,,,,,
136,05/19/2022 15:45:00,16.68,-2.98,6.78,,,,,,,,
137,05/19/2022 16:00:00,16.72,-3.02,6.78,,,,,,,,
138,05/19/2022 16:15:00,16.82,-3.03,6.78,,,,,,,,
139,05/19/2022 16:30:00,16.89,-3.08,6.78,,,,,,,,
140,05/19/2022 16:45:00,16.96,-3.03,6.78,,,,,,,,
141,05/19/2022 17:00:00,17.06,-3.08,6.78,,,,,,,,
142,05/19/2022 17:15:00,17.39,-3.06,6.78,,,,,,,,
143,05/19/2022 17:30:00,17.75,-3.03,6.78,,,,,,,,
144,05/19/2022 17:45:00,18.01,-2.98,6.78,,,,,,,,
145,05/19/2022 18:00:00,18.27,-2.92,6.78,,,,,,,,
146,05/19/2022 18:15:00,18.44,-2.89,6.78,,,,,,,,
147,05/19/2022 18:30:00,18.56,-2.86,6.78,,,,,,,,
148,05/19/2022 18:45:00,18.60,-2.86,6.78,,,,,,,,
149,05/19/2022 19:00:00,18.63,-2.84,6.78,,,,,,,,
150,05/19/2022 19:15:00,18.63,-2.86,6.78,,,,,,,,
151,05/19/2022 19:30:00,18.63,-2.86,6.78,,,,,,,,
152,05/19/2022 19:45:00,18.65,-2.84,6.78,,,,,,,,
153,05/19/2022 20:00:00,18.70,-2.86,6.78,,,,,,,,
154,05/19/2022 20:15:00,18.75,-2.84,6.78,,,,,,,,
155,05/19/2022 20:30:00,18.79,-2.83,6.78,,,,,,,,
156,05/19/2022 20:45:00,14.74,-33.88,7.34,,,,,,,,
157,05/19/2022 21:00:00,12.99,-73.71,8.06,,,,,,,,
158,05/19/2022 21:15:00,12.92,-74.02,8.07,,,,,,,,
159,05/19/2022 21:30:00,12.90,-73.74,8.06,,,,,,,,
160,05/19/2022 21:45:00,13.09,-73.06,8.05,,,,,,,,
161,05/19/2022 22:00:00,13.21,-72.80,8.05,,,,,,,,
162,05/19/2022 22:15:00,13.16,-72.81,8.05,,,,,,,,
163,05/19/2022 22:30:00,13.06,-73.08,8.05,,,,,,,,
164,05/19/2022 22:45:00,13.04,-73.11,8.05,,,,,,,,
165,05/19/2022 23:00:00,13.28,-72.81,8.05,,,,,,,,
166,05/19/2022 23:15:00,13.59,-72.42,8.04,,,,,,,,
167,05/19/2022 23:30:00,13.86,-72.21,8.03,,,,,,,,
168,05/19/2022 23:45:00,14.03,-71.91,8.03,,,,,,,,
169,05/20/2022 00:00:00,14.07,-71.74,8.02,,,,,,,,
170,05/20/2022 00:15:00,14.17,-71.53,8.02,,,,,,,,
171,05/20/2022 00:30:00,14.29,-71.33,8.01,,,,,,,,
172,05/20/2022 00:45:00,14.34,-71.10,8.01,,,,,,,,
173,05/20/2022 01:00:00,14.34,-70.91,8.01,,,,,,,,
174,05/20/2022 01:15:00,14.31,-70.75,8.00,,,,,,,,
175,05/20/2022 01:30:00,14.39,-70.85,8.01,,,,,,,,
176,05/20/2022 01:45:00,14.48,-70.53,8.00,,,,,,,,
177,05/20/2022 02:00:00,14.58,-70.38,8.00,,,,,,,,
178,05/20/2022 02:15:00,14.58,-70.14,7.99,,,,,,,,
179,05/20/2022 02:30:00,14.55,-69.69,7.98,,,,,,,,
180,05/20/2022 02:45:00,14.58,-69.56,7.98,,,,,,,,
181,05/20/2022 03:00:00,14.53,-69.55,7.98,,,,,,,,
182,05/20/2022 03:15:00,14.34,-69.78,7.99,,,,,,,,
183,05/20/2022 03:30:00,14.17,-69.80,7.99,,,,,,,,
184,05/20/2022 03:45:00,14.07,-69.44,7.98,,,,,,,,
185,05/20/2022 04:00:00,13.88,-69.17,7.98,,,,,,,,
186,05/20/2022 04:15:00,13.88,-68.96,7.97,,,,,,,,
187,05/20/2022 04:30:00,13.86,-68.69,7.97,,,,,,,,
188,05/20/2022 04:45:00,13.83,-68.55,7.97,,,,,,,,
189,05/20/2022 05:00:00,13.83,-68.75,7.97,,,,,,,,
190,05/20/2022 05:15:00,13.86,-68.96,7.97,,,,,,,,
191,05/20/2022 05:30:00,13.57,-69.30,7.98,,,,,,,,
192,05/20/2022 05:45:00,13.38,-69.86,7.99,,,,,,,,
193,05/20/2022 06:00:00,13.26,-70.06,8.00,,,,,,,,
194,05/20/2022 06:15:00,13.18,-70.38,8.00,,,,,,,,
195,05/20/2022 06:30:00,13.04,-70.52,8.00,,,,,,,,
196,05/20/2022 06:45:00,13.14,-70.02,8.00,,,,,,,,
197,05/20/2022 07:00:00,12.97,-70.96,8.01,,,,,,,,
198,05/20/2022 07:15:00,13.02,-70.74,8.01,,,,,,,,
199,05/20/2022 07:30:00,13.14,-70.53,8.00,,,,,,,,
200,05/20/2022 07:45:00,12.97,-70.71,8.01,,,,,,,,
201,05/20/2022 08:00:00,12.82,-70.97,8.01,,,,,,,,
202,05/20/2022 08:15:00,13.35,-69.71,7.99,,,,,,,,
203,05/20/2022 08:30:00,13.40,-70.50,8.00,,,,,,,,
204,05/20/2022 08:45:00,13.55,-70.63,8.00,,,,,,,,
205,05/20/2022 09:00:00,13.47,-71.11,8.01,,,,,,,,
206,05/20/2022 09:15:00,13.26,-71.89,8.03,,,,,,,,
207,05/20/2022 09:30:00,13.11,-72.61,8.04,,,,,,,,
208,05/20/2022 09:45:00,13.04,-73.08,8.05,,,,,,,,
209,05/20/2022 10:00:00,12.73,-73.67,8.06,,,,,,,,
210,05/20/2022 10:15:00,12.65,-73.99,8.07,,,,,,,,
211,05/20/2022 10:30:00,12.51,-74.44,8.08,,,,,,,,
212,05/20/2022 10:45:00,12.44,-74.85,8.09,,,,,,,,
213,05/20/2022 11:00:00,12.63,-74.80,8.08,,,,,,,,
214,05/20/2022 11:15:00,13.26,-74.66,8.08,,,,,,,,
215,05/20/2022 11:30:00,14.03,-73.97,8.06,,,,,,,,
216,05/20/2022 11:45:00,14.51,-73.67,8.06,,,,,,,,
217,05/20/2022 12:00:00,14.70,-73.39,8.05,,,,,,,,
218,05/20/2022 12:15:00,14.94,-73.41,8.05,,,,,,,,
219,05/20/2022 12:30:00,15.06,-73.33,8.05,,,,,,,,
220,05/20/2022 12:45:00,15.17,-73.31,8.05,,,,,,,,
221,05/20/2022 13:00:00,15.20,-73.49,8.05,,,,,,,,
222,05/20/2022 13:15:00,15.22,-73.52,8.05,,,,,,,,
223,05/20/2022 13:30:00,15.15,-73.33,8.05,,,,,,,,
224,05/20/2022 13:45:00,15.13,-73.33,8.05,,,,,,,,
225,05/20/2022 14:00:00,15.08,-73.46,8.05,,,,,,,,
226,05/20/2022 14:15:00,15.03,-73.49,8.05,,,,,,,,
227,05/20/2022 14:30:00,15.06,-72.77,8.04,,,,,,,,
228,05/20/2022 14:45:00,15.15,-71.96,8.02,,,,,,,,
229,05/20/2022 15:00:00,15.20,-71.64,8.02,,,,,,,,
230,05/20/2022 15:15:00,15.20,-71.58,8.02,,,,,,,,
231,05/20/2022 15:30:00,15.25,-71.25,8.01,,,,,,,,
232,05/20/2022 15:45:00,18.53,-63.02,7.85,,,,,,,,
233,05/20/2022 16:00:00,16.01,-72.77,8.03,,,,,,,,
234,05/20/2022 16:15:00,15.99,-73.06,8.04,,,,,,,,
235,05/20/2022 16:30:00,16.01,-73.21,8.04,,,,,,,,
236,05/20/2022 16:45:00,16.06,-73.25,8.04,,,,,,,,
237,05/20/2022 17:00:00,16.11,-73.39,8.05,,,,,,,,
238,05/20/2022 17:15:00,16.15,-73.53,8.05,,,,,,,,
239,05/20/2022 17:30:00,16.20,-73.58,8.05,,,,,,,,
240,05/20/2022 17:45:00,16.22,-73.61,8.05,,,,,,,,
241,05/20/2022 18:00:00,16.22,-73.60,8.05,,,,,,,,
242,05/20/2022 18:15:00,16.20,-73.56,8.05,,,,,,,,
243,05/20/2022 18:30:00,16.15,-73.50,8.05,,,,,,,,
244,05/20/2022 18:45:00,16.06,-73.47,8.05,,,,,,,,
245,05/20/2022 19:00:00,15.87,-73.35,8.05,,,,,,,,
246,05/20/2022 19:15:00,15.80,-73.49,8.05,,,,,,,,
247,05/20/2022 19:30:00,15.70,-73.60,8.05,,,,,,,,
248,05/20/2022 19:45:00,15.58,-73.63,8.05,,,,,,,,
249,05/20/2022 20:00:00,15.44,-73.74,8.05,,,,,,,,
250,05/20/2022 20:15:00,15.29,-73.89,8.06,,,,,,,,
251,05/20/2022 20:30:00,15.17,-74.00,8.06,,,,,,,,
252,05/20/2022 20:45:00,15.01,-74.13,8.06,,,,,,,,
253,05/20/2022 21:00:00,14.98,-74.14,8.06,,,,,,,,
254,05/20/2022 21:15:00,14.96,-74.17,8.06,,,,,,,,
255,05/20/2022 21:30:00,14.89,-74.08,8.06,,,,,,,,
256,05/20/2022 21:45:00,14.86,-74.06,8.06,,,,,,,,
257,05/20/2022 22:00:00,14.65,-73.97,8.06,,,,,,,,
258,05/20/2022 22:15:00,14.60,-73.86,8.06,,,,,,,,
259,05/20/2022 22:30:00,14.70,-73.49,8.05,,,,,,,,
260,05/20/2022 22:45:00,14.67,-72.91,8.04,,,,,,,,
261,05/20/2022 23:00:00,14.67,-72.36,8.03,,,,,,,,
262,05/20/2022 23:15:00,14.65,-71.97,8.03,,,,,,,,
263,05/20/2022 23:30:00,14.62,-71.58,8.02,,,,,,,,
264,05/20/2022 23:45:00,14.62,-71.38,8.01,,,,,,,,
265,05/21/2022 00:00:00,14.62,-71.22,8.01,,,,,,,,
266,05/21/2022 00:15:00,14.65,-71.05,8.01,,,,,,,,
267,05/21/2022 00:30:00,14.70,-70.85,8.00,,,,,,,,
268,05/21/2022 00:45:00,14.74,-70.69,8.00,,,,,,,,
269,05/21/2022 01:00:00,14.84,-70.50,8.00,,,,,,,,
270,05/21/2022 01:15:00,14.94,-70.28,7.99,,,,,,,,
271,05/21/2022 01:30:00,15.01,-70.06,7.99,,,,,,,,
272,05/21/2022 01:45:00,15.10,-69.85,7.99,,,,,,,,
273,05/21/2022 02:00:00,15.17,-69.67,7.98,,,,,,,,
274,05/21/2022 02:15:00,15.25,-69.50,7.98,,,,,,,,
275,05/21/2022 02:30:00,15.29,-69.33,7.98,,,,,,,,
276,05/21/2022 02:45:00,15.34,-69.22,7.97,,,,,,,,
277,05/21/2022 03:00:00,15.39,-69.11,7.97,,,,,,,,
278,05/21/2022 03:15:00,15.44,-69.03,7.97,,,,,,,,
279,05/21/2022 03:30:00,15.49,-68.85,7.97,,,,,,,,
280,05/21/2022 03:45:00,15.53,-68.74,7.96,,,,,,,,
281,05/21/2022 04:00:00,15.56,-68.66,7.96,,,,,,,,
282,05/21/2022 04:15:00,15.58,-68.64,7.96,,,,,,,,
283,05/21/2022 04:30:00,15.56,-68.71,7.96,,,,,,,,
284,05/21/2022 04:45:00,15.51,-68.69,7.96,,,,,,,,
285,05/21/2022 05:00:00,15.49,-68.61,7.96,,,,,,,,
286,05/21/2022 05:15:00,15.44,-68.55,7.96,,,,,,,,
287,05/21/2022 05:30:00,15.41,-68.49,7.96,,,,,,,,
288,05/21/2022 05:45:00,15.41,-68.44,7.96,,,,,,,,
289,05/21/2022 06:00:00,15.39,-68.33,7.96,,,,,,,,
290,05/21/2022 06:15:00,15.39,-68.25,7.96,,,,,,,,
291,05/21/2022 06:30:00,15.41,-68.17,7.95,,,,,,,,
292,05/21/2022 06:45:00,15.37,-68.14,7.95,,,,,,,,
293,05/21/2022 07:00:00,15.37,-68.17,7.95,,,,,,,,
294,05/21/2022 07:15:00,15.32,-68.28,7.96,,,,,,,,
295,05/21/2022 07:30:00,15.29,-68.30,7.96,,,,,,,,
296,05/21/2022 07:45:00,15.22,-68.35,7.96,,,,,,,,
297,05/21/2022 08:00:00,15.17,-68.44,7.96,,,,,,,,
298,05/21/2022 08:15:00,15.08,-68.53,7.96,,,,,,,,
299,05/21/2022 08:30:00,15.03,-68.63,7.96,,,,,,,,
300,05/21/2022 08:45:00,15.01,-68.69,7.96,,,,,,,,
301,05/21/2022 09:00:00,14.94,-68.86,7.97,,,,,,,,
302,05/21/2022 09:15:00,14.94,-68.92,7.97,,,,,,,,
303,05/21/2022 09:30:00,14.94,-69.02,7.97,,,,,,,,
304,05/21/2022 09:45:00,15.01,-69.08,7.97,,,,,,,,
305,05/21/2022 10:00:00,15.03,-69.24,7.97,,,,,,,,
306,05/21/2022 10:15:00,15.06,-69.42,7.98,,,,,,,,
307,05/21/2022 10:30:00,15.10,-69.63,7.98,,,,,,,,
308,05/21/2022 10:45:00,15.13,-69.78,7.98,,,,,,,,
309,05/21/2022 11:00:00,15.10,-69.92,7.99,,,,,,,,
310,05/21/2022 11:15:00,15.06,-70.21,7.99,,,,,,,,
311,05/21/2022 11:30:00,15.08,-70.46,8.00,,,,,,,,
312,05/21/2022 11:45:00,15.06,-70.67,8.00,,,,,,,,
313,05/21/2022 12:00:00,15.13,-70.85,8.00,,,,,,,,
314,05/21/2022 12:15:00,15.22,-70.86,8.00,,,,,,,,
315,05/21/2022 12:30:00,15.27,-71.00,8.01,,,,,,,,
316,05/21/2022 12:45:00,15.37,-71.03,8.01,,,,,,,,
317,05/21/2022 13:00:00,15.49,-71.05,8.01,,,,,,,,
318,05/21/2022 13:15:00,15.60,-70.99,8.00,,,,,,,,
319,05/21/2022 13:30:00,15.75,-70.94,8.00,,,,,,,,
320,05/21/2022 13:45:00,15.87,-70.86,8.00,,,,,,,,
321,05/21/2022 14:00:00,15.99,-70.86,8.00,,,,,,,,
322,05/21/2022 14:15:00,16.08,-70.81,8.00,,,,,,,,
323,05/21/2022 14:30:00,16.15,-70.77,8.00,,,,,,,,
324,05/21/2022 14:45:00,16.22,-70.61,8.00,,,,,,,,
325,05/21/2022 15:00:00,16.25,-70.52,7.99,,,,,,,,
326,05/21/2022 15:15:00,16.27,-70.46,7.99,,,,,,,,
327,05/21/2022 15:30:00,16.39,-70.28,7.99,,,,,,,,
328,05/21/2022 15:45:00,16.51,-70.05,7.98,,,,,,,,
329,05/21/2022 15:54:19,,,,Logged,,,,,,,
330,05/21/2022 15:54:20,,,,,Logged,,,,,,
331,05/21/2022 15:54:22,,,,,,Logged,,,,,
332,05/21/2022 16:00:00,17.32,-69.77,7.98,,,,,,,,
333,05/21/2022 16:15:00,18.39,-69.05,7.96,,,,,,,,
334,05/21/2022 16:30:00,19.22,-68.67,7.95,,,,,,,,
335,05/21/2022 16:45:00,20.08,-71.03,7.99,,,,,,,,
336,05/21/2022 17:00:00,25.16,-65.81,7.88,,,,,,,,
337,05/21/2022 17:15:00,17.75,-67.89,7.94,,,,,,,,
338,05/21/2022 17:30:00,17.32,-68.19,7.95,,,,,,,,
339,05/21/2022 17:45:00,17.18,-67.97,7.94,,,,,,,,
340,05/21/2022 18:00:00,17.11,-67.94,7.94,,,,,,,,
341,05/21/2022 18:15:00,17.03,-68.08,7.95,,,,,,,,
342,05/21/2022 18:30:00,17.01,-68.11,7.95,,,,,,,,
343,05/21/2022 18:45:00,16.99,-68.11,7.95,,,,,,,,
344,05/21/2022 19:00:00,16.99,-68.49,7.95,,,,,,,,
345,05/21/2022 19:15:00,16.99,-68.71,7.96,,,,,,,,
346,05/21/2022 19:30:00,16.96,-69.08,7.97,,,,,,,,
347,05/21/2022 19:45:00,16.89,-69.03,7.96,,,,,,,,
348,05/21/2022 20:00:00,16.80,-69.02,7.96,,,,,,,,
349,05/21/2022 20:15:00,16.68,-69.05,7.97,,,,,,,,
350,05/21/2022 20:30:00,16.51,-68.92,7.96,,,,,,,,
351,05/21/2022 20:45:00,16.37,-69.06,7.97,,,,,,,,
352,05/21/2022 21:00:00,16.22,-69.05,7.97,,,,,,,,
353,05/21/2022 21:15:00,16.06,-69.14,7.97,,,,,,,,
354,05/21/2022 21:30:00,15.89,-69.27,7.97,,,,,,,,
355,05/21/2022 21:45:00,15.72,-69.35,7.97,,,,,,,,
356,05/21/2022 22:00:00,15.56,-69.44,7.98,,,,,,,,
357,05/21/2022 22:15:00,15.46,-69.33,7.97,,,,,,,,
358,05/21/2022 22:30:00,15.41,-69.38,7.98,,,,,,,,
359,05/21/2022 22:45:00,15.39,-69.60,7.98,,,,,,,,
360,05/21/2022 23:00:00,15.37,-69.55,7.98,,,,,,,,
361,05/21/2022 23:15:00,15.37,-69.69,7.98,,,,,,,,
362,05/21/2022 23:30:00,15.34,-69.74,7.98,,,,,,,,
363,05/21/2022 23:45:00,15.32,-69.74,7.98,,,,,,,,
364,05/22/2022 00:00:00,15.29,-69.53,7.98,,,,,,,,
365,05/22/2022 00:15:00,15.27,-69.46,7.98,,,,,,,,
366,05/22/2022 00:30:00,15.27,-69.78,7.98,,,,,,,,
367,05/22/2022 00:45:00,15.29,-69.69,7.98,,,,,,,,
368,05/22/2022 01:00:00,15.29,-69.36,7.98,,,,,,,,
369,05/22/2022 01:15:00,15.29,-69.24,7.97,,,,,,,,
370,05/22/2022 01:30:00,15.29,-69.19,7.97,,,,,,,,
371,05/22/2022 01:45:00,15.32,-69.30,7.97,,,,,,,,
372,05/22/2022 02:00:00,15.37,-69.33,7.98,,,,,,,,
373,05/22/2022 02:15:00,15.44,-69.31,7.97,,,,,,,,
374,05/22/2022 02:30:00,15.49,-69.25,7.97,,,,,,,,
375,05/22/2022 02:45:00,15.56,-69.16,7.97,,,,,,,,
376,05/22/2022 03:00:00,15.58,-69.08,7.97,,,,,,,,
377,05/22/2022 03:15:00,15.60,-68.94,7.97,,,,,,,,
378,05/22/2022 03:30:00,15.65,-69.00,7.97,,,,,,,,
379,05/22/2022 03:45:00,15.68,-68.96,7.97,,,,,,,,
380,05/22/2022 04:00:00,15.72,-68.77,7.96,,,,,,,,
381,05/22/2022 04:15:00,15.77,-68.72,7.96,,,,,,,,
382,05/22/2022 04:30:00,15.82,-68.61,7.96,,,,,,,,
383,05/22/2022 04:45:00,15.87,-68.71,7.96,,,,,,,,
