#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Millivolts   (mv),Ch:3 - pH   (pH),Button Down,Button Up,Host Connected,End of File
50,05/10/2023 19:30:00,15.58,-88.22,8.20,,,,
51,05/10/2023 19:45:00,15.44,-87.25,8.18,,,,
52,05/10/2023 20:00:00,15.89,-88.27,8.20,,,,
53,05/10/2023 20:15:00,16.82,-89.82,8.22,,,,
54,05/10/2023 20:30:00,16.72,-88.77,8.20,,,,
55,05/10/2023 20:45:00,16.44,-87.66,8.18,,,,
56,05/10/2023 21:00:00,16.11,-84.99,8.14,,,,
57,05/10/2023 21:15:00,15.46,-78.46,8.02,,,,
58,05/10/2023 21:30:00,15.06,-77.08,8.00,,,,
59,05/10/2023 21:45:00,14.94,-78.88,8.03,,,,
60,05/10/2023 22:00:00,14.79,-77.66,8.01,,,,
61,05/10/2023 22:15:00,15.15,-83.94,8.12,,,,
62,05/10/2023 22:30:00,15.13,-83.58,8.12,,,,
63,05/10/2023 22:45:00,15.29,-84.33,8.13,,,,
64,05/10/2023 23:00:00,15.41,-83.71,8.12,,,,
65,05/10/2023 23:15:00,15.15,-79.67,8.05,,,,
66,05/10/2023 23:30:00,14.77,-79.27,8.04,,,,
67,05/10/2023 23:45:00,14.58,-77.63,8.01,,,,
68,05/11/2023 00:00:00,14.22,-75.63,7.98,,,,
69,05/11/2023 00:15:00,13.67,-75.11,7.97,,,,
70,05/11/2023 00:30:00,13.47,-75.22,7.97,,,,
71,05/11/2023 00:45:00,13.38,-75.74,7.98,,,,
72,05/11/2023 01:00:00,13.33,-76.11,7.99,,,,
73,05/11/2023 01:15:00,13.23,-75.94,7.99,,,,
74,05/11/2023 01:30:00,13.14,-75.89,7.99,,,,
75,05/11/2023 01:45:00,13.04,-75.75,7.98,,,,
76,05/11/2023 02:00:00,12.99,-75.56,7.98,,,,
77,05/11/2023 02:15:00,12.90,-75.97,7.99,,,,
78,05/11/2023 02:30:00,12.85,-76.21,7.99,,,,
79,05/11/2023 02:45:00,12.87,-75.99,7.99,,,,
80,05/11/2023 03:00:00,12.85,-76.14,7.99,,,,
81,05/11/2023 03:15:00,12.82,-76.02,7.99,,,,
82,05/11/2023 03:30:00,12.77,-76.14,7.99,,,,
83,05/11/2023 03:45:00,12.65,-76.67,8.00,,,,
84,05/11/2023 04:00:00,12.58,-76.56,8.00,,,,
85,05/11/2023 04:15:00,12.51,-76.78,8.00,,,,
86,05/11/2023 04:30:00,12.46,-76.80,8.00,,,,
87,05/11/2023 04:45:00,12.46,-76.67,8.00,,,,
88,05/11/2023 05:00:00,12.44,-76.58,8.00,,,,
89,05/11/2023 05:15:00,12.44,-76.38,8.00,,,,
90,05/11/2023 05:30:00,12.32,-75.71,7.99,,,,
91,05/11/2023 05:45:00,12.32,-75.61,7.98,,,,
92,05/11/2023 06:00:00,12.24,-75.24,7.98,,,,
93,05/11/2023 06:15:00,12.07,-74.94,7.97,,,,
94,05/11/2023 06:30:00,12.03,-75.13,7.98,,,,
95,05/11/2023 06:45:00,11.98,-75.21,7.98,,,,
96,05/11/2023 07:00:00,12.00,-75.44,7.98,,,,
97,05/11/2023 07:15:00,12.00,-75.60,7.98,,,,
98,05/11/2023 07:30:00,12.05,-75.74,7.99,,,,
99,05/11/2023 07:45:00,12.15,-76.13,7.99,,,,
100,05/11/2023 08:00:00,12.29,-76.61,8.00,,,,
101,05/11/2023 08:15:00,12.53,-77.80,8.02,,,,
102,05/11/2023 08:30:00,12.82,-78.85,8.04,,,,
103,05/11/2023 08:45:00,13.14,-80.06,8.06,,,,
104,05/11/2023 09:00:00,13.43,-78.61,8.03,,,,
105,05/11/2023 09:15:00,13.88,-78.96,8.04,,,,
106,05/11/2023 09:30:00,14.31,-79.13,8.04,,,,
107,05/11/2023 09:45:00,14.79,-81.78,8.09,,,,
108,05/11/2023 10:00:00,15.46,-82.52,8.10,,,,
109,05/11/2023 10:15:00,16.39,-87.30,8.18,,,,
110,05/11/2023 10:30:00,17.13,-89.49,8.21,,,,
111,05/11/2023 10:45:00,17.94,-93.16,8.27,,,,
112,05/11/2023 11:00:00,18.72,-94.86,8.30,,,,
113,05/11/2023 11:15:00,18.72,-91.41,8.24,,,,
114,05/11/2023 11:30:00,18.25,-88.89,8.20,,,,
115,05/11/2023 11:45:00,17.58,-84.96,8.13,,,,
116,05/11/2023 12:00:00,17.08,-84.50,8.13,,,,
117,05/11/2023 12:15:00,16.53,-80.63,8.06,,,,
118,05/11/2023 12:30:00,16.18,-80.94,8.07,,,,
119,05/11/2023 12:45:00,16.11,-81.58,8.08,,,,
120,05/11/2023 13:00:00,16.06,-81.78,8.08,,,,
121,05/11/2023 13:15:00,15.63,-80.52,8.06,,,,
122,05/11/2023 13:30:00,15.49,-80.02,8.05,,,,
123,05/11/2023 13:45:00,15.46,-80.60,8.06,,,,
124,05/11/2023 14:00:00,15.34,-80.69,8.06,,,,
125,05/11/2023 14:15:00,15.25,-80.35,8.06,,,,
126,05/11/2023 14:30:00,15.22,-80.36,8.06,,,,
127,05/11/2023 14:45:00,15.27,-79.89,8.05,,,,
128,05/11/2023 15:00:00,15.34,-79.81,8.05,,,,
129,05/11/2023 15:15:00,15.44,-80.94,8.07,,,,
130,05/11/2023 15:30:00,15.56,-80.67,8.06,,,,
131,05/11/2023 15:45:00,15.63,-80.89,8.07,,,,
132,05/11/2023 16:00:00,15.68,-80.83,8.07,,,,
133,05/11/2023 16:15:00,15.72,-81.19,8.07,,,,
134,05/11/2023 16:30:00,15.65,-80.85,8.07,,,,
135,05/11/2023 16:45:00,15.65,-80.78,8.06,,,,
136,05/11/2023 17:00:00,15.70,-80.92,8.07,,,,
137,05/11/2023 17:15:00,15.75,-81.55,8.08,,,,
138,05/11/2023 17:30:00,15.80,-81.53,8.08,,,,
139,05/11/2023 17:45:00,15.82,-81.53,8.08,,,,
140,05/11/2023 18:00:00,16.01,-81.64,8.08,,,,
141,05/11/2023 18:15:00,16.13,-81.94,8.08,,,,
142,05/11/2023 18:30:00,16.15,-81.72,8.08,,,,
143,05/11/2023 18:45:00,16.15,-81.67,8.08,,,,
144,05/11/2023 19:00:00,16.11,-81.38,8.07,,,,
145,05/11/2023 19:15:00,16.06,-81.74,8.08,,,,
146,05/11/2023 19:30:00,16.06,-81.38,8.07,,,,
147,05/11/2023 19:45:00,16.08,-81.10,8.07,,,,
148,05/11/2023 20:00:00,16.11,-80.94,8.07,,,,
149,05/11/2023 20:15:00,16.18,-81.14,8.07,,,,
150,05/11/2023 20:30:00,16.39,-80.75,8.06,,,,
151,05/11/2023 20:45:00,16.37,-79.96,8.05,,,,
152,05/11/2023 21:00:00,16.46,-79.66,8.04,,,,
153,05/11/2023 21:15:00,16.63,-79.83,8.04,,,,
154,05/11/2023 21:30:00,16.72,-79.41,8.04,,,,
155,05/11/2023 21:45:00,16.65,-78.25,8.02,,,,
156,05/11/2023 22:00:00,16.30,-76.19,7.98,,,,
157,05/11/2023 22:15:00,16.15,-75.80,7.97,,,,
158,05/11/2023 22:30:00,16.11,-75.25,7.96,,,,
159,05/11/2023 22:45:00,16.01,-74.80,7.96,,,,
160,05/11/2023 23:00:00,15.91,-74.58,7.95,,,,
161,05/11/2023 23:15:00,16.08,-77.49,8.00,,,,
162,05/11/2023 23:30:00,16.01,-76.06,7.98,,,,
163,05/11/2023 23:45:00,15.94,-75.13,7.96,,,,
164,05/12/2023 00:00:00,15.84,-73.92,7.94,,,,
165,05/12/2023 00:15:00,15.94,-75.81,7.97,,,,
166,05/12/2023 00:30:00,15.82,-76.28,7.98,,,,
167,05/12/2023 00:45:00,15.77,-77.24,8.00,,,,
168,05/12/2023 01:00:00,15.75,-77.67,8.01,,,,
169,05/12/2023 01:15:00,15.80,-78.25,8.02,,,,
170,05/12/2023 01:30:00,15.84,-78.44,8.02,,,,
171,05/12/2023 01:45:00,15.89,-78.52,8.02,,,,
172,05/12/2023 02:00:00,15.82,-77.96,8.01,,,,
173,05/12/2023 02:15:00,15.75,-77.74,8.01,,,,
174,05/12/2023 02:30:00,15.75,-77.55,8.01,,,,
175,05/12/2023 02:45:00,15.70,-77.05,8.00,,,,
176,05/12/2023 03:00:00,15.68,-76.58,7.99,,,,
177,05/12/2023 03:15:00,15.60,-76.00,7.98,,,,
178,05/12/2023 03:30:00,15.58,-76.88,7.99,,,,
179,05/12/2023 03:45:00,15.58,-77.05,8.00,,,,
180,05/12/2023 04:00:00,15.60,-78.50,8.02,,,,
181,05/12/2023 04:15:00,15.60,-78.53,8.02,,,,
182,05/12/2023 04:30:00,15.58,-78.80,8.03,,,,
183,05/12/2023 04:45:00,15.29,-78.31,8.02,,,,
184,05/12/2023 05:00:00,15.20,-78.44,8.02,,,,
185,05/12/2023 05:15:00,15.15,-78.10,8.02,,,,
186,05/12/2023 05:30:00,15.10,-77.85,8.01,,,,
187,05/12/2023 05:45:00,15.01,-77.38,8.01,,,,
188,05/12/2023 06:00:00,14.96,-77.41,8.01,,,,
189,05/12/2023 06:15:00,14.96,-77.47,8.01,,,,
190,05/12/2023 06:30:00,14.96,-77.30,8.00,,,,
191,05/12/2023 06:45:00,14.98,-77.11,8.00,,,,
192,05/12/2023 07:00:00,14.98,-76.74,7.99,,,,
193,05/12/2023 07:15:00,15.01,-76.97,8.00,,,,
194,05/12/2023 07:30:00,15.03,-76.60,7.99,,,,
195,05/12/2023 07:45:00,15.06,-76.55,7.99,,,,
196,05/12/2023 08:00:00,15.08,-76.66,7.99,,,,
197,05/12/2023 08:15:00,15.08,-76.49,7.99,,,,
198,05/12/2023 08:30:00,15.10,-76.83,8.00,,,,
199,05/12/2023 08:45:00,15.17,-77.16,8.00,,,,
200,05/12/2023 09:00:00,15.20,-76.75,7.99,,,,
201,05/12/2023 09:15:00,15.17,-76.85,8.00,,,,
202,05/12/2023 09:30:00,15.13,-76.85,8.00,,,,
203,05/12/2023 09:45:00,15.08,-77.85,8.01,,,,
204,05/12/2023 10:00:00,15.03,-78.03,8.02,,,,
205,05/12/2023 10:15:00,15.32,-79.91,8.05,,,,
206,05/12/2023 10:30:00,15.49,-79.55,8.04,,,,
207,05/12/2023 10:45:00,15.77,-80.28,8.05,,,,
208,05/12/2023 11:00:00,16.39,-81.16,8.07,,,,
209,05/12/2023 11:15:00,17.15,-82.83,8.10,,,,
210,05/12/2023 11:30:00,18.77,-85.07,8.13,,,,
211,05/12/2023 11:45:00,19.63,-86.67,8.15,,,,
212,05/12/2023 12:00:00,20.29,-87.11,8.16,,,,
213,05/12/2023 12:15:00,20.34,-88.50,8.18,,,,
214,05/12/2023 12:30:00,19.86,-87.53,8.17,,,,
215,05/12/2023 12:45:00,19.06,-85.47,8.13,,,,
216,05/12/2023 13:00:00,18.84,-85.94,8.14,,,,
217,05/12/2023 13:15:00,18.56,-84.42,8.12,,,,
218,05/12/2023 13:30:00,18.46,-84.47,8.12,,,,
219,05/12/2023 13:45:00,18.30,-84.03,8.11,,,,
220,05/12/2023 14:00:00,18.13,-83.52,8.10,,,,
221,05/12/2023 14:15:00,17.89,-82.63,8.09,,,,
222,05/12/2023 14:30:00,17.72,-81.10,8.06,,,,
223,05/12/2023 14:45:00,17.80,-82.36,8.08,,,,
224,05/12/2023 15:00:00,17.77,-82.96,8.10,,,,
225,05/12/2023 15:15:00,17.56,-82.77,8.09,,,,
226,05/12/2023 15:30:00,17.53,-81.60,8.07,,,,
227,05/12/2023 15:45:00,17.51,-80.52,8.05,,,,
228,05/12/2023 16:00:00,17.46,-79.92,8.04,,,,
229,05/12/2023 16:15:00,17.39,-79.67,8.04,,,,
230,05/12/2023 16:30:00,17.34,-79.21,8.03,,,,
231,05/12/2023 16:45:00,17.34,-79.75,8.04,,,,
232,05/12/2023 17:00:00,17.27,-79.39,8.03,,,,
233,05/12/2023 17:15:00,17.11,-80.60,8.06,,,,
234,05/12/2023 17:30:00,16.99,-81.41,8.07,,,,
235,05/12/2023 17:45:00,16.92,-82.33,8.09,,,,
236,05/12/2023 18:00:00,16.82,-82.24,8.09,,,,
237,05/12/2023 18:15:00,16.80,-82.49,8.09,,,,
238,05/12/2023 18:30:00,16.75,-82.46,8.09,,,,
239,05/12/2023 18:45:00,16.70,-82.16,8.08,,,,
240,05/12/2023 19:00:00,16.65,-82.03,8.08,,,,
241,05/12/2023 19:15:00,16.63,-82.16,8.09,,,,
242,05/12/2023 19:30:00,16.61,-82.00,8.08,,,,
243,05/12/2023 19:45:00,16.58,-81.63,8.08,,,,
244,05/12/2023 20:00:00,16.58,-81.47,8.07,,,,
245,05/12/2023 20:15:00,16.58,-80.60,8.06,,,,
246,05/12/2023 20:30:00,16.58,-80.88,8.06,,,,
247,05/12/2023 20:45:00,16.53,-81.41,8.07,,,,
248,05/12/2023 21:00:00,16.61,-81.19,8.07,,,,
249,05/12/2023 21:15:00,16.63,-81.39,8.07,,,,
250,05/12/2023 21:30:00,16.68,-81.33,8.07,,,,
251,05/12/2023 21:45:00,16.77,-81.05,8.06,,,,
252,05/12/2023 22:00:00,16.99,-81.22,8.07,,,,
253,05/12/2023 22:15:00,17.15,-81.03,8.06,,,,
254,05/12/2023 22:30:00,17.37,-81.47,8.07,,,,
255,05/12/2023 22:45:00,17.34,-80.99,8.06,,,,
256,05/12/2023 23:00:00,17.44,-79.69,8.04,,,,
257,05/12/2023 23:15:00,17.51,-80.39,8.05,,,,
258,05/12/2023 23:30:00,17.39,-80.41,8.05,,,,
259,05/12/2023 23:45:00,17.30,-79.30,8.03,,,,
260,05/13/2023 00:00:00,17.15,-78.11,8.01,,,,
261,05/13/2023 00:15:00,17.13,-77.02,7.99,,,,
262,05/13/2023 00:30:00,17.03,-73.00,7.92,,,,
263,05/13/2023 00:45:00,16.94,-74.99,7.96,,,,
264,05/13/2023 01:00:00,16.92,-69.44,7.86,,,,
265,05/13/2023 01:15:00,17.15,-75.30,7.96,,,,
266,05/13/2023 01:30:00,17.13,-78.60,8.02,,,,
267,05/13/2023 01:45:00,17.03,-78.52,8.02,,,,
268,05/13/2023 02:00:00,17.13,-78.30,8.01,,,,
269,05/13/2023 02:15:00,17.11,-79.05,8.03,,,,
270,05/13/2023 02:30:00,17.03,-76.71,7.99,,,,
271,05/13/2023 02:45:00,17.18,-80.42,8.05,,,,
272,05/13/2023 03:00:00,17.13,-80.81,8.06,,,,
273,05/13/2023 03:15:00,17.11,-79.99,8.04,,,,
274,05/13/2023 03:30:00,17.08,-79.27,8.03,,,,
275,05/13/2023 03:45:00,17.08,-80.06,8.05,,,,
276,05/13/2023 04:00:00,17.06,-80.49,8.05,,,,
277,05/13/2023 04:15:00,17.06,-80.74,8.06,,,,
278,05/13/2023 04:30:00,17.06,-80.63,8.06,,,,
279,05/13/2023 04:45:00,17.01,-80.33,8.05,,,,
280,05/13/2023 05:00:00,16.99,-79.55,8.04,,,,
281,05/13/2023 05:15:00,16.94,-79.31,8.03,,,,
282,05/13/2023 05:30:00,16.94,-79.61,8.04,,,,
283,05/13/2023 05:45:00,16.92,-78.81,8.02,,,,
284,05/13/2023 06:00:00,16.89,-78.99,8.03,,,,
285,05/13/2023 06:15:00,16.84,-79.10,8.03,,,,
286,05/13/2023 06:30:00,16.82,-78.63,8.02,,,,
287,05/13/2023 06:45:00,16.82,-78.77,8.02,,,,
288,05/13/2023 07:00:00,16.77,-78.33,8.02,,,,
289,05/13/2023 07:15:00,16.75,-78.38,8.02,,,,
290,05/13/2023 07:30:00,16.75,-78.99,8.03,,,,
291,05/13/2023 07:45:00,16.75,-79.21,8.03,,,,
292,05/13/2023 08:00:00,16.75,-79.53,8.04,,,,
293,05/13/2023 08:15:00,16.75,-80.14,8.05,,,,
294,05/13/2023 08:30:00,16.72,-80.05,8.05,,,,
295,05/13/2023 08:45:00,16.75,-80.39,8.05,,,,
296,05/13/2023 09:00:00,16.75,-80.19,8.05,,,,
297,05/13/2023 09:15:00,16.75,-80.22,8.05,,,,
298,05/13/2023 09:30:00,16.53,-79.22,8.03,,,,
299,05/13/2023 09:45:00,16.58,-79.30,8.03,,,,
300,05/13/2023 10:00:00,16.61,-79.11,8.03,,,,
301,05/13/2023 10:15:00,16.63,-79.31,8.03,,,,
302,05/13/2023 10:30:00,16.75,-79.31,8.03,,,,
303,05/13/2023 10:45:00,16.89,-79.35,8.03,,,,
304,05/13/2023 11:00:00,17.11,-79.39,8.03,,,,
305,05/13/2023 11:15:00,17.37,-80.13,8.05,,,,
306,05/13/2023 11:30:00,17.72,-81.36,8.07,,,,
307,05/13/2023 11:45:00,18.13,-82.61,8.09,,,,
308,05/13/2023 12:00:00,18.70,-84.05,8.11,,,,
309,05/13/2023 12:15:00,19.56,-86.69,8.15,,,,
310,05/13/2023 12:30:00,20.32,-87.27,8.16,,,,
311,05/13/2023 12:45:00,21.34,-88.86,8.19,,,,
312,05/13/2023 13:00:00,21.77,-90.11,8.21,,,,
313,05/13/2023 13:15:00,22.87,-97.25,8.32,,,,
314,05/13/2023 13:30:00,22.25,-92.33,8.24,,,,
315,05/13/2023 13:45:00,21.70,-90.25,8.21,,,,
316,05/13/2023 14:00:00,21.32,-87.96,8.17,,,,
317,05/13/2023 14:15:00,20.70,-86.13,8.14,,,,
318,05/13/2023 14:30:00,20.22,-85.19,8.13,,,,
319,05/13/2023 14:45:00,19.86,-84.71,8.12,,,,
320,05/13/2023 15:00:00,19.84,-85.02,8.12,,,,
321,05/13/2023 15:15:00,19.82,-85.27,8.13,,,,
322,05/13/2023 15:30:00,19.63,-84.88,8.12,,,,
323,05/13/2023 15:45:00,19.41,-84.30,8.11,,,,
324,05/13/2023 16:00:00,19.15,-84.38,8.11,,,,
325,05/13/2023 16:15:00,19.01,-84.03,8.11,,,,
326,05/13/2023 16:30:00,18.77,-84.11,8.11,,,,
327,05/13/2023 16:45:00,18.65,-84.07,8.11,,,,
328,05/13/2023 17:00:00,18.53,-84.72,8.12,,,,
329,05/13/2023 17:15:00,18.46,-84.47,8.12,,,,
330,05/13/2023 17:30:00,18.30,-84.19,8.11,,,,
331,05/13/2023 17:45:00,18.08,-84.60,8.12,,,,
332,05/13/2023 18:00:00,17.82,-85.36,8.14,,,,
333,05/13/2023 18:15:00,17.49,-86.03,8.15,,,,
334,05/13/2023 18:30:00,17.37,-86.16,8.15,,,,
335,05/13/2023 18:45:00,17.20,-86.91,8.17,,,,
336,05/13/2023 19:00:00,17.13,-88.10,8.19,,,,
337,05/13/2023 19:15:00,17.15,-87.14,8.17,,,,
338,05/13/2023 19:30:00,17.11,-86.89,8.17,,,,
339,05/13/2023 19:45:00,17.11,-85.44,8.14,,,,
340,05/13/2023 20:00:00,17.03,-85.74,8.15,,,,
341,05/13/2023 20:15:00,17.01,-85.46,8.14,,,,
342,05/13/2023 20:30:00,17.01,-84.32,8.12,,,,
343,05/13/2023 20:45:00,17.01,-84.35,8.12,,,,
344,05/13/2023 21:00:00,17.03,-83.99,8.12,,,,
345,05/13/2023 21:15:00,17.03,-85.02,8.13,,,,
346,05/13/2023 21:30:00,17.01,-84.99,8.13,,,,
347,05/13/2023 21:45:00,17.01,-84.44,8.12,,,,
348,05/13/2023 22:00:00,17.01,-83.96,8.12,,,,
349,05/13/2023 22:15:00,17.03,-82.85,8.10,,,,
350,05/13/2023 22:30:00,17.08,-83.30,8.10,,,,
351,05/13/2023 22:45:00,17.11,-82.82,8.10,,,,
352,05/13/2023 23:00:00,17.15,-82.10,8.08,,,,
353,05/13/2023 23:15:00,17.27,-82.00,8.08,,,,
354,05/13/2023 23:30:00,17.61,-83.05,8.10,,,,
355,05/13/2023 23:45:00,18.06,-83.66,8.11,,,,
356,05/14/2023 00:00:00,18.10,-83.03,8.10,,,,
357,05/14/2023 00:15:00,18.25,-83.19,8.10,,,,
358,05/14/2023 00:30:00,17.46,-82.05,8.08,,,,
359,05/14/2023 00:45:00,17.06,-79.17,8.03,,,,
360,05/14/2023 01:00:00,16.70,-80.08,8.05,,,,
361,05/14/2023 01:15:00,16.56,-80.86,8.06,,,,
362,05/14/2023 01:30:00,16.27,-78.74,8.03,,,,
363,05/14/2023 01:45:00,16.18,-81.97,8.08,,,,
364,05/14/2023 02:00:00,16.25,-80.55,8.06,,,,
365,05/14/2023 02:15:00,16.22,-83.55,8.11,,,,
366,05/14/2023 02:30:00,16.20,-85.19,8.14,,,,
367,05/14/2023 02:45:00,16.15,-85.74,8.15,,,,
368,05/14/2023 03:00:00,15.99,-86.39,8.16,,,,
369,05/14/2023 03:15:00,16.01,-86.10,8.16,,,,
370,05/14/2023 03:30:00,15.84,-86.64,8.17,,,,
371,05/14/2023 03:45:00,15.75,-86.85,8.17,,,,
372,05/14/2023 04:00:00,15.60,-87.11,8.18,,,,
373,05/14/2023 04:15:00,15.56,-87.14,8.18,,,,
374,05/14/2023 04:30:00,15.53,-87.42,8.18,,,,
375,05/14/2023 04:45:00,15.41,-87.96,8.19,,,,
376,05/14/2023 05:00:00,15.25,-88.36,8.20,,,,
377,05/14/2023 05:15:00,15.17,-88.27,8.20,,,,
378,05/14/2023 05:30:00,15.10,-88.36,8.20,,,,
379,05/14/2023 05:45:00,15.10,-89.21,8.22,,,,
380,05/14/2023 06:00:00,15.06,-89.64,8.22,,,,
381,05/14/2023 06:15:00,14.98,-90.22,8.24,,,,
382,05/14/2023 06:30:00,14.96,-90.24,8.24,,,,
383,05/14/2023 06:45:00,14.89,-90.42,8.24,,,,
384,05/14/2023 07:00:00,14.89,-90.22,8.24,,,,
385,05/14/2023 07:15:00,14.82,-90.36,8.24,,,,
386,05/14/2023 07:30:00,14.77,-89.61,8.23,,,,
387,05/14/2023 07:45:00,14.79,-89.19,8.22,,,,
388,05/14/2023 08:00:00,14.82,-89.80,8.23,,,,
389,05/14/2023 08:15:00,14.86,-89.00,8.21,,,,
390,05/14/2023 08:30:00,14.89,-88.92,8.21,,,,
391,05/14/2023 08:45:00,14.53,-82.55,8.10,,,,
392,05/14/2023 09:00:00,14.51,-83.74,8.12,,,,
393,05/14/2023 09:15:00,14.53,-83.46,8.12,,,,
394,05/14/2023 09:30:00,14.58,-84.38,8.13,,,,
395,05/14/2023 09:45:00,14.58,-84.35,8.13,,,,
396,05/14/2023 10:00:00,14.65,-84.99,8.14,,,,
397,05/14/2023 10:15:00,14.58,-88.64,8.21,,,,
398,05/14/2023 10:30:00,14.58,-89.80,8.23,,,,
399,05/14/2023 10:45:00,14.43,-93.02,8.29,,,,
400,05/14/2023 11:00:00,14.46,-93.41,8.29,,,,
401,05/14/2023 11:15:00,14.58,-93.30,8.29,,,,
402,05/14/2023 11:30:00,14.98,-92.22,8.27,,,,
403,05/14/2023 11:45:00,15.51,-90.19,8.23,,,,
404,05/14/2023 12:00:00,15.72,-91.10,8.25,,,,
405,05/14/2023 12:15:00,15.91,-91.99,8.26,,,,
406,05/14/2023 12:30:00,16.15,-92.14,8.26,,,,
407,05/14/2023 12:45:00,16.63,-93.03,8.28,,,,
408,05/14/2023 13:00:00,17.08,-94.55,8.30,,,,
409,05/14/2023 13:15:00,17.56,-95.03,8.31,,,,
410,05/14/2023 13:30:00,18.25,-97.57,8.35,,,,
411,05/14/2023 13:45:00,18.89,-98.99,8.37,,,,
412,05/14/2023 14:00:00,19.39,-98.80,8.37,,,,
413,05/14/2023 14:15:00,19.79,-99.32,8.38,,,,
414,05/14/2023 14:30:00,20.13,-100.14,8.39,,,,
415,05/14/2023 14:45:00,20.25,-99.67,8.38,,,,
416,05/14/2023 15:00:00,19.08,-96.47,8.33,,,,
417,05/14/2023 15:15:00,18.77,-96.25,8.33,,,,
418,05/14/2023 15:30:00,18.44,-95.71,8.32,,,,
419,05/14/2023 15:45:00,17.44,-93.61,8.29,,,,
420,05/14/2023 16:00:00,16.68,-93.36,8.28,,,,
421,05/14/2023 16:15:00,16.53,-93.42,8.29,,,,
422,05/14/2023 16:30:00,16.77,-92.88,8.28,,,,
423,05/14/2023 16:45:00,16.80,-93.60,8.29,,,,
424,05/14/2023 17:00:00,16.65,-94.08,8.30,,,,
425,05/14/2023 17:15:00,16.58,-95.10,8.32,,,,
426,05/14/2023 17:30:00,16.34,-94.66,8.31,,,,
427,05/14/2023 17:45:00,16.25,-94.44,8.31,,,,
428,05/14/2023 18:00:00,16.03,-94.44,8.31,,,,
429,05/14/2023 18:15:00,15.72,-94.02,8.30,,,,
430,05/14/2023 18:30:00,15.44,-93.96,8.30,,,,
431,05/14/2023 18:45:00,15.29,-94.25,8.31,,,,
432,05/14/2023 19:00:00,15.34,-94.21,8.31,,,,
433,05/14/2023 19:15:00,15.34,-94.25,8.31,,,,
