#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Host Connected,Button Up,End of File
123,08/29/2022 18:35:27,24.10,-86.91,8.28,,,,
124,08/29/2022 18:50:27,24.03,-86.80,8.28,,,,
125,08/29/2022 19:05:27,23.88,-86.69,8.28,,,,
126,08/29/2022 19:20:27,23.74,-85.67,8.26,,,,
127,08/29/2022 19:35:27,23.54,-83.77,8.23,,,,
128,08/29/2022 19:50:27,23.47,-83.36,8.22,,,,
129,08/29/2022 20:05:27,23.38,-82.10,8.20,,,,
130,08/29/2022 20:20:27,23.50,-80.77,8.18,,,,
131,08/29/2022 20:35:27,24.00,-83.33,8.22,,,,
132,08/29/2022 20:50:27,23.95,-81.49,8.19,,,,
133,08/29/2022 21:05:27,23.95,-81.10,8.18,,,,
134,08/29/2022 21:20:27,23.98,-80.05,8.16,,,,
135,08/29/2022 21:35:27,23.98,-80.19,8.16,,,,
136,08/29/2022 21:50:27,24.07,-81.19,8.18,,,,
137,08/29/2022 22:05:27,24.10,-81.56,8.19,,,,
138,08/29/2022 22:20:27,24.10,-82.05,8.20,,,,
139,08/29/2022 22:35:27,24.15,-82.57,8.21,,,,
140,08/29/2022 22:50:27,24.15,-83.32,8.22,,,,
141,08/29/2022 23:05:27,24.07,-82.08,8.20,,,,
142,08/29/2022 23:20:27,23.98,-81.96,8.20,,,,
143,08/29/2022 23:35:27,23.93,-82.53,8.21,,,,
144,08/29/2022 23:50:27,23.95,-82.82,8.21,,,,
145,08/30/2022 00:05:27,23.98,-82.38,8.20,,,,
146,08/30/2022 00:20:27,23.88,-82.49,8.20,,,,
147,08/30/2022 00:35:27,23.79,-82.28,8.20,,,,
148,08/30/2022 00:50:27,23.76,-82.52,8.21,,,,
149,08/30/2022 01:05:27,23.76,-83.57,8.22,,,,
150,08/30/2022 01:20:27,23.76,-83.82,8.23,,,,
151,08/30/2022 01:35:27,23.79,-83.41,8.22,,,,
152,08/30/2022 01:50:27,23.79,-83.24,8.22,,,,
153,08/30/2022 02:05:27,23.79,-83.97,8.23,,,,
154,08/30/2022 02:20:27,23.76,-83.83,8.23,,,,
155,08/30/2022 02:35:27,23.76,-85.11,8.25,,,,
156,08/30/2022 02:50:27,23.81,-86.64,8.28,,,,
157,08/30/2022 03:05:27,23.81,-86.08,8.27,,,,
158,08/30/2022 03:20:27,23.79,-85.94,8.27,,,,
159,08/30/2022 03:35:27,23.74,-85.30,8.26,,,,
160,08/30/2022 03:50:27,23.74,-85.28,8.25,,,,
161,08/30/2022 04:05:27,23.71,-85.89,8.27,,,,
162,08/30/2022 04:20:27,23.74,-86.44,8.28,,,,
163,08/30/2022 04:35:27,23.76,-86.00,8.27,,,,
164,08/30/2022 04:50:27,23.62,-82.85,8.21,,,,
165,08/30/2022 05:05:27,23.50,-80.33,8.17,,,,
166,08/30/2022 05:20:27,23.47,-80.27,8.17,,,,
167,08/30/2022 05:35:27,23.38,-79.05,8.15,,,,
168,08/30/2022 05:50:27,23.23,-76.24,8.10,,,,
169,08/30/2022 06:05:27,23.04,-70.55,8.00,,,,
170,08/30/2022 06:20:27,22.80,-66.60,7.93,,,,
171,08/30/2022 06:35:27,22.68,-64.41,7.89,,,,
172,08/30/2022 06:50:27,22.70,-67.83,7.95,,,,
173,08/30/2022 07:05:27,22.70,-69.16,7.97,,,,
174,08/30/2022 07:20:27,22.68,-68.99,7.97,,,,
175,08/30/2022 07:35:27,22.82,-72.71,8.04,,,,
176,08/30/2022 07:50:27,22.94,-74.99,8.08,,,,
177,08/30/2022 08:05:27,23.09,-78.27,8.13,,,,
178,08/30/2022 08:20:27,23.35,-78.36,8.13,,,,
179,08/30/2022 08:35:27,23.64,-78.10,8.13,,,,
180,08/30/2022 08:50:27,23.74,-78.99,8.14,,,,
181,08/30/2022 09:05:27,23.71,-77.53,8.12,,,,
182,08/30/2022 09:20:27,23.64,-76.36,8.10,,,,
183,08/30/2022 09:35:27,23.52,-74.89,8.07,,,,
184,08/30/2022 09:50:27,23.62,-78.08,8.13,,,,
185,08/30/2022 10:05:27,23.76,-78.86,8.14,,,,
186,08/30/2022 10:20:27,23.83,-78.60,8.14,,,,
187,08/30/2022 10:35:27,24.03,-82.27,8.20,,,,
188,08/30/2022 10:50:27,24.03,-82.21,8.20,,,,
189,08/30/2022 11:05:27,24.07,-81.85,8.19,,,,
190,08/30/2022 11:20:27,24.19,-83.74,8.23,,,,
191,08/30/2022 11:35:27,24.29,-84.64,8.24,,,,
192,08/30/2022 11:50:27,24.34,-84.91,8.25,,,,
193,08/30/2022 12:05:27,24.39,-85.53,8.26,,,,
194,08/30/2022 12:20:27,24.41,-85.82,8.26,,,,
195,08/30/2022 12:35:27,24.48,-87.63,8.29,,,,
196,08/30/2022 12:50:27,24.58,-89.60,8.33,,,,
197,08/30/2022 13:05:27,24.60,-89.52,8.33,,,,
198,08/30/2022 13:20:27,24.70,-89.77,8.33,,,,
199,08/30/2022 13:35:27,24.80,-89.77,8.33,,,,
200,08/30/2022 13:50:27,24.80,-89.42,8.32,,,,
201,08/30/2022 14:05:27,24.77,-89.94,8.33,,,,
202,08/30/2022 14:20:27,24.80,-89.99,8.33,,,,
203,08/30/2022 14:35:27,24.80,-90.66,8.34,,,,
204,08/30/2022 14:50:27,24.82,-91.38,8.36,,,,
205,08/30/2022 15:05:27,24.82,-91.85,8.37,,,,
206,08/30/2022 15:20:27,24.82,-90.67,8.34,,,,
207,08/30/2022 15:35:27,24.80,-89.77,8.33,,,,
208,08/30/2022 15:50:27,24.80,-89.74,8.33,,,,
209,08/30/2022 16:05:27,24.80,-90.13,8.34,,,,
210,08/30/2022 16:20:27,24.82,-90.89,8.35,,,,
211,08/30/2022 16:35:27,24.92,-92.05,8.37,,,,
212,08/30/2022 16:50:27,25.06,-92.88,8.38,,,,
213,08/30/2022 17:05:27,25.19,-92.64,8.38,,,,
214,08/30/2022 17:20:27,25.26,-91.83,8.36,,,,
215,08/30/2022 17:35:27,25.38,-92.22,8.37,,,,
216,08/30/2022 17:50:27,25.50,-92.71,8.38,,,,
217,08/30/2022 18:05:27,25.55,-93.05,8.38,,,,
218,08/30/2022 18:20:27,25.55,-92.74,8.38,,,,
219,08/30/2022 18:35:27,25.50,-92.46,8.37,,,,
220,08/30/2022 18:50:27,25.45,-91.66,8.36,,,,
221,08/30/2022 19:05:27,25.55,-91.60,8.36,,,,
222,08/30/2022 19:20:27,25.45,-90.88,8.35,,,,
223,08/30/2022 19:35:27,25.33,-89.99,8.33,,,,
224,08/30/2022 19:50:27,24.97,-88.11,8.30,,,,
225,08/30/2022 20:05:27,24.82,-87.14,8.28,,,,
226,08/30/2022 20:20:27,24.75,-86.30,8.27,,,,
227,08/30/2022 20:35:27,24.75,-85.53,8.25,,,,
228,08/30/2022 20:50:27,24.73,-84.80,8.24,,,,
229,08/30/2022 21:05:27,24.90,-84.19,8.23,,,,
230,08/30/2022 21:20:27,24.94,-82.97,8.21,,,,
231,08/30/2022 21:35:27,24.80,-81.81,8.19,,,,
232,08/30/2022 21:50:27,24.80,-83.00,8.21,,,,
233,08/30/2022 22:05:27,24.80,-82.82,8.21,,,,
234,08/30/2022 22:20:27,24.77,-81.33,8.18,,,,
235,08/30/2022 22:35:27,24.82,-82.83,8.21,,,,
236,08/30/2022 22:50:27,24.85,-82.69,8.20,,,,
237,08/30/2022 23:05:27,24.82,-82.42,8.20,,,,
238,08/30/2022 23:20:27,24.80,-81.39,8.18,,,,
239,08/30/2022 23:35:27,24.75,-80.39,8.16,,,,
240,08/30/2022 23:50:27,24.70,-79.39,8.15,,,,
241,08/31/2022 00:05:27,24.63,-79.50,8.15,,,,
242,08/31/2022 00:20:27,24.60,-79.08,8.14,,,,
243,08/31/2022 00:35:27,24.60,-78.80,8.14,,,,
244,08/31/2022 00:50:27,24.56,-78.69,8.14,,,,
245,08/31/2022 01:05:27,24.56,-78.19,8.13,,,,
246,08/31/2022 01:20:27,24.53,-77.97,8.12,,,,
247,08/31/2022 01:35:27,24.53,-77.58,8.12,,,,
248,08/31/2022 01:50:27,24.51,-77.44,8.11,,,,
249,08/31/2022 02:05:27,24.48,-76.71,8.10,,,,
250,08/31/2022 02:20:27,24.48,-76.31,8.09,,,,
251,08/31/2022 02:35:27,24.46,-75.60,8.08,,,,
252,08/31/2022 02:50:27,24.44,-74.52,8.06,,,,
253,08/31/2022 03:05:27,24.41,-74.36,8.06,,,,
254,08/31/2022 03:20:27,24.39,-73.44,8.04,,,,
255,08/31/2022 03:35:27,24.36,-71.97,8.02,,,,
256,08/31/2022 03:50:27,24.34,-71.81,8.02,,,,
257,08/31/2022 04:05:27,24.29,-70.86,8.00,,,,
258,08/31/2022 04:20:27,24.27,-69.66,7.98,,,,
259,08/31/2022 04:35:27,24.19,-68.42,7.96,,,,
260,08/31/2022 04:50:27,24.17,-67.74,7.94,,,,
261,08/31/2022 05:05:27,24.15,-66.64,7.92,,,,
262,08/31/2022 05:20:27,24.15,-65.94,7.91,,,,
263,08/31/2022 05:35:27,24.12,-64.63,7.89,,,,
264,08/31/2022 05:50:27,24.10,-64.00,7.88,,,,
265,08/31/2022 06:05:27,24.05,-63.83,7.88,,,,
266,08/31/2022 06:20:27,24.05,-62.10,7.85,,,,
267,08/31/2022 06:35:27,24.05,-61.56,7.84,,,,
268,08/31/2022 06:50:27,23.88,-59.74,7.80,,,,
269,08/31/2022 07:05:27,23.66,-58.08,7.78,,,,
270,08/31/2022 07:20:27,23.66,-57.35,7.76,,,,
271,08/31/2022 07:35:27,23.71,-58.41,7.78,,,,
272,08/31/2022 07:50:27,23.74,-59.17,7.79,,,,
273,08/31/2022 08:05:27,23.69,-58.13,7.78,,,,
274,08/31/2022 08:20:27,23.59,-57.58,7.77,,,,
275,08/31/2022 08:35:27,23.62,-59.52,7.80,,,,
276,08/31/2022 08:50:27,23.66,-61.46,7.83,,,,
277,08/31/2022 09:05:27,23.69,-63.53,7.87,,,,
278,08/31/2022 09:20:27,23.76,-63.94,7.88,,,,
279,08/31/2022 09:35:27,23.83,-65.31,7.90,,,,
280,08/31/2022 09:50:27,23.95,-68.77,7.96,,,,
281,08/31/2022 10:05:27,24.00,-68.11,7.95,,,,
282,08/31/2022 10:20:27,24.12,-71.38,8.01,,,,
283,08/31/2022 10:35:27,24.29,-72.83,8.03,,,,
284,08/31/2022 10:50:27,24.41,-74.44,8.06,,,,
285,08/31/2022 11:05:27,24.51,-75.24,8.07,,,,
286,08/31/2022 11:20:27,24.68,-78.52,8.13,,,,
287,08/31/2022 11:35:27,24.80,-79.11,8.14,,,,
288,08/31/2022 11:50:27,24.87,-79.42,8.15,,,,
289,08/31/2022 12:05:27,24.90,-79.17,8.14,,,,
290,08/31/2022 12:20:27,24.92,-79.92,8.16,,,,
291,08/31/2022 12:35:27,24.97,-82.58,8.20,,,,
292,08/31/2022 12:50:27,24.99,-83.02,8.21,,,,
293,08/31/2022 13:05:27,24.99,-82.60,8.20,,,,
294,08/31/2022 13:20:27,24.97,-82.30,8.20,,,,
295,08/31/2022 13:35:27,24.94,-81.71,8.19,,,,
296,08/31/2022 13:50:27,24.90,-81.66,8.19,,,,
297,08/31/2022 14:05:27,24.87,-81.89,8.19,,,,
298,08/31/2022 14:20:27,24.87,-81.96,8.19,,,,
299,08/31/2022 14:35:27,24.80,-81.25,8.18,,,,
300,08/31/2022 14:50:27,24.75,-81.52,8.18,,,,
301,08/31/2022 15:05:27,24.70,-81.74,8.19,,,,
302,08/31/2022 15:20:27,24.63,-81.52,8.18,,,,
303,08/31/2022 15:35:27,24.58,-81.64,8.19,,,,
304,08/31/2022 15:50:27,24.58,-81.46,8.18,,,,
305,08/31/2022 16:05:27,24.58,-81.91,8.19,,,,
306,08/31/2022 16:20:27,24.60,-82.00,8.19,,,,
307,08/31/2022 16:35:27,24.60,-81.99,8.19,,,,
308,08/31/2022 16:50:27,24.63,-82.60,8.20,,,,
309,08/31/2022 17:05:27,24.65,-83.07,8.21,,,,
310,08/31/2022 17:20:27,24.68,-82.94,8.21,,,,
311,08/31/2022 17:35:27,24.70,-82.71,8.21,,,,
312,08/31/2022 17:50:27,24.73,-83.50,8.22,,,,
313,08/31/2022 18:05:27,24.87,-84.72,8.24,,,,
314,08/31/2022 18:20:27,24.94,-85.64,8.26,,,,
315,08/31/2022 18:35:27,24.97,-85.57,8.25,,,,
316,08/31/2022 18:50:27,24.97,-86.47,8.27,,,,
317,08/31/2022 19:05:27,24.92,-86.58,8.27,,,,
318,08/31/2022 19:20:27,24.85,-86.69,8.27,,,,
319,08/31/2022 19:35:27,24.73,-86.47,8.27,,,,
320,08/31/2022 19:50:27,24.65,-87.07,8.28,,,,
321,08/31/2022 20:05:27,24.51,-85.58,8.26,,,,
322,08/31/2022 20:20:27,24.22,-82.71,8.21,,,,
323,08/31/2022 20:35:27,23.76,-77.75,8.12,,,,
324,08/31/2022 20:50:27,23.59,-73.06,8.04,,,,
325,08/31/2022 21:05:27,23.26,-62.49,7.85,,,,
326,08/31/2022 21:20:27,23.38,-81.25,8.19,,,,
327,08/31/2022 21:35:27,23.57,-82.16,8.20,,,,
328,08/31/2022 21:50:27,23.69,-81.58,8.19,,,,
329,08/31/2022 22:05:27,23.62,-81.08,8.18,,,,
330,08/31/2022 22:20:27,23.38,-80.00,8.16,,,,
331,08/31/2022 22:35:27,23.59,-80.49,8.17,,,,
332,08/31/2022 22:50:27,23.64,-80.28,8.17,,,,
333,08/31/2022 23:05:27,23.66,-80.06,8.16,,,,
334,08/31/2022 23:20:27,23.74,-80.81,8.18,,,,
335,08/31/2022 23:35:27,23.76,-80.81,8.18,,,,
336,08/31/2022 23:50:27,23.74,-81.10,8.18,,,,
337,09/01/2022 00:05:27,23.69,-81.60,8.19,,,,
338,09/01/2022 00:20:27,23.66,-81.77,8.19,,,,
339,09/01/2022 00:35:27,23.64,-81.25,8.18,,,,
340,09/01/2022 00:50:27,23.62,-80.39,8.17,,,,
341,09/01/2022 01:05:27,23.57,-81.83,8.19,,,,
342,09/01/2022 01:20:27,23.45,-79.96,8.16,,,,
343,09/01/2022 01:35:27,23.35,-78.41,8.14,,,,
344,09/01/2022 01:50:27,23.28,-77.08,8.11,,,,
345,09/01/2022 02:05:27,23.23,-76.24,8.10,,,,
346,09/01/2022 02:20:27,23.21,-75.81,8.09,,,,
347,09/01/2022 02:35:27,23.18,-74.88,8.07,,,,
348,09/01/2022 02:50:27,23.16,-76.02,8.09,,,,
349,09/01/2022 03:05:27,23.16,-76.00,8.09,,,,
350,09/01/2022 03:20:27,23.14,-75.39,8.08,,,,
351,09/01/2022 03:35:27,23.11,-75.47,8.08,,,,
352,09/01/2022 03:50:27,23.09,-75.17,8.08,,,,
353,09/01/2022 04:05:27,23.06,-74.80,8.07,,,,
354,09/01/2022 04:20:27,23.04,-74.58,8.07,,,,
355,09/01/2022 04:35:27,22.99,-75.05,8.08,,,,
356,09/01/2022 04:50:27,22.97,-74.81,8.07,,,,
357,09/01/2022 05:05:27,22.92,-74.78,8.07,,,,
358,09/01/2022 05:20:27,22.87,-74.94,8.08,,,,
359,09/01/2022 05:35:27,22.85,-74.86,8.07,,,,
360,09/01/2022 05:50:27,22.82,-74.80,8.07,,,,
361,09/01/2022 06:05:27,22.80,-74.63,8.07,,,,
362,09/01/2022 06:20:27,22.75,-74.39,8.07,,,,
363,09/01/2022 06:35:27,22.75,-74.60,8.07,,,,
364,09/01/2022 06:50:27,22.75,-74.85,8.07,,,,
365,09/01/2022 07:05:27,22.75,-75.02,8.08,,,,
366,09/01/2022 07:20:27,22.70,-74.97,8.08,,,,
367,09/01/2022 07:35:27,22.66,-74.75,8.07,,,,
368,09/01/2022 07:50:27,22.61,-74.19,8.06,,,,
369,09/01/2022 08:05:27,22.54,-74.02,8.06,,,,
370,09/01/2022 08:20:27,22.49,-75.11,8.08,,,,
371,09/01/2022 08:35:27,22.49,-77.52,8.12,,,,
372,09/01/2022 08:50:27,22.44,-74.06,8.06,,,,
373,09/01/2022 09:05:27,22.56,-77.31,8.12,,,,
374,09/01/2022 09:20:27,22.82,-83.86,8.23,,,,
375,09/01/2022 09:35:27,22.97,-83.30,8.22,,,,
376,09/01/2022 09:50:27,23.09,-86.78,8.28,,,,
377,09/01/2022 10:05:27,23.04,-82.96,8.22,,,,
378,09/01/2022 10:20:27,23.11,-82.60,8.21,,,,
379,09/01/2022 10:35:27,23.21,-82.50,8.21,,,,
380,09/01/2022 10:50:27,23.16,-81.00,8.18,,,,
381,09/01/2022 11:05:27,23.26,-80.42,8.17,,,,
382,09/01/2022 11:20:27,23.30,-80.56,8.17,,,,
383,09/01/2022 11:35:27,23.40,-82.08,8.20,,,,
384,09/01/2022 11:50:27,23.40,-81.03,8.18,,,,
385,09/01/2022 12:05:27,23.35,-79.83,8.16,,,,
386,09/01/2022 12:20:27,23.33,-78.86,8.14,,,,
387,09/01/2022 12:35:27,23.28,-78.17,8.13,,,,
388,09/01/2022 12:50:27,23.26,-77.78,8.12,,,,
389,09/01/2022 13:05:27,23.28,-78.35,8.13,,,,
390,09/01/2022 13:20:27,23.30,-78.66,8.14,,,,
391,09/01/2022 13:35:27,23.33,-78.19,8.13,,,,
392,09/01/2022 13:50:27,23.38,-78.21,8.13,,,,
393,09/01/2022 14:05:27,23.42,-78.02,8.13,,,,
394,09/01/2022 14:20:27,23.50,-78.10,8.13,,,,
395,09/01/2022 14:35:27,23.54,-78.44,8.13,,,,
396,09/01/2022 14:50:27,23.59,-78.96,8.14,,,,
397,09/01/2022 15:05:27,23.62,-79.50,8.15,,,,
398,09/01/2022 15:20:27,23.59,-79.22,8.15,,,,
399,09/01/2022 15:35:27,23.62,-79.85,8.16,,,,
400,09/01/2022 15:50:27,23.59,-79.69,8.16,,,,
401,09/01/2022 16:05:27,23.57,-80.21,8.17,,,,
402,09/01/2022 16:20:27,23.57,-80.47,8.17,,,,
403,09/01/2022 16:35:27,23.57,-80.35,8.17,,,,
404,09/01/2022 16:50:27,23.59,-81.00,8.18,,,,
405,09/01/2022 17:05:27,23.59,-81.08,8.18,,,,
406,09/01/2022 17:20:27,23.62,-81.64,8.19,,,,
407,09/01/2022 17:35:27,23.64,-82.19,8.20,,,,
408,09/01/2022 17:50:27,23.66,-82.42,8.20,,,,
409,09/01/2022 18:05:27,23.66,-82.82,8.21,,,,
410,09/01/2022 18:20:27,23.69,-83.22,8.22,,,,
411,09/01/2022 18:35:27,23.66,-83.49,8.22,,,,
412,09/01/2022 18:50:27,23.64,-83.32,8.22,,,,
413,09/01/2022 19:05:27,23.62,-83.58,8.23,,,,
414,09/01/2022 19:20:27,23.62,-83.64,8.23,,,,
415,09/01/2022 19:35:27,23.59,-83.96,8.23,,,,
416,09/01/2022 19:50:27,23.59,-84.41,8.24,,,,
417,09/01/2022 20:05:27,23.54,-84.52,8.24,,,,
418,09/01/2022 20:20:27,23.47,-84.32,8.24,,,,
419,09/01/2022 20:35:27,23.35,-83.11,8.22,,,,
420,09/01/2022 20:50:27,23.16,-81.81,8.20,,,,
421,09/01/2022 21:05:27,22.94,-80.96,8.18,,,,
422,09/01/2022 21:20:27,22.68,-79.14,8.15,,,,
423,09/01/2022 21:35:27,22.25,-74.42,8.07,,,,
424,09/01/2022 21:50:27,21.89,-71.14,8.01,,,,
425,09/01/2022 22:05:27,21.15,-49.20,7.62,,,,
426,09/01/2022 22:20:27,21.20,-54.61,7.72,,,,
427,09/01/2022 22:35:27,21.27,-59.81,7.81,,,,
428,09/01/2022 22:50:27,21.08,-65.11,7.91,,,,
429,09/01/2022 23:05:27,21.89,-78.13,8.14,,,,
430,09/01/2022 23:20:27,21.77,-75.02,8.08,,,,
431,09/01/2022 23:35:27,21.87,-76.36,8.10,,,,
432,09/01/2022 23:50:27,22.03,-78.78,8.15,,,,
433,09/02/2022 00:05:27,22.06,-78.24,8.14,,,,
434,09/02/2022 00:20:27,21.99,-78.61,8.14,,,,
435,09/02/2022 00:35:27,22.13,-77.38,8.12,,,,
